uID,variable1,variable2,factor
1,0.4,1,SameKiss
2,0.2,4,SameKiss
3,0.6,2,SameKiss
7,0.2,1,SameKiss
9,0.6,1,SameKiss
10,0.4,2,SameKiss
11,0.5,2,SameKiss
12,0,5,SameKiss
13,0.2,2,SameKiss
19,0.6,7,SameKiss
20,0.5,3,SameKiss
21,0.3,2,SameKiss
22,0.3,2,SameKiss
24,0.6,7,SameKiss
25,0,3,SameKiss
26,0.4,6,SameKiss
27,0.6,4,SameKiss
28,0,4,SameKiss
31,0,3,SameKiss
33,0.5,2,SameKiss
34,0.4,1,SameKiss
37,0,7,SameKiss
38,0,1,SameKiss
39,0,4,SameKiss
40,0.1,1,SameKiss
42,0.3,4,SameKiss
43,0.3,7,SameKiss
44,0,4,SameKiss
48,0.9,5,SameKiss
49,0.2,3,SameKiss
51,0.1,4,SameKiss
52,0.1,5,SameKiss
53,0.1,7,SameKiss
54,0.8,3,SameKiss
55,0.3,5,SameKiss
56,0.2,4,SameKiss
57,0.3,2,SameKiss
58,0.3,2,SameKiss
59,0.1,2,SameKiss
60,0.4,1,SameKiss
61,0.5,7,SameKiss
62,0.3,4,SameKiss
63,0.6,1,SameKiss
64,0.5,7,SameKiss
65,0.6,6,SameKiss
66,0.7,3,SameKiss
67,0.6,1,SameKiss
72,0.5,4,SameKiss
74,0.3,4,SameKiss
75,0.2,1,SameKiss
78,0.5,6,SameKiss
81,0.4,3,SameKiss
85,0.1,4,SameKiss
86,0.4,4,SameKiss
94,0,7,SameKiss
95,0.7,6,SameKiss
97,0.2,3,SameKiss
98,0.7,7,SameKiss
99,0.1,5,SameKiss
101,0.1,1,SameKiss
102,0.4,7,SameKiss
103,0.9,2,SameKiss
104,0.6,2,SameKiss
707,0.6,2,SameKiss
708,0.7,1,SameKiss
711,0.4,1,SameKiss
712,0.8,2,SameKiss
713,0.9,3,SameKiss
715,0.2,3,SameKiss
717,0.6,2,SameKiss
719,0.3,3,SameKiss
720,0.3,3,SameKiss
721,0.1,5,SameKiss
722,0.2,3,SameKiss
723,0.7,6,SameKiss
725,0.2,2,SameKiss
727,0.4,3,SameKiss
728,0.4,4,SameKiss
731,0.4,2,SameKiss
732,0.2,6,SameKiss
734,0.5,2,SameKiss
736,1,2,SameKiss
740,0.2,2,SameKiss
741,0.4,6,SameKiss
742,0.8,6,SameKiss
744,0.5,5,SameKiss
746,0.7,1,SameKiss
747,0,5,SameKiss
758,0.5,3,SameKiss
761,0.3,3,SameKiss
763,0.3,1,SameKiss
765,0.3,1,SameKiss
766,0.7,2,SameKiss
767,0.4,3,SameKiss
772,0.3,2,SameKiss
775,0.5,3,SameKiss
776,0.2,4,SameKiss
777,0.7,2,SameKiss
780,0.6,5,SameKiss
781,0.8,6,SameKiss
782,0.2,4,SameKiss
783,0.1,3,SameKiss
785,0,1,SameKiss
786,0.2,6,SameKiss
787,0.7,4,SameKiss
793,0.1,2,SameKiss
794,0.5,2,SameKiss
799,0.5,5,SameKiss
800,0.4,1,SameKiss
802,0.4,1,SameKiss
803,0.5,1,SameKiss
804,0,4,SameKiss
806,0.5,5,SameKiss
807,0.3,5,SameKiss
808,0.8,3,SameKiss
809,0.7,4,SameKiss
813,0.3,1,SameKiss
815,0.2,5,SameKiss
816,0.5,2,SameKiss
817,0.2,1,SameKiss
821,0.5,1,SameKiss
823,0.5,5,SameKiss
828,0.7,3,SameKiss
829,0.3,3,SameKiss
831,0.9,5,SameKiss
834,0.2,2,SameKiss
839,0.5,4,SameKiss
841,0.4,3,SameKiss
844,0.8,3,SameKiss
845,0.5,3,SameKiss
852,0.4,6,SameKiss
853,0.5,2,SameKiss
854,0.5,2,SameKiss
856,1,4,SameKiss
859,0.5,3,SameKiss
860,0.7,3,SameKiss
862,0.3,5,SameKiss
864,0.3,2,SameKiss
865,0.5,2,SameKiss
868,0.3,5,SameKiss
872,0.6,3,SameKiss
874,0.3,2,SameKiss
879,0.4,3,SameKiss
883,0.9,3,SameKiss
884,0.5,3,SameKiss
885,0.2,6,SameKiss
886,0.8,5,SameKiss
891,0.8,1,SameKiss
892,0.1,5,SameKiss
893,0.8,5,SameKiss
894,0.6,6,SameKiss
895,0.3,6,SameKiss
897,0.4,4,SameKiss
899,0.5,6,SameKiss
901,0.5,1,SameKiss
902,0.3,3,SameKiss
904,0.5,3,SameKiss
905,0.8,1,SameKiss
908,0.6,2,SameKiss
909,0.6,3,SameKiss
912,0.5,4,SameKiss
913,0.6,5,SameKiss
916,0.3,4,SameKiss
918,0.9,2,SameKiss
921,0.3,4,SameKiss
922,0.6,3,SameKiss
923,0.7,7,SameKiss
924,0.4,1,SameKiss
928,0.5,1,SameKiss
930,0.7,1,SameKiss
932,0.7,3,SameKiss
935,0.3,5,SameKiss
936,0.3,4,SameKiss
937,0.2,1,SameKiss
938,0.7,1,SameKiss
939,0.3,5,SameKiss
946,0.5,4,SameKiss
950,0.3,5,SameKiss
952,0.2,4,SameKiss
954,0.4,6,SameKiss
955,0.9,1,SameKiss
956,0.2,2,SameKiss
957,0.6,2,SameKiss
958,0.6,3,SameKiss
959,0.8,2,SameKiss
963,0.4,2,SameKiss
965,0.4,1,SameKiss
967,0.4,4,SameKiss
970,0.1,3,SameKiss
971,0.4,3,SameKiss
972,0.9,5,SameKiss
974,0.7,4,SameKiss
976,0.7,1,SameKiss
977,0.9,6,SameKiss
979,0.1,4,SameKiss
981,0.6,3,SameKiss
986,0.6,4,SameKiss
987,0.5,3,SameKiss
988,0.3,4,SameKiss
990,0.4,7,SameKiss
991,0.3,2,SameKiss
992,0.3,1,SameKiss
998,0.5,5,SameKiss
1003,0.4,3,SameKiss
1004,0.5,4,SameKiss
1007,0.5,2,SameKiss
1012,0.4,7,SameKiss
1014,0.7,2,SameKiss
1015,0.9,4,SameKiss
1017,0.6,5,SameKiss
1026,0.7,4,SameKiss
1027,0.9,3,SameKiss
1029,0,4,SameKiss
1030,0.4,2,SameKiss
1031,0.9,4,SameKiss
1032,0.3,5,SameKiss
1033,0.8,6,SameKiss
1034,0.6,4,SameKiss
1035,0.5,2,SameKiss
1037,0.1,1,SameKiss
1042,0.1,2,SameKiss
1043,0.2,2,SameKiss
1044,0.4,4,SameKiss
1048,0.6,2,SameKiss
1049,0.7,4,SameKiss
1058,0.2,2,SameKiss
1061,0.5,3,SameKiss
1063,0.8,6,SameKiss
1064,0.8,3,SameKiss
1065,0.4,1,SameKiss
1066,0.2,1,SameKiss
1068,0.4,3,SameKiss
1071,0.4,2,SameKiss
1073,0.4,2,SameKiss
1079,0.8,2,SameKiss
1080,0.1,3,SameKiss
1081,0.6,2,SameKiss
1084,0.9,3,SameKiss
1087,0.4,3,SameKiss
1090,0.2,1,SameKiss
1092,0.4,2,SameKiss
1093,0.5,6,SameKiss
1094,0.5,1,SameKiss
1098,0.2,7,SameKiss
1099,0.3,1,SameKiss
1101,0.7,2,SameKiss
1107,0.5,2,SameKiss
1113,0.3,3,SameKiss
1116,0.7,7,SameKiss
1120,0.5,4,SameKiss
1122,0.5,1,SameKiss
1125,0.5,2,SameKiss
1128,0.5,5,SameKiss
1129,0.8,2,SameKiss
1130,0.5,4,SameKiss
1131,0.5,7,SameKiss
1133,0.8,1,SameKiss
1134,0.9,4,SameKiss
1136,0.6,4,SameKiss
1137,0.6,4,SameKiss
1138,0.4,1,SameKiss
1141,0.7,1,SameKiss
1142,0.3,3,SameKiss
1143,1,6,SameKiss
1144,0.9,2,SameKiss
1145,0.2,2,SameKiss
1146,0.5,5,SameKiss
1147,0.1,4,SameKiss
1150,0.3,2,SameKiss
1151,0.2,1,SameKiss
1152,0.5,3,SameKiss
1155,0.6,3,SameKiss
