uID,variable1,variable2,factor
546,0.3,1,SameKiss
550,0.7,3,SameKiss
553,0.7,7,SameKiss
562,0.2,3,SameKiss
565,0.6,1,SameKiss
566,0.3,3,SameKiss
567,0.5,5,SameKiss
568,0.3,1,SameKiss
569,0.1,2,SameKiss
572,0.7,7,SameKiss
573,0.6,2,SameKiss
576,0.3,4,SameKiss
579,0.3,3,SameKiss
580,0.2,3,SameKiss
582,0.5,7,SameKiss
583,1,3,SameKiss
586,0.3,5,SameKiss
587,0.6,1,SameKiss
588,0.8,2,SameKiss
590,0.5,3,SameKiss
591,1,4,SameKiss
592,0.8,1,SameKiss
597,0.4,1,SameKiss
601,0.8,2,SameKiss
602,0.7,5,SameKiss
603,0.3,2,SameKiss
604,0.6,3,SameKiss
605,0.7,2,SameKiss
606,0.6,4,SameKiss
609,0.4,2,SameKiss
610,0,5,SameKiss
618,0,7,SameKiss
622,0,1,SameKiss
623,0.6,5,SameKiss
624,0.4,2,SameKiss
625,0.5,1,SameKiss
629,0.4,4,SameKiss
632,0.6,4,SameKiss
634,0.8,4,SameKiss
635,0.4,7,SameKiss
636,0.4,3,SameKiss
637,0.2,3,SameKiss
638,0.9,7,SameKiss
640,0.4,4,SameKiss
643,0.7,6,SameKiss
645,0.5,5,SameKiss
647,0.3,2,SameKiss
649,0,7,SameKiss
653,0.5,3,SameKiss
654,0.4,1,SameKiss
655,0.7,2,SameKiss
669,0.5,5,SameKiss
670,0.1,4,SameKiss
671,0.1,1,SameKiss
675,0.9,7,SameKiss
676,0.2,1,SameKiss
679,0.6,7,SameKiss
682,0.6,3,SameKiss
686,0.6,2,SameKiss
688,0.2,3,SameKiss
689,0.3,1,SameKiss
692,0.6,3,SameKiss
694,0.5,3,SameKiss
699,0.6,4,SameKiss
701,0.5,2,SameKiss
704,0.3,3,SameKiss
1276,0.6,4,SameKiss
1277,0.5,1,SameKiss
1278,0.1,3,SameKiss
1281,0.5,6,SameKiss
1287,0.7,1,SameKiss
1288,0.8,1,SameKiss
1289,0.6,1,SameKiss
1290,0.6,3,SameKiss
1292,0.7,3,SameKiss
1293,0.9,2,SameKiss
1294,0.5,2,SameKiss
1298,0.3,2,SameKiss
1299,0.4,1,SameKiss
1302,0.5,2,SameKiss
1304,0.4,1,SameKiss
1308,0.1,2,SameKiss
1309,0.2,5,SameKiss
1311,0.6,6,SameKiss
1315,0.3,2,SameKiss
1316,0.5,3,SameKiss
1317,0.1,4,SameKiss
1318,0.6,1,SameKiss
1321,0.6,3,SameKiss
1322,0.2,3,SameKiss
1323,0.1,1,SameKiss
1324,0.3,4,SameKiss
1328,0,3,SameKiss
1334,0.6,1,SameKiss
1336,0.4,7,SameKiss
1337,0.2,5,SameKiss
1339,0.4,5,SameKiss
1340,0.5,5,SameKiss
1341,0,5,SameKiss
1342,0.3,3,SameKiss
1343,0.2,4,SameKiss
1344,0.1,1,SameKiss
1348,0.3,5,SameKiss
1349,0.7,2,SameKiss
