"","session_id","referrer","sex","d_art","iat_exclude"
"673",2419031,"jmu","f",0.179623354469785,"Include"
"674",2419039,"jmu","f",0.671450013576539,"Include"
"675",2419118,"jmu","m",0.192274985446168,"Include"
"676",2419123,"jmu","f",1.25961242842923,"Include"
"677",2419126,"jmu","f",0.368458864842934,"Include"
"678",2419136,"jmu","f",0.616296308721582,"Include"
"679",2419214,"jmu","f",1.17249628873569,"Include"
"680",2419302,"jmu","m",0.468084280418887,"Include"
"681",2419308,"jmu","f",-0.191192449289604,"Include"
"682",2419313,"jmu","f",0.224744452020736,"Include"
"683",2419389,"jmu","m",0.193159741066247,"Include"
"684",2419391,"jmu","f",0.285233787734652,"Include"
"685",2419455,"jmu","f",1.02997171576143,"Include"
"686",2419461,"jmu","f",0.471935501166666,"Include"
"687",2419527,"jmu","f",0.248125442627441,"Include"
"688",2419592,"jmu","f",0.567004715454975,"Include"
"689",2419674,"jmu","f",0.93697562902892,"Include"
"690",2419767,"jmu","f",0.211660325423141,"Include"
"691",2419793,"jmu","f",0.320274479913186,"Include"
"692",2419818,"jmu","f",0.325907647751677,"Include"
"693",2419826,"jmu","f",0.662044824869754,"Include"
"694",2419847,"jmu","f",0.13837071623848,"Include"
"695",2419887,"jmu","f",-0.276120432522225,"Include"
"696",2419919,"jmu","f",1.13023076894779,"Include"
"697",2420020,"jmu","f",0.421223689331176,"Include"
"698",2420156,"jmu","f",0.0192169415897089,"Include"
"699",2420182,"jmu","f",0.681404135110876,"Include"
"700",2420235,"jmu","f",0.284931697628409,"Include"
"701",2420247,"jmu","f",0.881019134936115,"Include"
"702",2420251,"jmu","f",0.068366563758886,"Include"
"703",2420252,"jmu","f",0.642708659750464,"Include"
"704",2420253,"jmu","f",-0.610350496399645,"Include"
"705",2420255,"jmu","f",0.983726005317315,"Include"
"706",2420258,"jmu","m",1.27247284672464,"Include"
"707",2420262,"jmu","m",-0.209623959822286,"Include"
"708",2420266,"jmu","f",1.1194584785033,"Include"
"709",2420272,"jmu","f",0.926575698856728,"Include"
"710",2420273,"jmu","f",0.328509491616132,"Include"
"711",2420275,"jmu","m",-0.194987405223976,"Include"
"712",2420276,"jmu","f",0.814255732722991,"Include"
"713",2420281,"jmu","f",-0.15445363599416,"Include"
"714",2420284,"jmu","f",0.0687562068846774,"Include"
"715",2420294,"jmu","f",0.67404921583331,"Include"
"716",2420305,"jmu","f",0.300233300186169,"Include"
"717",2420311,"jmu","f",0.877463271387583,"Include"
"718",2420319,"jmu","f",0.0675244773011318,"Include"
"719",2420326,"jmu","m",-0.739342169507073,"Include"
"720",2420327,"jmu","f",1.1561875233863,"Include"
"721",2420330,"jmu","m",-0.266221164573453,"Include"
"722",2420338,"jmu","f",1.43671031651095,"Include"
"723",2420341,"jmu","f",-0.390519132816924,"Include"
"724",2420345,"jmu","m",-0.408927485587119,"Include"
"725",2420356,"jmu","f",0.379967614882435,"Include"
"726",2420359,"jmu","f",-0.673316023001467,"Include"
"727",2420361,"jmu","f",0.057733740983902,"Include"
"728",2420367,"jmu","m",0.627948156554425,"Include"
"729",2420382,"jmu","f",0.697483328281464,"Include"
"730",2420386,"jmu","m",-0.534380661733035,"Include"
"731",2420405,"jmu","f",0.306757298915246,"Include"
"732",2420433,"jmu","f",0.366580711657207,"Include"
"733",2420456,"jmu","f",0.135973882089558,"Include"
"734",2420459,"jmu","f",0.794726090213383,"Include"
"735",2420463,"jmu","f",0.71241899140032,"Include"
"736",2420467,"jmu","f",0.0212320920627851,"Include"
"737",2420471,"jmu","f",0.994566736090784,"Include"
"738",2420481,"jmu","f",0.934814105260618,"Include"
"739",2420482,"jmu","m",0.596011100348921,"Include"
"740",2420485,"jmu","f",1.42132074875337,"Include"
"741",2420514,"jmu","f",0.0293860040090787,"Include"
"742",2420517,"jmu","f",0.629003803890877,"Include"
"743",2420518,"jmu","f",0.732648899576036,"Include"
"744",2420529,"jmu","m",0.00584651871299954,"Include"
"745",2420534,"jmu","f",0.940029376871927,"Include"
"746",2420543,"jmu","f",0.36148531632353,"Include"
"747",2420572,"jmu","f",1.05693334139376,"Include"
"748",2420580,"jmu","f",0.540228715937473,"Include"
"750",2420622,"jmu","m",0.224689816165033,"Include"
"751",2420641,"jmu","f",0.400288686785961,"Include"
"752",2420646,"jmu","f",0.732835764190232,"Include"
"753",2420663,"jmu","f",0.319844115419386,"Include"
"755",2420694,"jmu","f",1.0334707871437,"Include"
"756",2420717,"jmu","f",0.34532555952946,"Include"
"757",2420719,"jmu","f",0.968462633050493,"Include"
"759",2420748,"jmu","f",0.0944880911747795,"Include"
"760",2420770,"jmu","f",-0.143286465232325,"Include"
"761",2420808,"jmu","m",-0.258864281514171,"Include"
"762",2420827,"jmu","f",1.03362992749383,"Include"
