uID,CounterBalance,Prominent2nd,Prominent1st,Asymmetry
2,CBB,10.5454545454545,11.3,-0.754545454545456
8,CBB,9.36363636363636,9.6,-0.236363636363636
9,CBB,11.4545454545455,10.8,0.654545454545454
10,CBA,9.2,6.63636363636364,2.56363636363636
11,CBB,10.9090909090909,12.2,-1.29090909090909
12,CBA,12.4,10.1818181818182,2.21818181818182
14,CBB,8.27272727272727,8.5,-0.227272727272727
17,CBB,6,9.2,-3.2
20,CBB,8.54545454545455,8.9,-0.354545454545455
21,CBB,9.36363636363636,10.2,-0.836363636363636
24,CBA,13.6,11.7272727272727,1.87272727272727
25,CBB,7,9.1,-2.1
26,CBB,6.36363636363636,9.1,-2.73636363636364
27,CBA,10.3,8.63636363636364,1.66363636363636
28,CBB,9.54545454545454,12.3,-2.75454545454546
31,CBB,9.09090909090909,10.5,-1.40909090909091
32,CBA,12.6,9.54545454545454,3.05454545454545
34,CBA,12.1,9.72727272727273,2.37272727272727
36,CBB,10,11.1,-1.1
39,CBB,9.45454545454546,12.5,-3.04545454545455
43,CBB,5.54545454545455,6.2,-0.654545454545454
44,CBA,9.3,8.54545454545455,0.754545454545456
45,CBB,7.81818181818182,11.1,-3.28181818181818
46,CBA,11.6,7,4.6
51,CBA,10.4,9.45454545454546,0.945454545454545
52,CBB,10.2727272727273,13.5,-3.22727272727273
56,CBA,10.6,7.72727272727273,2.87272727272727
63,CBA,10.7,8.36363636363636,2.33636363636364
64,CBB,8.72727272727273,10.3,-1.57272727272727
66,CBA,11.7,9.63636363636364,2.06363636363636
67,CBA,10.5,5.81818181818182,4.68181818181818
69,CBB,11.5454545454545,11.6,-0.0545454545454547
72,CBB,8.81818181818182,10.7,-1.88181818181818
73,CBB,8.18181818181818,10,-1.81818181818182
74,CBA,7.4,4.81818181818182,2.58181818181818
76,CBB,9.27272727272727,11.5,-2.22727272727273
78,CBB,8.45454545454546,12,-3.54545454545455
80,CBA,11.7,8.36363636363636,3.33636363636364
81,CBA,12.4,12.9090909090909,-0.509090909090908
84,CBB,9.27272727272727,11,-1.72727272727273
86,CBB,10.9090909090909,9.7,1.20909090909091
88,CBB,11.4545454545455,10.7,0.754545454545456
89,CBB,5.27272727272727,5.4,-0.127272727272728
90,CBB,8.45454545454546,10.1,-1.64545454545454
92,CBB,10.6363636363636,13.3,-2.66363636363636
96,CBA,9.9,10.6363636363636,-0.736363636363636
97,CBA,11.8,11,0.800000000000001
98,CBA,12.3,11.7272727272727,0.572727272727274
104,CBB,10.9090909090909,11.6,-0.690909090909091
105,CBA,13.9,12.5454545454545,1.35454545454546
107,CBA,7.9,7.90909090909091,-0.00909090909090882
110,CBA,8.4,9.27272727272727,-0.872727272727273
113,CBB,10.6363636363636,10.4,0.236363636363636
115,CBA,10.5,10.0909090909091,0.409090909090908
119,CBA,12.2,12.4545454545455,-0.254545454545456
120,CBB,9.63636363636364,11.1,-1.46363636363636
122,CBA,8.2,7.45454545454545,0.745454545454545
124,CBA,13.5,9.36363636363636,4.13636363636364
128,CBB,5.54545454545455,6.1,-0.554545454545454
