"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"2815","10","UCRiverside","Credentials",2,"23","Junior","Female","Asian-American","Pass"
"2816","100","UCRiverside","Credentials",0,"18","First-year","Male","Asian-American","Fail"
"2817","101","UCRiverside","Credentials",1,"21","Senior","Male","Asian-American","Fail"
"2818","102","UCRiverside","NoCredentials",1,"19","Sophomore","Female","Asian-American","Pass"
"2819","103","UCRiverside","NoCredentials",-1,"18","First-year","Female","Asian-American","Fail"
"2821","105","UCRiverside","NoCredentials",0,"22","Senior","Female","Asian-American","Pass"
"2822","106","UCRiverside","NoCredentials",1,"20","Junior","Female","Asian-American","Pass"
"2823","107","UCRiverside","NoCredentials",1,"18","First-year","Female","Other","Pass"
"2825","109","UCRiverside","NoCredentials",0,"19","Sophomore","Female","Multiracial","Fail"
"2826","11","UCRiverside","Credentials",3,"21","Junior","Female","Multiracial","Pass"
"2829","112","UCRiverside","NoCredentials",0,"18","First-year","Female","Asian-American","Pass"
"2830","113","UCRiverside","Credentials",0,"21","Junior","Female","Asian-American","Fail"
"2831","114","UCRiverside","Credentials",0,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2832","115","UCRiverside","NoCredentials",2,"19","Sophomore","Male","Asian-American","Pass"
"2833","116","UCRiverside","NoCredentials",0,"21","Senior","Female","African-American","Pass"
"2834","117","UCRiverside","NoCredentials",0,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2835","118","UCRiverside","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2836","119","UCRiverside","Credentials",0,"18","Sophomore","Male","Latino or Hispanic","Pass"
"2837","12","UCRiverside","NoCredentials",1,"18","First-year","Female","Asian-American","Fail"
"2838","120","UCRiverside","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2839","121","UCRiverside","Credentials",1,"18","First-year","Female","Latino or Hispanic","Pass"
"2840","122","UCRiverside","NoCredentials",1,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2841","123","UCRiverside","NoCredentials",0,"20","Junior","Female","Asian-American","Fail"
"2842","124","UCRiverside","Credentials",-2,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2843","125","UCRiverside","NoCredentials",0,"18","First-year","Male","Latino or Hispanic","Pass"
"2844","126","UCRiverside","Credentials",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2845","127","UCRiverside","Credentials",0,"18","First-year","Female","Asian-American","Pass"
"2846","128","UCRiverside","NoCredentials",0,NA,"Junior","Female","White, non-Hispanic or latino","Pass"
"2847","129","UCRiverside","NoCredentials",0,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2848","13","UCRiverside","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"2849","130","UCRiverside","NoCredentials",0,"20","Junior","Male","Asian-American","Pass"
"2851","132","UCRiverside","NoCredentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"2852","133","UCRiverside","NoCredentials",0,"17","First-year","Female","African-American","Pass"
"2853","134","UCRiverside","NoCredentials",1,"21","Junior","Female","Latino or Hispanic","Pass"
"2854","135","UCRiverside","Credentials",0,"17","First-year","Female","Latino or Hispanic","Fail"
"2855","136","UCRiverside","NoCredentials",0,"20","Junior","Female","Asian-American","Pass"
"2856","137","UCRiverside","Credentials",1,"20","Senior","Female","Asian-American","Pass"
"2857","138","UCRiverside","Credentials",0,"21","Senior","Female","Asian-American","Fail"
"2858","139","UCRiverside","NoCredentials",0,"20","Junior","Male","African-American","Pass"
"2860","140","UCRiverside","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2861","141","UCRiverside","NoCredentials",0,"18","First-year","Female","Asian-American","Pass"
"2862","142","UCRiverside","NoCredentials",0,"19","First-year","Female","Other","Fail"
