"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"2270","73","PennStateAbington","NoCredentials",0,"19","First-year","Male","African-American",NA
"2271","74","PennStateAbington","Credentials",0,"20","Sophomore","Female","Native Hawaiian and other Pacific Islander","Pass"
"2272","75","PennStateAbington","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2274","77","PennStateAbington","NoCredentials",0,"19","Sophomore","Female","African-American","Pass"
"2275","78","PennStateAbington","Credentials",0,"19","Sophomore","Female","Asian-American","Fail"
"2276","79","PennStateAbington","Credentials",0,"20","Junior","Male","Latino or Hispanic","Pass"
"2277","8","PennStateAbington","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2283","85","PennStateAbington","NoCredentials",2,"18","First-year","Female","African-American","Fail"
"2284","86","PennStateAbington","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2285","87","PennStateAbington","NoCredentials",1,"18","First-year","Male","Asian-American","Pass"
"2287","89","PennStateAbington","Credentials",2,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2288","9","PennStateAbington","NoCredentials",0,"18","First-year","Male","Other","Pass"
"2289","90","PennStateAbington","Credentials",0,"19","First-year","Male","African-American","Fail"
"2290","903271920","PennStateAbington","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2295","95","PennStateAbington","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2296","959749213","PennStateAbington","Credentials",0,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2297","96","PennStateAbington","NoCredentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2298","97","PennStateAbington","Credentials",0,"30","First-year","Female","White, non-Hispanic or latino","Pass"
"2300","99","PennStateAbington","NoCredentials",0,"18","First-year","Female","Other","Fail"
"2301",NA,"PennStateAbington","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2302",NA,"PennStateAbington","Credentials",-1,"20","Junior","Female","African-American","Fail"
"2303",NA,"PennStateAbington","NoCredentials",0,"20","Senior","Female","African-American","Fail"
"2304",NA,"PennStateAbington","NoCredentials",0,"21","Junior","Female","Asian-American","Fail"
"2305",NA,"PennStateAbington","Credentials",0,"18","First-year","Female","Other","Pass"
"2307",NA,"PennStateAbington","NoCredentials",0,"19","Sophomore","Female","Asian-American","Fail"
"2308",NA,"PennStateAbington","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2309",NA,"PennStateAbington","NoCredentials",0,"19","First-year","Male","Asian-American","Pass"
"2310",NA,"PennStateAbington","NoCredentials",1,"19","Sophomore","Male","Other","Pass"
"2311",NA,"PennStateAbington","NoCredentials",0,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2312",NA,"PennStateAbington","NoCredentials",0,"22","Other","Female","White, non-Hispanic or latino","Pass"
"2313",NA,"PennStateAbington","NoCredentials",0,"19","Sophomore","Female","Asian-American","Fail"
"2314",NA,"PennStateAbington","Credentials",0,"26","Junior","Female","White, non-Hispanic or latino","Pass"
"2315",NA,"PennStateAbington","NoCredentials",1,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2316",NA,"PennStateAbington","Credentials",1,"49","Senior","Female","White, non-Hispanic or latino","Pass"
"2317",NA,"PennStateAbington","NoCredentials",0,"19","Sophomore","Female","Asian-American","Fail"
"2318",NA,"PennStateAbington","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2319",NA,"PennStateAbington","Credentials",0,"20","Senior","Female","Latino or Hispanic","Pass"
"2320",NA,"PennStateAbington","NoCredentials",0,"18","First-year","Female","Asian-American","Fail"
"2321",NA,"PennStateAbington","Credentials",1,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"2322",NA,"PennStateAbington","Credentials",0,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2323",NA,"PennStateAbington","Credentials",0,"39","Sophomore","Female","White, non-Hispanic or latino","Pass"
