"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"3320","10","UniversityOfToronto","NoCredentials",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3321","11","UniversityOfToronto","Credentials",-3,"21","Sophomore","Male","Asian-American","Pass"
"3322","12","UniversityOfToronto","Credentials",0,"17","First-year","Female","Asian-American","Pass"
"3323","13","UniversityOfToronto","Credentials",2,"18","Sophomore","Female","Asian-American","Fail"
"3324","14","UniversityOfToronto","Credentials",0,"21","Other","Female","Asian-American","Pass"
"3325","15","UniversityOfToronto","NoCredentials",1,"18","First-year","Male","Asian-American","Pass"
"3326","16","UniversityOfToronto","Credentials",2,"21","Junior","Male","Asian-American","Fail"
"3327","17","UniversityOfToronto","NoCredentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3328","18","UniversityOfToronto","Credentials",0,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3329","19","UniversityOfToronto","Credentials",0,"18","First-year","Female","Asian-American","Fail"
"3331","21","UniversityOfToronto","Credentials",-1,"almost 18","First-year","Female","Asian-American","Fail"
"3332","22","UniversityOfToronto","Credentials",0,"22 years","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"3333","23","UniversityOfToronto","Credentials",0,"17","First-year","Female","Asian-American","Pass"
"3335","25","UniversityOfToronto","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3336","26","UniversityOfToronto","NoCredentials",1,"20","Sophomore","Female",NA,"Pass"
"3337","27","UniversityOfToronto","Credentials",0,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"3338","28","UniversityOfToronto","Credentials",0,"19","First-year","Male","Asian-American","Fail"
"3339","2886","UniversityOfToronto","NoCredentials",0,"18","First-year","Male","Asian-American","Pass"
"3340","29","UniversityOfToronto","NoCredentials",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3341","30","UniversityOfToronto","NoCredentials",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3342","31","UniversityOfToronto","NoCredentials",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3343","32","UniversityOfToronto","NoCredentials",1,"20","First-year","Male","Asian-American","Fail"
"3344","33","UniversityOfToronto","Credentials",0,"19","Sophomore","Female","Other","Fail"
"3345","34","UniversityOfToronto","Credentials",2,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3346","35","UniversityOfToronto","Credentials",1,"17 (18 in one month)","First-year","Female","Other","Pass"
"3347","36","UniversityOfToronto","Credentials",0,"18","First-year","Female","Other","Pass"
"3348","37","UniversityOfToronto","Credentials",0,"19","Sophomore","Female","Multiracial","Pass"
"3350","39","UniversityOfToronto","Credentials",0,"19","First-year","Female","Asian-American","Fail"
"3352","41","UniversityOfToronto","NoCredentials",1,"21","Junior","Female","Asian-American","Fail"
"3357","46","UniversityOfToronto","Credentials",1,"19","Sophomore",NA,"Asian-American","Pass"
"3358","47","UniversityOfToronto","NoCredentials",1,"19","Sophomore","Female","Other","Pass"
"3360","49","UniversityOfToronto","NoCredentials",0,"18","First-year","Male","Asian-American","Fail"
"3361","50","UniversityOfToronto","NoCredentials",0,"20","Sophomore","Female","Asian-American","Pass"
"3362","51","UniversityOfToronto","Credentials",0,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3363","52","UniversityOfToronto","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3365","54","UniversityOfToronto","Credentials",0,"19","Sophomore","Male","Asian-American","Fail"
"3368","57","UniversityOfToronto","Credentials",0,"18","First-year","Female","Asian-American","Pass"
"3369","58","UniversityOfToronto","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3370","59","UniversityOfToronto","NoCredentials",-1,"20","First-year","Female","Asian-American","Pass"
"3371","60","UniversityOfToronto","Credentials",0,"18","First-year","Male","Asian-American","Pass"
"3372","61","UniversityOfToronto","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3373","62","UniversityOfToronto","Credentials",0,"45","Sophomore","Female","Asian-American","Fail"
"3374","63","UniversityOfToronto","NoCredentials",1,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"3375","64","UniversityOfToronto","NoCredentials",0,"18","First-year","Female","Asian-American","Pass"
"3376","65","UniversityOfToronto","Credentials",0,"21","Sophomore","Male","Other","Fail"
"3377","66","UniversityOfToronto","Credentials",0,"20","Sophomore","Female","Multiracial","Pass"
"3379","68","UniversityOfToronto","Credentials",0,"19","First-year","Female","Asian-American","Fail"
"3380","69","UniversityOfToronto","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3381","7","UniversityOfToronto","NoCredentials",1,"18","First-year","Female","Other","Pass"
"3383","71","UniversityOfToronto","Credentials",0,"18","First-year","Female","Asian-American","Pass"
"3384","72","UniversityOfToronto","Credentials",0,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"3385","73","UniversityOfToronto","NoCredentials",0,"26","Sophomore","Male","Other","Pass"
"3388","76","UniversityOfToronto","NoCredentials",0,"23","Other","Female","African-American","Pass"
