"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"3292","73","UniversityOfSouthernMississippi","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3293","74","UniversityOfSouthernMississippi","NoCredentials",0,"20","Sophomore","Female","African-American","Fail"
"3294","75","UniversityOfSouthernMississippi","Credentials",0,"20","Sophomore","Female","African-American","Fail"
"3295","76","UniversityOfSouthernMississippi","Credentials",0,"19","First-year","Female","African-American","Pass"
"3298","79","UniversityOfSouthernMississippi","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3299","8","UniversityOfSouthernMississippi","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3300","80","UniversityOfSouthernMississippi","Credentials",2,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3301","81","UniversityOfSouthernMississippi","Credentials",2,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3302","82","UniversityOfSouthernMississippi","Credentials",1,"22","Other","Female","African-American","Pass"
"3303","83","UniversityOfSouthernMississippi","Credentials",0,"20","Junior","Female","African-American","Fail"
"3304","84","UniversityOfSouthernMississippi","Credentials",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3305","85","UniversityOfSouthernMississippi","NoCredentials",0,"18","First-year","Female","Multiracial","Pass"
"3306","86","UniversityOfSouthernMississippi","NoCredentials",0,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3307","87","UniversityOfSouthernMississippi","Credentials",0,"22","Sophomore","Female","African-American","Fail"
"3308","88","UniversityOfSouthernMississippi","Credentials",0,"20","Sophomore","Female","African-American","Pass"
"3309","89","UniversityOfSouthernMississippi","NoCredentials",0,"23","Senior","Female","African-American","Pass"
"3310","9","UniversityOfSouthernMississippi","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3311","90","UniversityOfSouthernMississippi","Credentials",0,"23","Junior","Female","African-American","Pass"
"3312","91","UniversityOfSouthernMississippi","NoCredentials",0,"23","Junior","Female","African-American","Fail"
"3313",NA,"UniversityOfSouthernMississippi","Credentials",2,"18","First-year","Male","Asian-American","Pass"
"3314",NA,"UniversityOfSouthernMississippi","NoCredentials",0,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3315",NA,"UniversityOfSouthernMississippi","NoCredentials",0,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3316",NA,"UniversityOfSouthernMississippi","NoCredentials",-3,"19","Sophomore","Male","African-American","Fail"
"3317",NA,"UniversityOfSouthernMississippi","Credentials",0,"21","Senior","Female","African-American","Pass"
"3318",NA,"UniversityOfSouthernMississippi","NoCredentials",0,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3319",NA,"UniversityOfSouthernMississippi","Credentials",0,"20","Junior","Female","White, non-Hispanic or latino","Fail"
