"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"97","1","BradleyUniversity","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"98","10","BradleyUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"99","100","BradleyUniversity","Credentials",0,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"100","101","BradleyUniversity","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"101","102","BradleyUniversity","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"102","103","BradleyUniversity","NoCredentials",1,"23","Senior","Female","White, non-Hispanic or latino","Pass"
"103","104","BradleyUniversity","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"104","105","BradleyUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"105","106","BradleyUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"106","107","BradleyUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"107","108","BradleyUniversity","Credentials",1,"19","First-year","Female","African-American","Pass"
"108","109","BradleyUniversity","NoCredentials",1,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"109","11","BradleyUniversity","NoCredentials",0,"18","First-year","Female","Asian-American","Pass"
"110","110","BradleyUniversity","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"111","111","BradleyUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"112","112","BradleyUniversity","Credentials",0,"19","Sophomore","Male","Latino or Hispanic","Pass"
"113","113","BradleyUniversity","NoCredentials",0,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"114","114","BradleyUniversity","Credentials",0,"20","Sophomore","Female","African-American","Fail"
"115","115","BradleyUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"116","116","BradleyUniversity","Credentials",-3,"18","First-year","Female",NA,"Fail"
"117","117","BradleyUniversity","NoCredentials",0,"18","First-year","Female","African-American","Pass"
"118","118","BradleyUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"119","119","BradleyUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"120","12","BradleyUniversity","Credentials",0,"18","Sophomore","Female","African-American","Pass"
"122","121","BradleyUniversity","Credentials",1,"19","First-year","Male","Latino or Hispanic","Fail"
"123","13","BradleyUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"124","14","BradleyUniversity","Credentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"125","15","BradleyUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"126","16","BradleyUniversity","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"128","18","BradleyUniversity","Credentials",1,"19","Sophomore","Female","Asian-American","Pass"
"129","19","BradleyUniversity","NoCredentials",-3,"18","First-year","Female","Latino or Hispanic","Pass"
"130","2","BradleyUniversity","NoCredentials",1,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"132","21","BradleyUniversity","Credentials",1,"18 almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"133","22","BradleyUniversity","Credentials",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"134","23","BradleyUniversity","Credentials",0,"18","First-year",NA,"White, non-Hispanic or latino","Fail"
"135","24","BradleyUniversity","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"136","25","BradleyUniversity","NoCredentials",0,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"137","26","BradleyUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"139","28","BradleyUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"140","29","BradleyUniversity","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"141","3","BradleyUniversity","Credentials",0,"19","Sophomore","Female","White, non-Hispanic or latino",NA
"142","30","BradleyUniversity","NoCredentials",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"143","31","BradleyUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"144","32","BradleyUniversity","Credentials",0,"18","First-year","Male","Other","Fail"
"146","34","BradleyUniversity","NoCredentials",0,"20","Sophomore","Female","Asian-American","Fail"
"149","37","BradleyUniversity","Credentials",0,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"150","38","BradleyUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"151","39","BradleyUniversity","NoCredentials",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"153","40","BradleyUniversity","NoCredentials",2,"20","Sophomore","Female","Other","Fail"
"154","41","BradleyUniversity","NoCredentials",1,"19","First-year","Female","White, non-Hispanic or latino","Fail"
