"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"1020","10","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1022","101","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1023","102","mTurk","NoCredentials",0,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1024","103","mTurk","NoCredentials",2,"50","Other","Male","Latino or Hispanic","Pass"
"1025","104","mTurk","Credentials",1,"30",NA,"Female","White, non-Hispanic or latino","Pass"
"1026","105","mTurk","NoCredentials",0,"29","Other","Male","Asian-American","Pass"
"1027","106","mTurk","NoCredentials",-2,"23","Senior","Male","Other","Pass"
"1028","107","mTurk","Credentials",2,"42","Other","Female","Other","Pass"
"1029","108","mTurk","NoCredentials",0,"50","Other","Female","White, non-Hispanic or latino","Pass"
"1030","109","mTurk","NoCredentials",-1,"31","Other","Male","White, non-Hispanic or latino","Pass"
"1031","11","mTurk","Credentials",3,NA,NA,NA,NA,NA
"1032","110","mTurk","Credentials",1,"62","Other","Female","White, non-Hispanic or latino","Pass"
"1033","111","mTurk","NoCredentials",0,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1034","112","mTurk","Credentials",0,"24","Other","Male","White, non-Hispanic or latino","Fail"
"1035","113","mTurk","Credentials",2,"46",NA,"Female","African-American","Pass"
"1036","114","mTurk","NoCredentials",0,"51","Other","Female","White, non-Hispanic or latino","Pass"
"1037","115","mTurk","NoCredentials",0,"46","Other","Female","White, non-Hispanic or latino","Pass"
"1038","116","mTurk","NoCredentials",2,"53",NA,"Female","White, non-Hispanic or latino","Pass"
"1040","118","mTurk","NoCredentials",0,"33","Other","Male","White, non-Hispanic or latino","Fail"
"1041","119","mTurk","Credentials",1,"30",NA,"Male","White, non-Hispanic or latino","Pass"
"1043","120","mTurk","Credentials",0,"24",NA,"Female","White, non-Hispanic or latino","Pass"
"1044","121","mTurk","NoCredentials",0,"51","Other","Female","White, non-Hispanic or latino","Pass"
"1045","122","mTurk","Credentials",0,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1046","123","mTurk","NoCredentials",1,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1047","124","mTurk","NoCredentials",1,"33","Other","Male","Other","Pass"
"1048","125","mTurk","NoCredentials",0,"34","Other","Female","White, non-Hispanic or latino","Pass"
"1049","126","mTurk","NoCredentials",0,"47","Junior","Female","White, non-Hispanic or latino","Pass"
"1050","127","mTurk","Credentials",2,"26",NA,"Male","White, non-Hispanic or latino","Pass"
"1052","129","mTurk","NoCredentials",0,"30","Other","Female","White, non-Hispanic or latino","Pass"
"1053","13","mTurk","Credentials",3,NA,NA,NA,NA,NA
"1054","130","mTurk","NoCredentials",3,"26",NA,"Male","Asian-American","Pass"
"1056","132","mTurk","Credentials",0,NA,NA,NA,NA,"Fail"
"1057","133","mTurk","NoCredentials",1,"26","Other","Female","Asian-American","Pass"
"1058","134","mTurk","NoCredentials",2,"23",NA,"Female","White, non-Hispanic or latino","Pass"
"1059","135","mTurk","Credentials",-2,"29","Other","Female","Asian-American","Pass"
"1060","136","mTurk","NoCredentials",1,"33","Other","Male","White, non-Hispanic or latino","Pass"
"1061","137","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1062","138","mTurk","NoCredentials",1,"27",NA,"Female","White, non-Hispanic or latino","Pass"
"1063","139","mTurk","NoCredentials",1,"53","Other","Female","White, non-Hispanic or latino","Pass"
"1064","14","mTurk","NoCredentials",2,NA,NA,NA,NA,"Pass"
"1065","140","mTurk","Credentials",0,"58","Other","Female","White, non-Hispanic or latino","Pass"
"1066","141","mTurk","NoCredentials",0,"29","Other","Female","White, non-Hispanic or latino","Pass"
"1067","142","mTurk","Credentials",0,"42",NA,"Male","White, non-Hispanic or latino","Pass"
"1068","143","mTurk","Credentials",1,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1069","144","mTurk","Credentials",3,"24","Junior","Male","White, non-Hispanic or latino","Pass"
"1070","145","mTurk","NoCredentials",0,"36","Senior","Male","African-American","Pass"
"1071","146","mTurk","NoCredentials",2,"44","Junior","Female","African-American","Pass"
"1072","147","mTurk","Credentials",1,"32",NA,"Female","Asian-American","Pass"
"1073","148","mTurk","Credentials",0,"31","Other","Female","White, non-Hispanic or latino","Pass"
"1075","15","mTurk","Credentials",1,"32","Other","Male","White, non-Hispanic or latino","Pass"
"1076","150","mTurk","NoCredentials",0,"56","Other","Male","African-American","Pass"
"1078","152","mTurk","Credentials",-1,NA,NA,NA,NA,NA
"1079","153","mTurk","Credentials",1,"54",NA,"Female","White, non-Hispanic or latino","Fail"
"1080","154","mTurk","NoCredentials",2,"60","Other","Female","White, non-Hispanic or latino","Pass"
"1081","155","mTurk","NoCredentials",0,"54",NA,"Male","White, non-Hispanic or latino","Fail"
"1082","156","mTurk","NoCredentials",1,"27","Other","Female","White, non-Hispanic or latino","Pass"
"1083","157","mTurk","NoCredentials",1,"27","Other","Female","African-American","Pass"
"1084","158","mTurk","NoCredentials",-2,"29",NA,"Female","White, non-Hispanic or latino","Pass"
"1085","159","mTurk","Credentials",1,"29","Other","Male","Latino or Hispanic","Pass"
"1086","16","mTurk","NoCredentials",1,"50","Other","Female","White, non-Hispanic or latino","Pass"
"1088","161","mTurk","Credentials",0,"26","Other","Male","White, non-Hispanic or latino","Pass"
"1089","162","mTurk","Credentials",1,"34","Other","Female","African-American","Pass"
"1090","163","mTurk","NoCredentials",3,"50",NA,"Female","White, non-Hispanic or latino","Pass"
"1091","164","mTurk","NoCredentials",0,"32","Other","Female","White, non-Hispanic or latino","Pass"
"1092","165","mTurk","NoCredentials",0,"24","Other","Female","White, non-Hispanic or latino","Pass"
"1093","166","mTurk","Credentials",0,"35","Other","Male","White, non-Hispanic or latino","Pass"
"1095","168","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1097","17","mTurk","Credentials",1,"35","Other","Male","White, non-Hispanic or latino","Pass"
"1098","170","mTurk","NoCredentials",0,"38","Other","Male","African-American","Pass"
"1099","171","mTurk","NoCredentials",0,"22","Other","Male","White, non-Hispanic or latino","Pass"
"1102","174","mTurk","Credentials",0,"30","Other","Female","White, non-Hispanic or latino","Pass"
"1103","175","mTurk","Credentials",1,"64","Other","Male","White, non-Hispanic or latino","Pass"
"1104","176","mTurk","Credentials",0,"35",NA,"Female","White, non-Hispanic or latino","Pass"
"1105","177","mTurk","NoCredentials",3,"44","Other","Male","White, non-Hispanic or latino","Pass"
"1106","178","mTurk","NoCredentials",2,"26","Other","Female","White, non-Hispanic or latino","Pass"
"1107","179","mTurk","NoCredentials",1,"53","Other","Female","White, non-Hispanic or latino","Pass"
"1108","18","mTurk","NoCredentials",0,"63","Other","Female","White, non-Hispanic or latino","Pass"
"1109","180","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1110","181","mTurk","NoCredentials",1,"46",NA,"Female","White, non-Hispanic or latino","Pass"
"1111","182","mTurk","NoCredentials",2,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1112","183","mTurk","Credentials",0,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1113","184","mTurk","Credentials",0,"61","Other","Female","White, non-Hispanic or latino","Pass"
"1114","185","mTurk","NoCredentials",2,"41","Other","Male","White, non-Hispanic or latino","Pass"
"1115","186","mTurk","Credentials",0,"33","Other","Female","White, non-Hispanic or latino","Pass"
"1117","188","mTurk","Credentials",-1,"27","Senior","Male","African-American","Pass"
"1118","189","mTurk","NoCredentials",2,"31",NA,"Male","Asian-American","Pass"
"1120","190","mTurk","NoCredentials",0,"53",NA,"Female","African-American","Pass"
"1121","191","mTurk","Credentials",2,"28","Other","Male","White, non-Hispanic or latino","Pass"
"1123","193","mTurk","NoCredentials",0,"37","Other","Male","White, non-Hispanic or latino","Pass"
"1124","194","mTurk","Credentials",0,NA,NA,NA,NA,NA
"1125","195","mTurk","Credentials",0,"21","Sophomore","Male","African-American","Pass"
"1126","196","mTurk","Credentials",0,"22","Other","Female","African-American","Pass"
"1127","197","mTurk","NoCredentials",2,"25","Other","Male","African-American","Pass"
"1128","198","mTurk","Credentials",3,"38","Other","Male","White, non-Hispanic or latino","Pass"
"1130","2","mTurk","Credentials",3,"50","Other","Male","White, non-Hispanic or latino","Pass"
"1131","20","mTurk","Credentials",0,"22",NA,"Female","White, non-Hispanic or latino","Pass"
"1132","200","mTurk","NoCredentials",3,"23","Senior","Male","White, non-Hispanic or latino","Pass"
"1133","201","mTurk","Credentials",0,"22","First-year","Male","White, non-Hispanic or latino","Pass"
"1134","202","mTurk","NoCredentials",0,"39","Other","Female","Latino or Hispanic","Pass"
"1135","203","mTurk","NoCredentials",0,"27","Other","Female","African-American","Pass"
"1136","204","mTurk","NoCredentials",2,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1137","205","mTurk","Credentials",3,"31",NA,"Female","White, non-Hispanic or latino","Pass"
"1138","206","mTurk","NoCredentials",1,"32","Other","Male","White, non-Hispanic or latino","Pass"
"1139","207","mTurk","NoCredentials",0,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1140","208","mTurk","Credentials",3,"33","Other","Male","White, non-Hispanic or latino","Pass"
"1141","209","mTurk","NoCredentials",1,"57","Other","Female","White, non-Hispanic or latino","Pass"
"1142","21","mTurk","NoCredentials",1,NA,NA,NA,NA,NA
"1143","210","mTurk","Credentials",0,"43","Other","Male","Asian-American","Pass"
"1144","211","mTurk","Credentials",0,"40",NA,"Male","White, non-Hispanic or latino","Pass"
"1145","212","mTurk","NoCredentials",1,"35","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1146","213","mTurk","NoCredentials",0,NA,NA,NA,NA,NA
"1148","215","mTurk","NoCredentials",0,"26","Other","Female","White, non-Hispanic or latino","Pass"
"1149","216","mTurk","Credentials",1,"58","Other","Female","Latino or Hispanic","Pass"
"1150","217","mTurk","Credentials",0,"41","Other","Female","Other","Pass"
"1151","218","mTurk","Credentials",0,"32","Other","Male","Latino or Hispanic","Pass"
"1153","22","mTurk","Credentials",1,"55","Other","Female","White, non-Hispanic or latino","Fail"
"1154","220","mTurk","NoCredentials",0,NA,NA,NA,NA,"Pass"
"1155","221","mTurk","NoCredentials",0,"40",NA,"Female","White, non-Hispanic or latino","Pass"
"1156","222","mTurk","NoCredentials",0,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"1157","223","mTurk","NoCredentials",1,"57",NA,"Female","White, non-Hispanic or latino","Pass"
"1158","224","mTurk","Credentials",0,"28",NA,"Male","African-American","Pass"
"1159","225","mTurk","Credentials",1,"44","Other","Male","African-American","Pass"
"1160","226","mTurk","NoCredentials",0,"40","Other","Female","African-American","Pass"
"1161","227","mTurk","Credentials",0,"25","Other","Male","White, non-Hispanic or latino","Pass"
"1162","228","mTurk","NoCredentials",0,"39","Other","Female","White, non-Hispanic or latino","Pass"
"1163","229","mTurk","Credentials",0,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1164","23","mTurk","NoCredentials",0,"31","Other","Female","White, non-Hispanic or latino","Pass"
"1166","231","mTurk","NoCredentials",0,"36",NA,"Male","Latino or Hispanic","Pass"
"1167","232","mTurk","NoCredentials",0,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1168","233","mTurk","NoCredentials",1,"32",NA,"Female","White, non-Hispanic or latino","Pass"
"1169","234","mTurk","NoCredentials",0,"27",NA,"Male","White, non-Hispanic or latino","Pass"
"1170","235","mTurk","NoCredentials",1,"44","Other","Male","White, non-Hispanic or latino","Pass"
"1171","236","mTurk","NoCredentials",-1,"49",NA,"Female","White, non-Hispanic or latino","Pass"
"1172","237","mTurk","Credentials",0,"41","Other","Male","White, non-Hispanic or latino","Pass"
"1173","238","mTurk","Credentials",2,"35",NA,"Female","White, non-Hispanic or latino","Pass"
"1174","239","mTurk","Credentials",0,NA,NA,NA,NA,NA
"1177","241","mTurk","NoCredentials",0,"60",NA,"Male","White, non-Hispanic or latino","Pass"
"1178","242","mTurk","NoCredentials",3,NA,NA,NA,NA,NA
"1179","243","mTurk","NoCredentials",0,"27","Other","Female","Other","Pass"
"1180","244","mTurk","Credentials",0,"25",NA,"Female","African-American","Pass"
"1181","245","mTurk","NoCredentials",0,"26","Other","Female","White, non-Hispanic or latino","Pass"
"1182","246","mTurk","Credentials",3,NA,NA,NA,NA,NA
"1183","247","mTurk","Credentials",0,"29","Other","Female","Native American and Alaska Native","Pass"
"1184","248","mTurk","Credentials",0,"24","Other","Male","White, non-Hispanic or latino","Pass"
"1185","249","mTurk","Credentials",2,"31",NA,"Male","Asian-American","Pass"
"1186","25","mTurk","Credentials",1,"48",NA,"Female","White, non-Hispanic or latino","Pass"
"1188","251","mTurk","Credentials",2,"39","Other","Female","Asian-American","Pass"
"1189","252","mTurk","Credentials",0,"29","Other","Female","White, non-Hispanic or latino","Pass"
"1190","253","mTurk","NoCredentials",2,"32",NA,"Female","Other","Pass"
"1191","254","mTurk","NoCredentials",0,"39",NA,"Male","White, non-Hispanic or latino","Pass"
"1192","255","mTurk","NoCredentials",2,"35",NA,"Female","White, non-Hispanic or latino","Pass"
"1193","256","mTurk","Credentials",2,"37",NA,"Male","White, non-Hispanic or latino","Pass"
"1194","257","mTurk","Credentials",2,"27","Other",NA,"White, non-Hispanic or latino","Pass"
"1195","258","mTurk","NoCredentials",0,"23","Other","Female","White, non-Hispanic or latino","Pass"
"1196","259","mTurk","Credentials",2,"36",NA,"Male","Asian-American","Pass"
"1197","26","mTurk","Credentials",0,"59","Other","Female","White, non-Hispanic or latino","Pass"
"1198","260","mTurk","NoCredentials",1,"25","Senior","Male","Asian-American","Pass"
"1200","262","mTurk","Credentials",2,"57","Other","Male","White, non-Hispanic or latino","Pass"
"1201","263","mTurk","Credentials",0,"23",NA,"Male","Multiracial","Pass"
"1202","264","mTurk","Credentials",0,"39",NA,"Female","White, non-Hispanic or latino","Pass"
"1203","265","mTurk","NoCredentials",0,"59","Other","Female","White, non-Hispanic or latino","Pass"
"1204","266","mTurk","Credentials",-1,NA,NA,NA,NA,NA
"1206","268","mTurk","NoCredentials",0,"21","Senior","Female","Multiracial","Pass"
"1207","269","mTurk","Credentials",3,"33",NA,"Female","White, non-Hispanic or latino","Pass"
"1208","27","mTurk","Credentials",1,"32","Other","Male","White, non-Hispanic or latino","Pass"
"1209","270","mTurk","Credentials",2,NA,NA,NA,NA,NA
"1210","271","mTurk","NoCredentials",0,"30",NA,"Female","White, non-Hispanic or latino","Pass"
"1211","272","mTurk","Credentials",2,"37","Other","Male","White, non-Hispanic or latino","Pass"
"1212","273","mTurk","Credentials",0,NA,NA,NA,NA,NA
"1213","274","mTurk","NoCredentials",-1,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1214","275","mTurk","Credentials",0,"31","Other","Female","White, non-Hispanic or latino","Pass"
"1215","276","mTurk","NoCredentials",0,"33","Other","Female","White, non-Hispanic or latino","Pass"
