"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3155","45","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"3157","47","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3158","48","UniversityOfFlorida","Heavy Clipboard",7,"Include","19","Sophomore","Female","Asian-American","Pass"
"3159","49","UniversityOfFlorida","Light Clipboard",5,"Include","18","First-year","Female","African-American","Pass"
"3160","5","UniversityOfFlorida","Light Clipboard",5,"Include","19","Sophomore","Female","Latino or Hispanic","Pass"
"3161","50","UniversityOfFlorida","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3162","51","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Male","African-American","Fail"
"3163","52","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3164","53","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3165","54","UniversityOfFlorida","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3166","55","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3167","56","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3168","57","UniversityOfFlorida","Light Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3169","58","UniversityOfFlorida","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3170","59","UniversityOfFlorida","Light Clipboard",5,"Include","18","First-year","Female","Asian-American","Pass"
"3171","6","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3173","61","UniversityOfFlorida","Light Clipboard",5,"Include","20","Sophomore","Female","Asian-American","Fail"
"3174","62","UniversityOfFlorida","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3175","63","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3176","64","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
"3177","65","UniversityOfFlorida","Light Clipboard",3,"Include","18","First-year","Female","Asian-American","Fail"
"3178","66","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3179","67","UniversityOfFlorida","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"3180","68","UniversityOfFlorida","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"3181","69","UniversityOfFlorida","Light Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3182","7","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3183","70","UniversityOfFlorida","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3184","71","UniversityOfFlorida","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3185","72","UniversityOfFlorida","Heavy Clipboard",6,"Include","20","Junior","Female","Asian-American","Fail"
"3186","73","UniversityOfFlorida","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3187","74","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3188","75","UniversityOfFlorida","Light Clipboard",6,"Include","19","First-year","Female","Asian-American","Fail"
"3189","76","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Male","African-American","Pass"
"3190","77","UniversityOfFlorida","Light Clipboard",7,"Include","18","Sophomore","Female","African-American","Pass"
"3191","78","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"3192","79","UniversityOfFlorida","Light Clipboard",7,"Include","26","Junior","Female","White, non-Hispanic or latino","Fail"
"3193","8","UniversityOfFlorida","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"3194","80","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3196","82","UniversityOfFlorida","Heavy Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3197","83","UniversityOfFlorida","Light Clipboard",3,"Include","21","Junior","Male","Latino or Hispanic","Pass"
"3198","84","UniversityOfFlorida","Heavy Clipboard",4,"Include","18","First-year","Male","Multiracial","Fail"
"3200","86","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3201","87","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3202","88","UniversityOfFlorida","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3203","89","UniversityOfFlorida","Light Clipboard",3,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3204","9","UniversityOfFlorida","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"3205","90","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","Other","Female","Multiracial","Pass"
"3206","91","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3207","92","UniversityOfFlorida","Heavy Clipboard",6,"Include","19","Sophomore","Female","African-American","Fail"
"3209","94","UniversityOfFlorida","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3210","95","UniversityOfFlorida","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3211","96","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3212","97","UniversityOfFlorida","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3214","99","UniversityOfFlorida","Light Clipboard",5,"Include","24","Junior","Male","Latino or Hispanic","Pass"
