"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"2335","1","SanDiegoStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","Latino or Hispanic","Fail"
"2336","10","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","21","Senior","Male","Multiracial","Pass"
"2337","100","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2338","101","SanDiegoStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","Multiracial","Pass"
"2339","102","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"2340","104","SanDiegoStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"2342","106","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","Asian-American","Pass"
"2343","107","SanDiegoStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2344","108","SanDiegoStateUniversity","Heavy Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2345","109","SanDiegoStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2346","11","SanDiegoStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","Asian-American","Fail"
"2347","110","SanDiegoStateUniversity","Heavy Clipboard",4,"Include","18","First-year","Female","Asian-American","Pass"
"2348","111","SanDiegoStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","Multiracial","Pass"
"2349","112","SanDiegoStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","Asian-American","Pass"
"2350","113","SanDiegoStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"2351","114","SanDiegoStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2352","115","SanDiegoStateUniversity","Light Clipboard",7,"Include","18","First-year","Male","Latino or Hispanic","Pass"
"2353","116","SanDiegoStateUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"2354","117","SanDiegoStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Multiracial","Pass"
"2355","118","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"2356","119","SanDiegoStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2357","12","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2358","120","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2359","121","SanDiegoStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2360","122","SanDiegoStateUniversity","Heavy Clipboard",3,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2361","123","SanDiegoStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2362","124","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","31","Other","Male","Multiracial","Pass"
"2363","125","SanDiegoStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"2364","126","SanDiegoStateUniversity","Heavy Clipboard",4,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2366","128","SanDiegoStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2367","129","SanDiegoStateUniversity","Light Clipboard",4,"Include","19","Sophomore","Male","Asian-American","Pass"
"2368","13","SanDiegoStateUniversity","Light Clipboard",5,"Include","18","Sophomore","Female","Asian-American","Pass"
