"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3320","10","UniversityOfToronto","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3321","11","UniversityOfToronto","Light Clipboard",5,"Include","21","Sophomore","Male","Asian-American","Pass"
"3322","12","UniversityOfToronto","Heavy Clipboard",4,"Include","17","First-year","Female","Asian-American","Pass"
"3323","13","UniversityOfToronto","Light Clipboard",5,"Include","18","Sophomore","Female","Asian-American","Fail"
"3324","14","UniversityOfToronto","Heavy Clipboard",3,"Include","21","Other","Female","Asian-American","Pass"
"3325","15","UniversityOfToronto","Light Clipboard",7,"Include","18","First-year","Male","Asian-American","Pass"
"3326","16","UniversityOfToronto","Heavy Clipboard",6,"Include","21","Junior","Male","Asian-American","Fail"
"3327","17","UniversityOfToronto","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3328","18","UniversityOfToronto","Heavy Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3329","19","UniversityOfToronto","Light Clipboard",5,"Include","18","First-year","Female","Asian-American","Fail"
"3330","20","UniversityOfToronto","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"3331","21","UniversityOfToronto","Light Clipboard",5,"Include","almost 18","First-year","Female","Asian-American","Fail"
"3332","22","UniversityOfToronto","Heavy Clipboard",7,"Include","22 years","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"3335","25","UniversityOfToronto","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3336","26","UniversityOfToronto","Heavy Clipboard",6,"Include","20","Sophomore","Female",NA,"Pass"
"3337","27","UniversityOfToronto","Light Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"3338","28","UniversityOfToronto","Heavy Clipboard",3,"Include","19","First-year","Male","Asian-American","Fail"
"3340","29","UniversityOfToronto","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3341","30","UniversityOfToronto","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3342","31","UniversityOfToronto","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3343","32","UniversityOfToronto","Heavy Clipboard",5,"Include","20","First-year","Male","Asian-American","Fail"
"3344","33","UniversityOfToronto","Light Clipboard",7,"Include","19","Sophomore","Female","Other","Fail"
"3345","34","UniversityOfToronto","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3346","35","UniversityOfToronto","Light Clipboard",7,"Include","17 (18 in one month)","First-year","Female","Other","Pass"
"3347","36","UniversityOfToronto","Heavy Clipboard",6,"Include","18","First-year","Female","Other","Pass"
"3348","37","UniversityOfToronto","Light Clipboard",6,"Include","19","Sophomore","Female","Multiracial","Pass"
"3350","39","UniversityOfToronto","Light Clipboard",4,"Include","19","First-year","Female","Asian-American","Fail"
