"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"2066","10","PacificLutheranUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"2067","100","PacificLutheranUniversity","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2068","101","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2069","102","PacificLutheranUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2070","103","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2071","104","PacificLutheranUniversity","Heavy Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2072","105","PacificLutheranUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"2073","107","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2074","108","PacificLutheranUniversity","Heavy Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2075","109","PacificLutheranUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2076","11","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2077","110","PacificLutheranUniversity","Heavy Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2078","111","PacificLutheranUniversity","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2080","13","PacificLutheranUniversity","Light Clipboard",7,"Include","18","Other","Female","White, non-Hispanic or latino","Pass"
"2081","14","PacificLutheranUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"2082","15","PacificLutheranUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"2083","16","PacificLutheranUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"2084","17","PacificLutheranUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"2085","18","PacificLutheranUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Multiracial","Fail"
"2086","19","PacificLutheranUniversity","Light Clipboard",6,"Include","20","Other","Female","White, non-Hispanic or latino","Fail"
"2087","20","PacificLutheranUniversity","Heavy Clipboard",7,"Include","17","First-year","Female","White, non-Hispanic or latino","Pass"
"2088","21","PacificLutheranUniversity","Light Clipboard",2,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2089","22","PacificLutheranUniversity","Heavy Clipboard",7,"Include","18","Other","Female","Asian-American","Pass"
"2090","23","PacificLutheranUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2091","24","PacificLutheranUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2092","25","PacificLutheranUniversity","Light Clipboard",6,"Include","18","Sophomore","Female","Asian-American","Fail"
"2093","26","PacificLutheranUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2094","27","PacificLutheranUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2095","28","PacificLutheranUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"2096","29","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2097","30","PacificLutheranUniversity","Heavy Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2098","31","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2099","32","PacificLutheranUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","African-American","Pass"
"2100","33","PacificLutheranUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"2101","34","PacificLutheranUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","Multiracial","Pass"
"2102","35","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Male","Multiracial","Pass"
"2103","36","PacificLutheranUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2104","37","PacificLutheranUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
