"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3656","10","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Male","Asian-American","Fail"
"3657","100","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","22","Senior","Female","White, non-Hispanic or latino","Pass"
"3658","101","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","19","Sophomore","Female","African-American","Pass"
"3659","102","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","18","First-year","Female","African-American","Pass"
"3660","103","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"3661","11","VirginiaCommonwealthUniversity","Light Clipboard",3,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"3662","12","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Asian-American","Fail"
"3663","13","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"3664","14","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","21","Sophomore","Male","Latino or Hispanic","Pass"
"3665","15","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","21","Junior","Male","White, non-Hispanic or latino","Pass"
"3666","16","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3668","18","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3669","19","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","Junior","Female","White, non-Hispanic or latino","Pass"
"3670","20","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
"3671","21","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","22","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3672","22","VirginiaCommonwealthUniversity","Heavy Clipboard",5,"Include","20","Sophomore","Female","Other","Pass"
"3673","23","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3674","24","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","Asian-American","Pass"
"3675","25","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3676","26","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","22","Junior","Male","White, non-Hispanic or latino","Fail"
"3677","27","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"3679","29","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","21","Senior","Female","African-American","Fail"
"3680","30","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","24","First-year","Female","African-American","Fail"
"3681","31","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","African-American","Fail"
"3682","32","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3683","33","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","21","Senior","Male","White, non-Hispanic or latino","Pass"
"3684","34","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3686","36","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3687","37","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","21","Senior","Male","Asian-American","Fail"
"3688","38","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3689","39","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Male","Multiracial","Pass"
"3690","40","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","20","Senior","Female","Multiracial","Pass"
"3691","41","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3692","42","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","17","First-year","Female","African-American","Pass"
"3693","43","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","African-American","Fail"
"3694","44","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3695","45","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"3696","46","VirginiaCommonwealthUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3697","47","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"3698","48","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","African-American","Fail"
"3699","49","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3700","50","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","African-American","Fail"
"3701","51","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Male","Asian-American","Pass"
"3702","52","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","23","Senior","Male","African-American","Pass"
"3703","53","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","22","Senior","Female","African-American","Pass"
"3704","54","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3705","55","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Fail"
"3706","56","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3707","57","VirginiaCommonwealthUniversity","Light Clipboard",3,"Include","18","First-year","Male","Other","Fail"
"3708","58","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"3710","60","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3711","61","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","First-year","Female","African-American","Fail"
"3712","62","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"3713","63","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3715","65","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","African-American","Pass"
"3716","66","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","19","First-year","Female","African-American","Fail"
"3717","67","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","African-American","Pass"
"3718","68","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3719","69","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","19","First-year","Male","Asian-American","Pass"
"3720","7","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3721","70","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","African-American","Pass"
"3722","71","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"3723","72","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3724","73","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"3725","74","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Multiracial","Pass"
"3726","75","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3727","76","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3728","77","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","First-year","Female","Other","Fail"
"3729","78","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Fail"
"3730","79","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3731","8","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","43","First-year","Male","White, non-Hispanic or latino","Pass"
"3732","80","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","22","Junior","Male","White, non-Hispanic or latino","Pass"
"3733","81","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","Asian-American","Pass"
"3735","83","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3736","84","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include","17","First-year","Female","White, non-Hispanic or latino","Pass"
"3738","86","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","20","Junior","Female","Latino or Hispanic","Pass"
"3739","87","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","29","Junior","Female","Asian-American","Fail"
"3740","88","VirginiaCommonwealthUniversity","Heavy Clipboard",5,"Include","18","First-year","Male","Asian-American","Fail"
"3741","89","VirginiaCommonwealthUniversity","Light Clipboard",5,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"3742","9","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"3743","90","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3744","91","VirginiaCommonwealthUniversity","Heavy Clipboard",4,"Include","20","First-year","Male","Other","Pass"
"3745","92","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","20","Junior","Female","African-American","Fail"
"3746","93","VirginiaCommonwealthUniversity","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"3747","94","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"3749","96","VirginiaCommonwealthUniversity","Heavy Clipboard",7,"Include","21","Junior","Male","White, non-Hispanic or latino","Fail"
"3751","98","VirginiaCommonwealthUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3752","99","VirginiaCommonwealthUniversity","Light Clipboard",7,"Include","20","Junior","Female","African-American","Fail"
