"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3422","10","UniversityOfVirginia","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"3423","100","UniversityOfVirginia","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3424","101","UniversityOfVirginia","Light Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3425","102","UniversityOfVirginia","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3426","103","UniversityOfVirginia","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"3427","104","UniversityOfVirginia","Heavy Clipboard",6,"Include","18","First-year","Male","African-American","Pass"
"3428","105","UniversityOfVirginia","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3429","106","UniversityOfVirginia","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3430","107","UniversityOfVirginia","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3431","108","UniversityOfVirginia","Heavy Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"3433","11","UniversityOfVirginia","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"3434","110","UniversityOfVirginia","Heavy Clipboard",6,"Include","18","First-year","Male","Asian-American","Pass"
"3435","111","UniversityOfVirginia","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3436","112","UniversityOfVirginia","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"3437","113","UniversityOfVirginia","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3438","114","UniversityOfVirginia","Heavy Clipboard",7,"Include","18","First-year","Male","African-American","Pass"
"3439","115","UniversityOfVirginia","Light Clipboard",6,"Include","18","First-year","Male","Asian-American","Pass"
"3441","117","UniversityOfVirginia","Light Clipboard",6,"Include","21","Junior","Female","Other","Pass"
"3442","118","UniversityOfVirginia","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3443","119","UniversityOfVirginia","Light Clipboard",6,"Include","20","Junior","Female","Asian-American","Pass"
"3444","12","UniversityOfVirginia","Heavy Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
