"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3224","1","UniversityOfSouthernMississippi","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3226","11","UniversityOfSouthernMississippi","Light Clipboard",6,"Include","20","Other","Female","African-American","Pass"
"3227","12","UniversityOfSouthernMississippi","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"3228","13","UniversityOfSouthernMississippi","Light Clipboard",5,"Include","34","Junior","Female","African-American","Pass"
"3230","15","UniversityOfSouthernMississippi","Light Clipboard",6,"Include","21","Senior","Male","White, non-Hispanic or latino","Fail"
"3231","16","UniversityOfSouthernMississippi","Heavy Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"3233","18","UniversityOfSouthernMississippi","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Fail"
"3234","19","UniversityOfSouthernMississippi","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3235","2","UniversityOfSouthernMississippi","Heavy Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
"3236","20","UniversityOfSouthernMississippi","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"3238","22","UniversityOfSouthernMississippi","Heavy Clipboard",7,"Include","24","Senior","Female","African-American","Fail"
"3239","23","UniversityOfSouthernMississippi","Light Clipboard",6,"Include","22","Other","Female","White, non-Hispanic or latino","Pass"
"3240","24","UniversityOfSouthernMississippi","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3241","25","UniversityOfSouthernMississippi","Light Clipboard",6,"Include","21","Junior","Female","White, non-Hispanic or latino","Pass"
"3242","26","UniversityOfSouthernMississippi","Heavy Clipboard",7,"Include","21","Senior","Female","African-American","Fail"
"3243","27","UniversityOfSouthernMississippi","Light Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
