"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"228","1","CarletonUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"229","10","CarletonUniversity","Heavy Clipboard",5,"Include","24","First-year","Female","Other","Pass"
"232","13","CarletonUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"233","14","CarletonUniversity","Heavy Clipboard",6,"Include","17","First-year","Female","Latino or Hispanic","Pass"
"234","15","CarletonUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"235","16","CarletonUniversity","Heavy Clipboard",6,"Include","25","Sophomore","Female","White, non-Hispanic or latino","Pass"
"236","17","CarletonUniversity","Light Clipboard",6,"Include","18","First-year","Female","Other","Pass"
"237","18","CarletonUniversity","Heavy Clipboard",2,"Include","20","Sophomore","Male","African-American","Fail"
"238","19","CarletonUniversity","Light Clipboard",7,"Include","18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"239","2","CarletonUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"240","20","CarletonUniversity","Heavy Clipboard",7,"Include","16","First-year","Female","African-American","Fail"
"241","21","CarletonUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"242","22","CarletonUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Other","Pass"
"243","23","CarletonUniversity","Light Clipboard",6,"Include","18","Sophomore","Female","African-American","Pass"
"244","25","CarletonUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"246","27","CarletonUniversity","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"247","28","CarletonUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"248","29","CarletonUniversity","Light Clipboard",5,"Include","24","First-year","Male","African-American","Pass"
"249","3","CarletonUniversity","Light Clipboard",6,"Include","26","Junior","Female","Multiracial",NA
"250","30","CarletonUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"251","31","CarletonUniversity","Light Clipboard",7,"Include","19","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"252","32","CarletonUniversity","Heavy Clipboard",7,"Include","19","Junior","Female","African-American","Pass"
"254","34","CarletonUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"255","35","CarletonUniversity","Light Clipboard",7,"Include","18","Sophomore","Female","African-American","Pass"
"256","36","CarletonUniversity","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"260","4","CarletonUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"261","40","CarletonUniversity","Heavy Clipboard",7,"Include","21","Senior","Female","Multiracial","Pass"
"262","41","CarletonUniversity","Light Clipboard",4,"Include","22","Sophomore","Female","African-American","Fail"
"263","42","CarletonUniversity","Heavy Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"264","43","CarletonUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"265","44","CarletonUniversity","Heavy Clipboard",5,"Include","18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"266","45","CarletonUniversity","Light Clipboard",6,"Include","27","Junior","Female","Other","Pass"
"267","46","CarletonUniversity","Heavy Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"268","5","CarletonUniversity","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"269","6","CarletonUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"270","7","CarletonUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"271","8","CarletonUniversity","Heavy Clipboard",5,"Include","17","First-year","Male","White, non-Hispanic or latino","Pass"
"272","9","CarletonUniversity","Light Clipboard",6,"Include","17","First-year","Female","White, non-Hispanic or latino","Pass"
