"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"1907","10","OSUNewark","Heavy Clipboard",2,"Include",NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"1908","100","OSUNewark","Heavy Clipboard",1,"Include",NA,"First-year","Male","African-American","Pass"
"1910","102","OSUNewark","Heavy Clipboard",7,"Include","22","Junior","Female","White, non-Hispanic or latino","Pass"
"1911","103","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1913","105","OSUNewark","Light Clipboard",5,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"1914","106","OSUNewark","Heavy Clipboard",5,"Include","19","First-year","Male","Multiracial","Fail"
"1915","107","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1916","108","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"1917","109","OSUNewark","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1918","11","OSUNewark","Light Clipboard",6,"Include","18","Other","Female","White, non-Hispanic or latino","Fail"
"1919","110","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1920","111","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1921","112","OSUNewark","Heavy Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1922","113","OSUNewark","Light Clipboard",7,"Include","20","Junior","Female","Latino or Hispanic","Pass"
"1923","114","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1924","115","OSUNewark","Light Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1925","116","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1928","119","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1929","12","OSUNewark","Heavy Clipboard",6,"Include","21","Junior","Female","White, non-Hispanic or latino","Fail"
"1930","120","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1931","121","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1932","122","OSUNewark","Heavy Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1933","123","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1934","124","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"1935","125","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1937","127","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","African-American","Fail"
"1938","128","OSUNewark","Heavy Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"1939","129","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","African-American","Fail"
"1940","13","OSUNewark","Light Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
"1941","130","OSUNewark","Heavy Clipboard",7,"Include","19","First-year",NA,"White, non-Hispanic or latino","Pass"
"1942","131","OSUNewark","Light Clipboard",6,"Include","22","First-year","Male","White, non-Hispanic or latino","Pass"
"1943","132","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","African-American","Fail"
"1944","133","OSUNewark","Light Clipboard",6,"Include","19","Sophomore","Male","African-American","Fail"
"1945","134","OSUNewark","Heavy Clipboard",3,"Include","19",NA,"Male","White, non-Hispanic or latino","Fail"
"1947","137","OSUNewark","Light Clipboard",7,"Include","20","First-year","Female","White, non-Hispanic or latino","Fail"
"1950","14","OSUNewark","Heavy Clipboard",3,"Include",NA,"Junior","Female","Asian-American","Fail"
"1951","140","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1952","141","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1953","142","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1954","143","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1955","144","OSUNewark","Heavy Clipboard",7,"Include","19","First-year","Male","Multiracial","Pass"
"1956","145","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1958","147","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1959","148","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"1960","149","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","Multiracial","Pass"
"1961","15","OSUNewark","Light Clipboard",5,"Include","18","First-year","Female","African-American","Fail"
"1962","150","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1963","151","OSUNewark","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1964","152","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"1965","153","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1966","154","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1967","155","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","Multiracial","Pass"
"1969","157","OSUNewark","Light Clipboard",7,"Include","19","First-year","Female","Other","Fail"
"1970","16","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","Asian-American","Pass"
"1971","17","OSUNewark","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"1972","18","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1973","19","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1974","2","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Female","Asian-American","Fail"
"1975","20","OSUNewark","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1976","21","OSUNewark","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1977","22","OSUNewark","Heavy Clipboard",4,"Include","19","First-year","Male","Asian-American","Fail"
"1979","24","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Female","African-American","Fail"
"1980","25","OSUNewark","Light Clipboard",5,"Include","18","First-year","Male","African-American","Pass"
"1981","26","OSUNewark","Heavy Clipboard",6,"Include",NA,"First-year","Male","White, non-Hispanic or latino","Fail"
"1982","27","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1983","28","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1984","29","OSUNewark","Light Clipboard",4,"Include","19","First-year","Female","African-American","Fail"
"1986","30","OSUNewark","Heavy Clipboard",7,"Include","21","Junior","Female","Multiracial","Pass"
"1988","32","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1989","33","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1990","34","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1991","35","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1993","37","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","African-American","Fail"
"1994","38","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1996","4","OSUNewark","Heavy Clipboard",4,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1998","41","OSUNewark","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"1999","42","OSUNewark","Heavy Clipboard",7,"Include","18","First-year",NA,"White, non-Hispanic or latino","Pass"
"2000","43","OSUNewark","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"2001","44","OSUNewark","Heavy Clipboard",4,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2002","45","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2003","46","OSUNewark","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2004","47","OSUNewark","Light Clipboard",7,"Include","19","First-year","Female","African-American","Pass"
"2007","5","OSUNewark","Light Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2008","50","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2009","51","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2011","53","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","African-American","Fail"
"2014","56","OSUNewark","Heavy Clipboard",6,"Include","19",NA,"Female","African-American","Pass"
"2015","57","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2016","58","OSUNewark","Heavy Clipboard",4,"Include","18","First-year","Female","African-American","Fail"
"2017","59","OSUNewark","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2018","6","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2019","60","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2020","61","OSUNewark","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2021","62","OSUNewark","Heavy Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2022","63","OSUNewark","Light Clipboard",5,"Include","18","First-year","Male","African-American","Fail"
"2023","64","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2025","66","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2028","69","OSUNewark","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"2033","73","OSUNewark","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2034","74","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2035","75","OSUNewark","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2036","76","OSUNewark","Heavy Clipboard",5,"Include","20","First-year","Male","White, non-Hispanic or latino","Pass"
"2037","77","OSUNewark","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2038","78","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2039","79","OSUNewark","Light Clipboard",3,"Include","18","First-year","Male","Asian-American","Pass"
"2040","8","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2041","80","OSUNewark","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2042","81","OSUNewark","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2043","82","OSUNewark","Heavy Clipboard",7,"Include","33","First-year","Female","White, non-Hispanic or latino","Pass"
"2044","83","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","Multiracial","Fail"
"2045","84","OSUNewark","Heavy Clipboard",7,"Include","20","Other","Female","White, non-Hispanic or latino","Fail"
"2046","85","OSUNewark","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2047","86","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2048","87","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2049","88","OSUNewark","Heavy Clipboard",4,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2050","89","OSUNewark","Light Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2051","9","OSUNewark","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"2052","90","OSUNewark","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2053","91","OSUNewark","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2054","92","OSUNewark","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2056","94","OSUNewark","Heavy Clipboard",7,"Include","18","First-year","Male","Asian-American","Fail"
"2057","95","OSUNewark","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2058","96","OSUNewark","Heavy Clipboard",7,"Include","19","First-year","Male","African-American","Fail"
"2060","98","OSUNewark","Heavy Clipboard",7,"Include","19","First-year","Male","African-American","Pass"
"2061","99","OSUNewark","Light Clipboard",2,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
