"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"578","148","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"579","149","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"581","150","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Other","Fail"
"583","152","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"584","153","MichiganStateUniversity","Light Clipboard",4,"Include","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"585","154","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"586","155","MichiganStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"587","156","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Male","Multiracial","Pass"
"588","157","MichiganStateUniversity","Light Clipboard",2,"Include","19","First-year","Female","Other","Fail"
"589","158","MichiganStateUniversity","Heavy Clipboard",7,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"590","159","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"591","16","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"592","160","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","Other","Pass"
"593","161","MichiganStateUniversity","Light Clipboard",7,"Include","21","Junior","Female","White, non-Hispanic or latino","Fail"
"594","162","MichiganStateUniversity","Heavy Clipboard",4,"Include","18","First-year","Female","Asian-American","Pass"
"596","164","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Junior","Male","Other","Fail"
"597","165","MichiganStateUniversity","Light Clipboard",7,"Include","21","Senior","Female","African-American","Pass"
"599","167","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"600","168","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"601","169","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Multiracial","Pass"
"602","17","MichiganStateUniversity","Light Clipboard",3,"Include","18","Sophomore","Female","Asian-American","Pass"
"603","170","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Native American and Alaska Native","Pass"
"604","171","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"605","172","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Fail"
"606","173","MichiganStateUniversity","Light Clipboard",3,"Include","20","First-year","Male","Asian-American","Fail"
"607","174","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Sophomore","Female","Multiracial","Pass"
"608","175","MichiganStateUniversity","Light Clipboard",3,"Include","20","Junior","Female","Asian-American","Fail"
"609","176","MichiganStateUniversity","Heavy Clipboard",5,"Include","21","Senior","Female","Other","Fail"
"610","177","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"611","178","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Other","Fail"
"612","179","MichiganStateUniversity","Light Clipboard",4,"Include","19","Sophomore","Female","Asian-American","Pass"
"613","18","MichiganStateUniversity","Heavy Clipboard",3,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"614","180","MichiganStateUniversity","Heavy Clipboard",6,"Include","22","Senior","Female","White, non-Hispanic or latino","Pass"
"615","181","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"617","183","MichiganStateUniversity","Light Clipboard",5,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"618","184","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"620","186","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"621","187","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"622","188","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"623","189","MichiganStateUniversity","Light Clipboard",6,"Include","21","Senior","Female","Multiracial","Fail"
"624","19","MichiganStateUniversity","Light Clipboard",4,"Include","19","Sophomore","Female","African-American","Pass"
