"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"418","100","MiamiUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"419","101","MiamiUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"420","102","MiamiUniversity","Heavy Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"421","103","MiamiUniversity","Light Clipboard",7,"Include","22","Sophomore",NA,"Asian-American","Fail"
"422","104","MiamiUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"423","105","MiamiUniversity","Light Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"424","11","MiamiUniversity","Light Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"425","12","MiamiUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"426","13","MiamiUniversity","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"427","14","MiamiUniversity","Heavy Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"428","15","MiamiUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"429","16","MiamiUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"430","17","MiamiUniversity","Light Clipboard",5,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"431","18","MiamiUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"432","19","MiamiUniversity","Light Clipboard",6,"Include","19",NA,"Female","White, non-Hispanic or latino","Fail"
"433","20","MiamiUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"434","21","MiamiUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"436","23","MiamiUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"437","24","MiamiUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"438","25","MiamiUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"439","26","MiamiUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"440","27","MiamiUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"441","28","MiamiUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"442","29","MiamiUniversity","Light Clipboard",5,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"443","30","MiamiUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"445","32","MiamiUniversity","Heavy Clipboard",3,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"446","33","MiamiUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","Native American and Alaska Native","Pass"
"447","34","MiamiUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"448","35","MiamiUniversity","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"449","36","MiamiUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"450","37","MiamiUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
