"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"69","77","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"70","78","AshlandUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"71","79","AshlandUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"72","8","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"73","80","AshlandUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Male","African-American","Fail"
"74","81","AshlandUniversity","Light Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"75","82","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"77","84","AshlandUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"78","85","AshlandUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"80","87","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"81","88","AshlandUniversity","Heavy Clipboard",6,"Include","26","Junior","Female","White, non-Hispanic or latino","Fail"
"82","89","AshlandUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"84","90","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"85","91","AshlandUniversity","Light Clipboard",6,"Include","18","First-year","Female","African-American","Pass"
