"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"2486","10","TexasAandM","Heavy Clipboard",7,"Include","19","Sophomore","Female","Multiracial","Fail"
"2487","100","TexasAandM","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2488","101","TexasAandM","Light Clipboard",7,"Include","18","First-year",NA,NA,"Fail"
"2489","102","TexasAandM","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2490","103","TexasAandM","Light Clipboard",6,"Include","22","Senior","Female","White, non-Hispanic or latino","Pass"
"2491","104","TexasAandM","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2492","105","TexasAandM","Light Clipboard",6,"Include","18","First-year","Female","Multiracial","Fail"
"2493","106","TexasAandM","Heavy Clipboard",7,"Include","19","Sophomore","Male","African-American","Pass"
"2494","107","TexasAandM","Light Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2495","108","TexasAandM","Heavy Clipboard",5,"Include","19","Sophomore","Female","Latino or Hispanic","Fail"
"2496","109","TexasAandM","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2497","11","TexasAandM","Light Clipboard",6,"Include","21","Junior","Female","White, non-Hispanic or latino","Pass"
"2499","111","TexasAandM","Light Clipboard",7,"Include","20","Sophomore","Female","African-American","Fail"
"2500","112","TexasAandM","Heavy Clipboard",7,"Include","18","First-year","Male","Asian-American","Pass"
"2501","113","TexasAandM","Light Clipboard",6,"Include","19","Sophomore","Female","Latino or Hispanic","Fail"
"2502","114","TexasAandM","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2503","115","TexasAandM","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2504","116","TexasAandM","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2505","117","TexasAandM","Light Clipboard",6,"Include","21","Junior","Male","White, non-Hispanic or latino","Pass"
"2506","118","TexasAandM","Heavy Clipboard",7,"Include","20","Sophomore","Male","Latino or Hispanic","Pass"
"2507","119","TexasAandM","Light Clipboard",7,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2510","121","TexasAandM","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2511","122","TexasAandM","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"2512","123","TexasAandM","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"2513","124","TexasAandM","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2514","125","TexasAandM","Light Clipboard",6,"Include","18","First-year","Male","Asian-American","Fail"
"2515","126","TexasAandM","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2516","127","TexasAandM","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Fail"
"2517","128","TexasAandM","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"2520","131","TexasAandM","Light Clipboard",7,"Include","19","Sophomore","Male","Latino or Hispanic","Fail"
"2521","132","TexasAandM","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"2522","133","TexasAandM","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2524","135","TexasAandM","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2525","136","TexasAandM","Heavy Clipboard",5,"Include","20","Junior","Male","Asian-American","Pass"
"2526","137","TexasAandM","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"2527","139","TexasAandM","Light Clipboard",6,"Include","19","First-year","Male","Latino or Hispanic","Fail"
"2528","14","TexasAandM","Heavy Clipboard",5,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2529","140","TexasAandM","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2530","141","TexasAandM","Light Clipboard",7,"Include","19","Sophomore","Female","Latino or Hispanic","Pass"
"2531","142","TexasAandM","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2532","143","TexasAandM","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2533","144","TexasAandM","Heavy Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2534","145","TexasAandM","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2535","146","TexasAandM","Heavy Clipboard",6,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2536","147","TexasAandM","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"2537","148","TexasAandM","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"2538","149","TexasAandM","Light Clipboard",6,"Include","18","First-year","Male","Asian-American","Fail"
"2539","15","TexasAandM","Light Clipboard",5,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"2540","150","TexasAandM","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2541","151","TexasAandM","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"2542","152","TexasAandM","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"2543","153","TexasAandM","Light Clipboard",5,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2544","154","TexasAandM","Heavy Clipboard",6,"Include","20`","Junior","Male","White, non-Hispanic or latino","Fail"
"2545","155","TexasAandM","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Fail"
"2546","156","TexasAandM","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2547","157","TexasAandM","Light Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2548","158","TexasAandM","Heavy Clipboard",7,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2549","159","TexasAandM","Light Clipboard",7,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2550","16","TexasAandM","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2551","160","TexasAandM","Heavy Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino",NA
"2553","162","TexasAandM","Heavy Clipboard",7,"Include","20","Sophomore","Female","Asian-American","Fail"
"2554","163","TexasAandM","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2555","164","TexasAandM","Heavy Clipboard",6,"Include","20","Junior","Female","Asian-American",NA
"2556","165","TexasAandM","Light Clipboard",7,"Include","19","First-year","Female","Latino or Hispanic","Pass"
"2559","168","TexasAandM","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2561","17","TexasAandM","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2562","170","TexasAandM","Heavy Clipboard",6,"Include","21","Junior","Male","White, non-Hispanic or latino","Fail"
"2563","171","TexasAandM","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
