"","session_id","referrer","MoneyGroup","Sysjust"
"4660",2466441,"sdsu","Money priming group",3.125
"4661",2466442,"sdsu","Money priming group",2.875
"4662",2466443,"sdsu","Control group",3.125
"4663",2466547,"sdsu","Money priming group",3.875
"4664",2466548,"sdsu","Money priming group",3
"4665",2466549,"sdsu","Control group",4.75
"4666",2466635,"sdsu","Control group",3.875
"4667",2466638,"sdsu","Money priming group",4.625
"4668",2468204,"sdsu","Money priming group",3.5
"4669",2468205,"sdsu","Money priming group",2.375
"4670",2468206,"sdsu","Control group",5.25
"4671",2468345,"sdsu","Control group",4
"4672",2468347,"sdsu","Money priming group",3
"4673",2468348,"sdsu","Control group",2.25
"4674",2468350,"sdsu","Money priming group",3.5
"4675",2468450,"sdsu","Money priming group",3.75
"4676",2468451,"sdsu","Money priming group",3.25
"4677",2468454,"sdsu","Money priming group",3.375
"4678",2468534,"sdsu","Control group",2.875
"4679",2468536,"sdsu","Money priming group",3.5
"4680",2468538,"sdsu","Money priming group",1.875
"4681",2468539,"sdsu","Control group",3.75
