"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"847",2483687,"ku",0.00481822833727697,4.66666666666667,"Include"
"848",2483760,"ku",-0.0589650149593703,5.08333333333333,"Include"
"849",2483819,"ku",0.411535970356452,5.25,"Include"
"850",2483825,"ku",0.618571368677001,4.58333333333333,"Include"
"851",2483870,"ku",0.355915003422792,3.83333333333333,"Include"
"852",2483963,"ku",1.27619465431246,4.66666666666667,"Include"
"853",2484027,"ku",0.631678131401921,6.16666666666667,"Include"
"854",2484223,"ku",0.810351143096503,5,"Include"
"856",2484282,"ku",0.200157158544076,4.41666666666667,"Include"
"857",2484311,"ku",0.0995593701450186,4.58333333333333,"Include"
"858",2484495,"ku",0.78012136107808,5.33333333333333,"Include"
"860",2484541,"ku",0.210664159838317,4.5,"Include"
"861",2484655,"ku",0.633038682976848,3.58333333333333,"Include"
"862",2484735,"ku",0.441017406668286,3.5,"Include"
"863",2484763,"ku",-0.268438035508357,3.58333333333333,"Include"
"864",2484839,"ku",0.455778479376757,4.58333333333333,"Include"
"865",2484935,"ku",-0.576600636531577,3.25,"Include"
"866",2484964,"ku",1.09815170440201,5,"Include"
"867",2484991,"ku",0.227438762204469,4.66666666666667,"Include"
"868",2484998,"ku",-0.432586217010521,2.41666666666667,"Include"
"869",2485106,"ku",0.792224579375855,4.75,"Include"
"871",2485343,"ku",0.707809718445008,2.58333333333333,"Include"
"872",2485384,"ku",-0.0251419178541716,3.5,"Include"
"873",2486014,"ku",-0.234246612338323,3.16666666666667,"Include"
"876",2486120,"ku",0.49805459191338,5.66666666666667,"Include"
"877",2486130,"ku",0.546490797135287,4.08333333333333,"Include"
"878",2486139,"ku",0.706843012518381,3.66666666666667,"Include"
"879",2486189,"ku",0.895090754075348,5.08333333333333,"Include"
"880",2486238,"ku",1.08830277711675,4.66666666666667,"Include"
"881",2486297,"ku",0.109391284756028,6.08333333333333,"Include"
"882",2486389,"ku",0.914925519493452,5,"Include"
"883",2486683,"ku",-0.00124600839006739,4.08333333333333,"Include"
"884",2487627,"ku",-0.094424728500908,5.08333333333333,"Include"
"885",2487736,"ku",0.712981870935934,3.91666666666667,"Include"
"886",2487969,"ku",0.5920827082699,5.41666666666667,"Include"
"887",2487986,"ku",0.366010234286982,6,"Include"
"888",2488624,"ku",-0.42707996393876,5.5,"Include"
"889",2489799,"ku",1.54246228352884,4.75,"Include"
"890",2489978,"ku",0.252792460539983,4.16666666666667,"Include"
"891",2490370,"ku",0.0928913730294968,4.58333333333333,"Include"
"892",2491599,"ku",0.771523721302454,4.58333333333333,"Include"
"893",2491676,"ku",0.184343937417197,4.66666666666667,"Include"
