"","participantnum","referrer","ms_condition","pro_minus_anti","race","countryofbirth"
"2033","3","vcu","ms",1.33333333333333,1,1
"2034","7","vcu","ms",0.666666666666666,1,1
"2035","8","vcu","ms",5.33333333333333,1,1
"2036","15","vcu","tv",2.66666666666667,1,1
"2037","18","vcu","tv",-0.333333333333334,1,1
"2038","21","vcu","ms",2.66666666666667,1,1
"2039","7","vcu","ms",0.666666666666666,1,1
"2040","8","vcu","ms",5.33333333333333,1,1
"2041","1","vcu","ms",0.666666666666667,6,1
"2042","2","vcu","ms",-1,4,1
"2043","4","vcu","ms",0.666666666666666,6,1
"2044","5","vcu","ms",2.33333333333333,1,1
"2045","6","vcu","ms",6,2,1
"2046","9","vcu","ms",1.33333333333333,4,2
"2047","10","vcu","ms",-0.666666666666667,1,1
"2048","11","vcu","ms",2,4,2
"2049","12","vcu","ms",0,1,1
"2050","13","vcu","ms",1.33333333333333,1,1
"2051","14","vcu","ms",-2.33333333333333,1,1
"2052","16","vcu","ms",1.66666666666667,2,1
"2053","17","vcu","tv",2,4,2
"2054","19","vcu","tv",0.666666666666667,4,1
"2055","20","vcu","ms",4.33333333333333,1,1
"2056","22","vcu","ms",0.666666666666667,1,1
"2057","23","vcu","ms",4,1,1
"2058","24","vcu","ms",2.33333333333333,4,2
"2059","25","vcu","ms",1,1,1
"2060","26","vcu","ms",-0.666666666666667,1,1
"2061","27","vcu","ms",1,2,1
"2062","1","vcu","tv",1,2,1
"2063","2","vcu","ms",-1,1,2
"2064","3","vcu","tv",3,2,1
"2065","4","vcu","tv",4.66666666666667,6,1
"2066","5","vcu","ms",2.33333333333333,1,1
"2067","6","vcu","tv",2.33333333333333,2,1
"2068","7","vcu","tv",1.33333333333333,6,1
"2069","8","vcu","ms",2.66666666666667,1,1
"2070","9","vcu","ms",-0.333333333333333,2,1
"2071","10","vcu","ms",-1,1,1
"2072","11","vcu","ms",0.333333333333334,4,2
"2073","12","vcu","ms",0,4,1
"2074","13","vcu","ms",1.66666666666667,4,1
"2075","14","vcu","ms",0,1,1
"2076","15","vcu","tv",2,2,2
"2077","16","vcu","tv",0.333333333333334,4,2
"2078","17","vcu","tv",2.33333333333333,1,1
"2079","18","vcu","ms",0.666666666666667,1,1
"2080","19","vcu","tv",-0.333333333333333,2,1
"2081","20","vcu","tv",3,1,1
"2082","21","vcu","ms",2.33333333333333,1,2
"2083","22","vcu","ms",1,1,2
"2084","23","vcu","tv",1.66666666666667,1,1
"2085","24","vcu","tv",0.333333333333333,1,1
"2086","25","vcu","ms",7,2,2
"2087","26","vcu","ms",-0.666666666666667,2,1
"2088","27","vcu","tv",2,4,2
"2089","28","vcu","ms",-2.66666666666667,2,1
"2090","29","vcu","ms",0.333333333333333,2,1
"2091","30","vcu","tv",1.66666666666667,4,1
"2092","31","vcu","ms",1.66666666666667,1,1
"2093","32","vcu","tv",1.66666666666667,1,1
"2094","33","vcu","ms",1.33333333333333,2,1
"2095","34","vcu","ms",0.666666666666666,1,1
"2096","35","vcu","ms",4.33333333333333,4,2
"2097","36","vcu","ms",0.333333333333333,2,1
"2098","37","vcu","tv",1.33333333333333,6,1
"2099","38","vcu","ms",0.666666666666667,2,1
"2100","39","vcu","ms",1,1,1
"2101","40","vcu","tv",2.66666666666667,6,1
"2102","41","vcu","tv",1.33333333333333,4,1
"2103","42","vcu","tv",0.666666666666666,4,1
"2104","43","vcu","ms",1.33333333333333,1,1
"2105","45","vcu","ms",5.33333333333333,1,1
"2106","46","vcu","tv",1,4,1
"2107","47","vcu","ms",-2,2,1
"2108","48","vcu","ms",0.333333333333333,4,1
"2109","49","vcu","tv",0,2,1
"2110","50","vcu","ms",1.33333333333333,2,1
"2111","51","vcu","tv",0.333333333333334,1,1
"2112","52","vcu","ms",-0.666666666666667,6,1
"2113","53","vcu","ms",1,4,2
"2114","54","vcu","tv",0,6,2
"2115","55","vcu","tv",0.666666666666666,4,1
"2116","56","vcu","tv",0.666666666666666,4,1
"2117","57","vcu","tv",0.333333333333333,4,1
"2118","58","vcu","ms",0,NA,NA
"2119","59","vcu","tv",0,2,1
"2120","60","vcu","ms",1.66666666666667,2,1
"2121","61","vcu","tv",0.333333333333333,4,1
"2122","62","vcu","tv",3.33333333333333,NA,2
"2123","63","vcu","tv",3,2,1
"2124","64","vcu","ms",2,4,1
"2125","65","vcu","ms",0,1,1
"2126","66","vcu","tv",2.33333333333333,2,1
"2127","67","vcu","tv",0,1,1
"2128","68","vcu","tv",0.666666666666666,2,1
"2129","69","vcu","tv",2,1,1
"2130","70","vcu","tv",1.33333333333333,2,1
"2131","71","vcu","ms",4.33333333333333,6,1
"2132","72","vcu","tv",0.666666666666666,1,1
"2133","73","vcu","ms",0.666666666666666,1,1
"2134","74","vcu","tv",0.333333333333334,1,1
"2135","75","vcu","ms",1.66666666666667,6,2
"2136","76","vcu","tv",0.666666666666666,4,1
