uID,variable1,variable2,factor
628,8,9,SpecificFirst
629,11,1,SpecificFirst
631,11,10,SpecificFirst
635,10,5,SpecificFirst
636,11,9,SpecificFirst
639,11,1,SpecificFirst
648,11,10,SpecificFirst
650,4,7,SpecificFirst
651,7,8,SpecificFirst
656,8,7,SpecificFirst
657,4,5,SpecificFirst
665,11,8,SpecificFirst
670,7,7,SpecificFirst
672,3,8,SpecificFirst
674,8,6,SpecificFirst
677,9,8,SpecificFirst
682,9,10,SpecificFirst
683,6,7,SpecificFirst
692,6,7,SpecificFirst
695,6,7,SpecificFirst
697,6,8,SpecificFirst
700,10,10,SpecificFirst
708,1,1,SpecificFirst
710,7,9,SpecificFirst
714,8,10,SpecificFirst
719,1,4,SpecificFirst
721,6,8,SpecificFirst
726,6,8,SpecificFirst
727,11,10,SpecificFirst
732,9,7,SpecificFirst
745,5,4,SpecificFirst
749,8,6,SpecificFirst
753,9,6,SpecificFirst
754,1,8,SpecificFirst
755,1,8,SpecificFirst
758,8,9,SpecificFirst
759,7,5,SpecificFirst
763,6,3,SpecificFirst
764,3,6,SpecificFirst
769,7,3,SpecificFirst
774,3,8,SpecificFirst
775,10,7,SpecificFirst
778,9,4,SpecificFirst
788,4,8,SpecificFirst
791,4,7,SpecificFirst
793,7,4,SpecificFirst
795,10,9,SpecificFirst
796,3,10,SpecificFirst
797,1,11,SpecificFirst
799,6,6,SpecificFirst
801,2,7,SpecificFirst
802,2,5,SpecificFirst
803,10,11,SpecificFirst
805,11,3,SpecificFirst
1092,5,6,SpecificFirst
1095,7,7,SpecificFirst
1097,11,10,SpecificFirst
1099,11,5,SpecificFirst
1100,5,2,SpecificFirst
1101,10,5,SpecificFirst
1103,2,3,SpecificFirst
1105,4,6,SpecificFirst
1106,11,11,SpecificFirst
1107,8,5,SpecificFirst
1109,8,6,SpecificFirst
1110,3,6,SpecificFirst
1114,8,8,SpecificFirst
1116,3,4,SpecificFirst
1120,11,9,SpecificFirst
1122,9,6,SpecificFirst
1123,8,8,SpecificFirst
1125,11,7,SpecificFirst
1126,9,9,SpecificFirst
1127,9,9,SpecificFirst
1129,7,8,SpecificFirst
1133,11,7,SpecificFirst
1134,7,6,SpecificFirst
1135,7,5,SpecificFirst
1136,2,11,SpecificFirst
1140,8,7,SpecificFirst
1141,7,9,SpecificFirst
1142,9,7,SpecificFirst
1147,7,2,SpecificFirst
1148,11,5,SpecificFirst
1149,5,6,SpecificFirst
1152,6,6,SpecificFirst
1154,11,7,SpecificFirst
1155,6,8,SpecificFirst
1158,6,6,SpecificFirst
1160,11,8,SpecificFirst
1163,8,5,SpecificFirst
1168,6,3,SpecificFirst
1170,3,4,SpecificFirst
1171,11,6,SpecificFirst
1172,8,9,SpecificFirst
1174,6,6,SpecificFirst
1179,8,8,SpecificFirst
1181,6,8,SpecificFirst
1182,11,11,SpecificFirst
1184,7,9,SpecificFirst
1185,8,9,SpecificFirst
1188,5,6,SpecificFirst
1189,9,9,SpecificFirst
1196,10,9,SpecificFirst
1197,6,10,SpecificFirst
1198,10,10,SpecificFirst
1200,9,9,SpecificFirst
1201,8,10,SpecificFirst
1205,10,10,SpecificFirst
1206,10,10,SpecificFirst
1207,10,10,SpecificFirst
1210,11,11,SpecificFirst
1213,6,6,SpecificFirst
1219,8,8,SpecificFirst
1220,8,10,SpecificFirst
1223,8,7,SpecificFirst
1224,6,7,SpecificFirst
1226,9,10,SpecificFirst
1228,1,7,SpecificFirst
1231,8,1,SpecificFirst
1232,10,10,SpecificFirst
1233,10,10,SpecificFirst
1236,2,1,SpecificFirst
1238,6,3,SpecificFirst
1241,10,10,SpecificFirst
1243,9,9,SpecificFirst
1245,8,7,SpecificFirst
1246,7,5,SpecificFirst
1247,8,11,SpecificFirst
1250,10,9,SpecificFirst
1254,10,9,SpecificFirst
1257,8,8,SpecificFirst
1259,9,8,SpecificFirst
1260,7,7,SpecificFirst
1262,8,6,SpecificFirst
1265,2,2,SpecificFirst
1266,8,10,SpecificFirst
1267,7,6,SpecificFirst
1268,8,7,SpecificFirst
1269,9,9,SpecificFirst
1270,1,5,SpecificFirst
