"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"16","R_XFdwam4xhs45fvX","michiganstate",3.53333333333333,5.66666666666667,NA,NA,"somewhat liberal (3)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"67","R_3P4yUY4vwngDmlm","michiganstate",3.46666666666667,5.16666666666667,"female",NA,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Not In College","no college"
"68","R_3CVNUBoeLXRapkH","michiganstate",2.73333333333333,2.33333333333333,"female",21,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"","Not In College","no college"
"846","R_1CBaRWVVRJHJfZU","michiganstate",3.86666666666667,4.83333333333333,"male",22,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"847","R_3JLymNsUbcwIKYD","michiganstate",5.26666666666667,5.16666666666667,"female",20,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"848","R_3PZvgQSzbXD8PG5","michiganstate",4.86666666666667,2.83333333333333,"female",22,"center (4)","independent",NA,"not say","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"849","R_2e5tcdK2FfxIDMs","michiganstate",3.2,5.16666666666667,"female",19,"center (4)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"850","R_aYsknH4ladjmXap","michiganstate",4.4,3.33333333333333,"female",22,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"851","R_2ckKWB2nzlzgJJH","michiganstate",3.4,2.33333333333333,"female",23,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"852","R_3HUNzK6We5vrDNE","michiganstate",3.73333333333333,6.33333333333333,"female",18,"somewhat conservative (5)","middle (4)",NA,"under20,000","no","Other race/ethincity","MichiganState","Currently In College","some college"
"853","R_6zqgT9bCk5DR0lj","michiganstate",4.46666666666667,5.5,"female",20,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Caucasian","MichiganState","Currently In College","some college"
"854","R_vMqbe00ginSC8md","michiganstate",3.93333333333333,4.16666666666667,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"855","R_UXBq31PgA3jyh1f","michiganstate",3.33333333333333,4,"male",20,"center (4)","middle (4)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"856","R_3PXDCm4llHJfdkw","michiganstate",3.73333333333333,4.83333333333333,"female",20,"apolitical","strongly democrat (1)",NA,"under20,000","yes",NA,"MichiganState","Currently In College","some college"
"857","R_AijONe4XZmMvwjL","michiganstate",3.73333333333333,5.66666666666667,"female",20,"strongly liberal (1)","democrat (2)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"858","R_323p4MCWEpXOeRJ","michiganstate",2.66666666666667,4.83333333333333,"female",18,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"859","R_1LtD2GLeucMGWPn","michiganstate",3.8,3,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"860","R_UK3SOXcuKZBJ3ix","michiganstate",4.4,7,"female",19,"center (4)","conservative (6)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"861","R_22lkazOnucljZ8T","michiganstate",4.26666666666667,5.5,"female",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"862","R_2scYCyo4idHmHo8","michiganstate",4.86666666666667,6,"female",21,"strongly liberal (1)","democrat (2)",NA,"40-59,999","yes","Caucasian","MichiganState","Currently In College","some college"
"863","R_3Pdw3PWx4qGgG6y","michiganstate",3.4,6,"female",20,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"864","R_2cjh1mNyan83uQH","michiganstate",4.53333333333333,4.83333333333333,"female",19,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"865","R_3EYXqOgMMNEwjr5","michiganstate",4.06666666666667,5.66666666666667,"female",19,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"866","R_yXdevlGkmVvTG0h","michiganstate",3.4,6.83333333333333,"female",18,"conservative (6)","strongly conservative (7)",NA,"over1,000,000","yes","Caucasian","MichiganState","Currently In College","some college"
"867","R_2uPUtZjItpDvXKM","michiganstate",5.06666666666667,5.83333333333333,"female",20,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"868","R_1psZg7vvoFxxaLf","michiganstate",3.46666666666667,5.66666666666667,"female",18,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"869","R_12LQUiollwEFzsN","michiganstate",3.26666666666667,2.83333333333333,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"870","R_0xPHZrS6QJxGCaJ","michiganstate",2.93333333333333,5.16666666666667,"female",22,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"871","R_2eVzCqaNUygCbda","michiganstate",3.8,5.83333333333333,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"872","R_2D7YhUy5seo8Wx2","michiganstate",3.06666666666667,4.16666666666667,"female",18,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"873","R_2cC7dtJDnhYAOTT","michiganstate",2.93333333333333,4.33333333333333,"female",18,"apolitical","independent",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"874","R_2TG18LAjJAJNtIH","michiganstate",3.13333333333333,5,"female",19,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"875","R_3DALumW9R7XhYdP","michiganstate",2,4.33333333333333,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"876","R_1djp0B5WnReh6Dw","michiganstate",5.26666666666667,7,"female",22,"apolitical","independent",NA,"100-199,999","no","Caucasian","MichiganState","Currently In College","some college"
"877","R_2OZpSM3xzN8gmbN","michiganstate",4.26666666666667,3.83333333333333,"male",21,"center (4)","strongly conservative (7)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"878","R_10osRVYQTozmPQz","michiganstate",3.26666666666667,6.5,"female",18,"apolitical","independent",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"879","R_1Lp1bH7dOUV5KrS","michiganstate",3.73333333333333,5,"male",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","MichiganState","Currently In College","some college"
