"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"1581",2478634,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1582",2479532,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1583",2479770,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1584",2479919,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1585",2480394,"mcdaniel","allowed","support banning anti-democratic speeches"
"1586",2480401,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1587",2481545,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1588",2482952,"mcdaniel","allowed","support banning anti-democratic speeches"
"1589",2483183,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1590",2483263,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1591",2491455,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
