"","lab","LowPower_m","LowPower_s","LowPower_n","HighPower_m","HighPower_s","HighPower_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Location","Total_N","Percent_Female","Pass_Attenction_Check","USA"
"1","AshlandUniversity",3.70967741935484,1.7548703349459,31,3.69811320754717,1.71626725617833,53,-0.0115642118076686,-0.789949012912865,0.766820589297528,0.952380952380952,0.0527105633735928,TRUE,0.98,500,"Ashland, OH",86,82.1,"69%","USA"
"2","BradleyUniversity",4.46938775510204,1.25999406110251,49,3.85714285714286,1.62497784458487,63,-0.612244897959183,-1.16972364925198,-0.0547661466663876,0.380952380952381,0.0231728710869354,FALSE,0.504,500,"Peoria, IL",120,79.7,"69%","USA"
"3","CarletonUniversity",3.64285714285714,1.44686094473747,14,4.05882352941176,1.56007164239716,17,0.415966386554622,-0.698888397569995,1.53082117067924,0.952380952380952,0.0568567527456067,TRUE,0.866,500,"Ottawa, Ontario",45,71.4,"71%","NotUSA"
"4","IthacaCollege",3.78378378378378,1.47450811261728,37,4.12,1.43768521433247,50,0.336216216216216,-0.290444157687925,0.962876590120358,0.714285714285714,0.0646355956394678,TRUE,0.756,500,"Ithaca, NY",93,74.2,"71%","USA"
"5","MiamiUniversity",3.45,1.56811171763187,40,3.75510204081633,1.56165793636253,49,0.305102040816327,-0.357554374124708,0.967758455757362,0.80952380952381,0.0626758929896552,TRUE,0.848,500,"Oxford, OH",97,56.2,"37%","USA"
"6","MichiganStateUniversity",4.05932203389831,1.60284134933383,118,3.87603305785124,1.50869837903342,121,-0.183288976047066,-0.579854163337699,0.213276211243568,0.666666666666667,0.040392954408334,TRUE,0.91,500,"East Lansing, MI",354,78.6,"81%","USA"
"7","MontanaStateUniversity",3.7910447761194,1.66549031303494,67,3.58823529411765,1.67542795235409,51,-0.202809482001756,-0.817392440279345,0.411773476275834,0.857142857142857,0.0460890434947033,TRUE,0.928,500,"Bozeman, MT",129,68.3,"65%","USA"
"8","mTurk",3.66548042704626,1.50541304268291,281,3.76237623762376,1.48824431999244,303,0.0968958105774989,-0.146531446633652,0.340323067788649,0.476190476190476,0.0874379625792021,TRUE,0.784,500,"N/A",737,48.9,"94%",NA
"9","NovaSoutheasternUniversity",4.19354838709677,1.66781205134269,62,3.77777777777778,1.77295492769197,63,-0.415770609318996,-1.02540105792693,0.193859839288941,0.714285714285714,0.0358129985529042,TRUE,0.802,500,"Fort Lauderdale, FL",134,78.8,"61%","USA"
"10","OSUNewark",3.78947368421053,1.73963093484615,57,3.27941176470588,1.71773530387772,68,-0.510061919504644,-1.12422424993123,0.104100410921946,0.666666666666667,0.0327895889946595,TRUE,0.736,500,"Newark, OH",158,47.1,"50%","USA"
"11","PacificLutheranUniversity",3.88679245283019,1.48919670342115,53,4.11627906976744,1.41773297112278,43,0.229486616937253,-0.36454063901346,0.823513872887967,0.80952380952381,0.0629565123068491,TRUE,0.862,500,"Tacoma, WA",106,76.2,"76%","USA"
"12","PennStateAbington",3.4406779661017,1.57864178243982,59,3.48780487804878,1.4683656087554,41,0.0471269119470854,-0.572054624969175,0.666308448863346,0.904761904761905,0.0561554591063234,TRUE,0.95,500,"Abington, PA",121,74.8,"54%","USA"
"13","SanDiegoStateUniversity",3.90163934426229,1.57802532756171,61,3.91666666666667,1.63371175074033,72,0.0150273224043715,-0.538679343640755,0.568733988449498,0.857142857142857,0.0558571787489691,TRUE,0.96,500,"San Diego, CA",143,71.7,"75%","USA"
"14","TexasAandM",3.94117647058824,1.46671759524514,85,3.84146341463415,1.56717495454437,82,-0.0997130559540893,-0.563302824497117,0.363876712588938,0.80952380952381,0.0501197684164341,TRUE,0.93,500,"College Station, TX",181,62.1,"52%","USA"
"15","UCDavis",3.56140350877193,1.55858846235543,57,3.28846153846154,1.4188719416237,52,-0.272941970310391,-0.840752632236655,0.294868691615872,0.761904761904762,0.0412476143404621,TRUE,0.896,500,"Davis, CA",120,74.1,"61%","USA"
"16","UCRiverside",3.54385964912281,1.66239166059766,114,3.51304347826087,1.42265638237193,115,-0.0308161708619372,-0.43360512742312,0.371972785699245,0.761904761904762,0.056057794616348,TRUE,0.95,500,"Riverside, CA",248,68.5,"58%","USA"
"17","UniversityOfFlorida",3.94285714285714,1.58695510366084,70,3.61016949152542,1.58676584058464,59,-0.332687651331719,-0.887654453394225,0.222279150730787,0.714285714285714,0.0372125515357958,TRUE,0.842,500,"Gainesville, FL",138,69.9,"71%","USA"
"18","UniversityOfSouthernMississippi",3.34146341463415,1.60638968027003,41,3.95121951219512,1.51577075298666,41,0.609756097560976,-0.0766767512977168,1.29618894641967,0.523809523809524,0.0682680369759836,TRUE,0.524,500,"Hattiesburg, MS",89,78.7,"56%","USA"
"19","UniversityOfToronto",3.67567567567568,1.66756732421236,37,3.85185185185185,1.48592638040288,27,0.176176176176176,-0.63027795977196,0.982630312124312,0.952380952380952,0.0568776794394043,TRUE,0.918,500,"Toronto, Ontario",85,67.1,"74%","NotUSA"
"20","UniversityOfVirginia",3.90588235294118,1.41945268972775,85,3.86666666666667,1.48551054288878,90,-0.0392156862745097,-0.473219089732589,0.39478771718357,0.761904761904762,0.0548052171607926,TRUE,0.94,500,"Charlottesville, VA",198,62.4,"69%","USA"
"21","VirginiaCommonwealthUniversity",4.05882352941176,1.4887815784175,51,3.75,1.58113883008419,40,-0.308823529411764,-0.950879639081186,0.333232580257657,0.80952380952381,0.0422192704127473,TRUE,0.884,500,"Richmond, VA",96,65.3,"64%","USA"
