"","lab","lowanchor_m","lowanchor_s","lowanchor_n","highanchor_m","highanchor_s","highanchor_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",420136.743589744,230006.598837914,39,2992813.33333333,1329579.56100675,36,2572676.58974359,2141769.26222144,3003583.91726574,0.444444444444444,NA,NA,0.232,500,"USA","Lab","USA"
"2","brasilia",1003115.66666667,820416.881867376,30,3474107.10714286,1184189.63738432,28,2470991.44047619,1938147.45294464,3003835.42800774,0.638888888888889,NA,NA,0.562,500,"Brazil","Lab","NotUSA"
"3","charles",1875925.92592593,1044525.13781755,27,3447590.13157895,975488.032469325,38,1571664.20565302,1066391.21846763,2076937.19283841,0.444444444444444,2093069.42611698,FALSE,0.646,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",776662.41025641,685570.171709755,39,2770227.05128205,1285794.68539272,39,1993564.64102564,1528847.4777323,2458281.80431898,0.75,2083470.32474878,TRUE,0.926,500,"USA","Lab","USA"
"5","csun",598192.558139535,637358.732532805,43,2956512.90697674,1274079.86532823,43,2358320.34883721,1926293.78433122,2790346.9133432,0.611111111111111,NA,NA,0.522,500,"USA","Online","USA"
"6","help",563955.555555556,539903.728605032,45,3242075.2972973,1327125.51274409,37,2678119.74174174,2247009.55386401,3109229.92961948,0.277777777777778,NA,NA,0.12,500,"Malaysia","Lab","NotUSA"
"7","ithaca",577111.111111111,491687.133626392,45,2987881.6,1211049.4513304,35,2410770.48888889,2015600.47171149,2805940.50606628,0.527777777777778,2071621.12844692,TRUE,0.408,500,"USA","Lab","USA"
"8","jmu",708206.215189873,655572.133536311,79,2757991.84,1272228.80701609,75,2049785.62481013,1729910.89395983,2369660.35566042,0.583333333333333,NA,NA,0.878,500,"USA","Online","USA"
"9","ku",1263998.38235294,1072905.5928936,34,3370054.375,993414.180982697,40,2106055.99264706,1626820.82142556,2585291.16386856,0.777777777777778,NA,NA,0.87,500,"Turkey","Online","NotUSA"
"10","laurier",1311160.125,1062842.35259495,48,3129864.42,1255791.26265826,50,1818704.295,1351279.59614727,2286128.99385273,0.694444444444444,2087960.87603016,TRUE,0.94,500,"Canada","Lab","NotUSA"
"11","lse",1045106.30337079,937262.788574872,89,3208561.98507463,1212639.59980808,134,2163455.68170384,1864003.14299502,2462908.22041266,0.472222222222222,2078244.15236422,TRUE,0.742,500,"UK","Lab","NotUSA"
"12","luc",907883.721311475,809171.843244893,61,2645586.73770492,1189864.12462629,61,1737703.01639344,1372926.92148202,2102479.11130487,0.472222222222222,2091768.31892429,TRUE,0.764,500,"USA","Lab","USA"
"13","mcdaniel",743111.866666667,739349.231696042,45,2742058.07692308,1414992.47031267,39,1998946.21025641,1518003.73440841,2479888.68610441,0.805555555555556,NA,NA,0.944,500,"USA","Online","USA"
"14","msvu",614450.256410256,494796.250653194,39,2436440.62857143,1257369.19130089,35,1821990.37216117,1387623.62748799,2256357.11683436,0.666666666666667,2088078.05228683,TRUE,0.86,500,"Canada","Lab","NotUSA"
"15","mturk",1224791.54503464,1044901.42620101,433,3076799.43507973,1129553.21935036,439,1852007.89004508,1707330.61085733,1996685.16923284,0.166666666666667,2090967.39297614,FALSE,0.65,500,"USA","Online","USA"
"16","osu",788600.961538462,756180.712689867,52,3284470.9047619,1200088.95035905,42,2495869.94322344,2092407.37212289,2899332.514324,0.472222222222222,NA,NA,0.276,500,"USA","Lab","USA"
"17","oxy",1049000,881874.742366789,50,2698489.83050847,1292807.86538114,59,1649489.83050847,1221396.30308342,2077583.35793353,0.444444444444444,NA,NA,0.692,500,"USA","Lab","USA"
"18","pi",1356956.42940039,1102603.94934754,517,2928564.43791946,1204561.11742432,596,1571608.00851908,1435014.27856388,1708201.73847428,0.138888888888889,2103334.27195717,FALSE,0,500,"USA","Online","USA"
"19","psu",646851.155555556,587387.877430739,45,2877463.375,1311805.84199075,40,2230612.21944444,1800240.95418181,2660983.48470708,0.722222222222222,NA,NA,0.772,500,"USA","Lab","USA"
"20","qccuny",872331.428571429,1040476.34418411,35,3042468.32653061,1181467.34379636,49,2170136.89795918,1674773.64482163,2665500.15109673,0.75,NA,NA,0.904,500,"U","Lab","NotUSA"
"21","qccuny2",571351.378378378,701096.000910374,37,2568548.38709677,1271481.54629969,31,1997197.0087184,1510344.41070771,2484049.60672908,0.805555555555556,NA,NA,0.926,500,"U","Lab","NotUSA"
"22","sdsu",746112,688780.904962764,75,2943561.72,1333031.79727587,75,2197449.72,1855069.33436944,2539830.10563056,0.527777777777778,NA,NA,0.754,500,"U","Lab","NotUSA"
"23","swps",431416.666666667,462561.950414228,24,3281187.42105263,1213967.6240876,38,2849770.75438596,2330625.76936475,3368915.73940718,0.222222222222222,NA,NA,0.098,500,"Poland","Lab","NotUSA"
"24","swpson",1284207.26785714,1139615.1504188,56,3365336.65714286,1117692.72830061,70,2081129.38928571,1681042.69725517,2481216.08131626,0.666666666666667,NA,NA,0.928,500,"International","Online","NotUSA"
"25","tamu",1036342.29545455,912671.836741615,88,3361260.26027397,1182411.50877088,73,2324917.96481943,1998656.52409259,2651179.40554627,0.527777777777778,NA,NA,0.398,500,"USA","Lab","USA"
"26","tamuc",775363.514285714,946387.732733675,35,3352115,1187551.33645165,37,2576751.48571429,2070181.08203503,3083321.88939355,0.5,NA,NA,0.368,500,"USA","Lab","USA"
"27","tamuon",1163167.15789474,1167394.90853747,95,2985099.0776699,1173744.41463895,103,1821931.91977517,1493506.22838115,2150357.61116919,0.472222222222222,NA,NA,0.848,500,"USA","Online","USA"
"28","tilburg",1094142.85714286,764657.065991957,21,2638568.18181818,1231386.31027386,22,1544425.32467532,909531.557385835,2179319.09196481,0.583333333333333,NA,NA,0.738,500,"Netherlands","Lab","NotUSA"
"29","ufl",629078.545454545,526460.203655266,66,2891703.75,1180169.86297583,52,2262625.20454545,1940849.25109652,2584401.15799439,0.583333333333333,NA,NA,0.564,500,"USA","Lab","USA"
"30","unipd",1180375,1155053.7713646,40,2699054.05405405,1185015.14162726,37,1518679.05405405,987259.100811744,2050099.00729636,0.444444444444444,NA,NA,0.632,500,"Italy","Online","NotUSA"
"31","uva",761727.272727273,692698.76537024,33,2916412.92857143,1208107.10874521,42,2154685.65584416,1684153.97467086,2625217.33701745,0.75,NA,NA,0.876,500,"USA","Lab","USA"
"32","wisc",952548.28,840753.370709963,50,3000038.39473684,1159765.6037025,38,2047490.11473684,1623654.33802091,2471325.89145277,0.694444444444444,NA,NA,0.886,500,"USA","Lab","USA"
"33","wku",574081.145833333,448942.226652307,48,2965838.97368421,1287326.1224623,38,2391757.82785088,1995360.05034964,2788155.60535211,0.583333333333333,NA,NA,0.418,500,"USA","Lab","USA"
"34","wl",1270967.74193548,1072362.98219931,31,2754969.04761905,1016362.42155316,42,1484001.30568356,992792.724856535,1975209.88651059,0.305555555555556,2095356.4136923,FALSE,0.496,500,"USA","Lab","USA"
"35","wpi",1052362.64285714,999303.956065904,42,2899037.74285714,1345318.36192171,35,1846675.1,1313726.98793046,2379623.21206954,0.75,NA,NA,0.94,500,"USA","Lab","USA"
