"","lab","Agentic_m","Agentic_s","Agentic_n","Communal_m","Communal_s","Communal_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Location","Total_N","Percent_Female","Pass_Attenction_Check","USA"
"1","AshlandUniversity",69.5135135135135,4.64053170817036,37,70.6666666666667,3.83607183906552,42,1.15315315315316,-0.746546182431719,3.05285248873803,0.761904761904762,-0.0736314229064317,TRUE,0.762,500,"Ashland, OH",86,82.1,"69%","USA"
"2","BradleyUniversity",69.6714285714286,3.94057830145481,70,70.1304347826087,4.59762593641629,46,0.459006211180125,-1.12476662431353,2.04277904667377,0.80952380952381,-0.0609594768671055,TRUE,0.898,500,"Peoria, IL",120,79.7,"69%","USA"
"3","CarletonUniversity",67,7.16240183178799,21,67.375,5.2773099207835,16,0.375,-3.95175522747031,4.70175522747031,0.952380952380952,-0.0457666133435722,TRUE,0.986,500,"Ottawa, Ontario",45,71.4,"71%","NotUSA"
"4","IthacaCollege",67.4473684210526,4.51841498411838,38,66.2,4.9341113227667,45,-1.24736842105263,-3.32900157990338,0.834264737798128,0.80952380952381,-0.0173015844595313,TRUE,0.748,500,"Ithaca, NY",93,74.2,"71%","USA"
"5","MiamiUniversity",70.3518518518518,2.67170645353572,54,70.6,2.79009236130551,40,0.248148148148147,-0.879844631691195,1.37614092798749,0.714285714285714,-0.0654656950769635,TRUE,0.752,500,"Oxford, OH",97,56.2,"37%","USA"
"6","MichiganStateUniversity",69.639751552795,3.90600946464396,161,69.3357664233577,4.31017498665994,137,-0.303985129437365,-1.24109920895857,0.633128950083838,0.619047619047619,-0.0146609330138768,TRUE,0.846,500,"East Lansing, MI",354,78.6,"81%","USA"
"7","MontanaStateUniversity",70.1481481481482,4.30623684337298,54,69.8970588235294,4.92068344325531,68,-0.251089324618746,-1.93259988536335,1.43042123612586,0.904761904761905,-0.0364229644687847,TRUE,0.932,500,"Bozeman, MT",129,68.3,"65%","USA"
"8","mTurk",71.5957446808511,5.37554595211822,282,71.0546075085324,5.08998690684576,293,-0.541137172318642,-1.39838714283715,0.316112798199868,0.428571428571429,0.0244840086735332,TRUE,0.768,500,"N/A",737,48.9,"94%",NA
"9","NovaSoutheasternUniversity",74.8771929824561,4.59063555916746,57,75.25,4.15119192114713,72,0.372807017543863,-1.15345905609327,1.899073091181,0.80952380952381,-0.0597456918912367,TRUE,0.912,500,"Fort Lauderdale, FL",134,78.8,"61%","USA"
"10","OSUNewark",69.5428571428571,3.80192824565288,70,70.2650602409639,4.70102307845129,83,0.722203098106718,-0.660820332791883,2.10522652900532,0.761904761904762,-0.0824914713069367,TRUE,0.8,500,"Newark, OH",158,47.1,"50%","USA"
"11","PacificLutheranUniversity",68.1632653061225,4.4784062398335,49,69,5.44742311599266,44,0.836734693877546,-1.20950011062845,2.88296949838354,0.80952380952381,-0.0624870193990464,TRUE,0.894,500,"Tacoma, WA",106,76.2,"76%","USA"
"12","PennStateAbington",69.04,4.7550617498512,50,69.4838709677419,6.31350863841494,62,0.44387096774193,-1.69285633057855,2.58059826606241,0.904761904761905,-0.0538827324939401,TRUE,0.962,500,"Abington, PA",121,74.8,"54%","USA"
"13","SanDiegoStateUniversity",73.1449275362319,5.32550843283542,69,73.4615384615385,5.06235161226024,65,0.316610925306577,-1.46120788569531,2.09442973630846,0.904761904761905,-0.054013765873696,TRUE,0.964,500,"San Diego, CA",143,71.7,"75%","USA"
"14","TexasAandM",74.0722891566265,2.91666001986285,83,73.8988764044944,3.38796313110582,89,-0.173412752132123,-1.12809039244423,0.781264888179981,0.666666666666667,-0.029170382348613,TRUE,0.798,500,"College Station, TX",181,62.1,"52%","USA"
"15","UCDavis",73.3333333333333,4.17087837452668,54,71.5737704918033,5.20083011448955,61,-1.75956284153006,-3.51630819884066,-0.00281748421944839,0.428571428571429,0.00952813371541913,FALSE,0.524,500,"Davis, CA",120,74.1,"61%","USA"
"16","UCRiverside",73.5,3.52123310344648,110,74.007874015748,3.74906562537482,127,0.50787401574803,-0.42749548282227,1.44324351431833,0.666666666666667,-0.106527193128154,TRUE,0.8,500,"Riverside, CA",248,68.5,"58%","USA"
"17","UniversityOfFlorida",73.6545454545455,3.3621982547698,55,73.6103896103896,3.27733783233573,77,-0.0441558441558527,-1.20125886717057,1.11294717885887,0.714285714285714,-0.0434107770120573,TRUE,0.886,500,"Gainesville, FL",138,69.9,"71%","USA"
"18","UniversityOfSouthernMississippi",72.7142857142857,4.82010886571579,42,71.6888888888889,4.11108381099317,45,-1.02539682539683,-2.93100990707806,0.880216256284412,0.857142857142857,-0.0186028485709497,TRUE,0.766,500,"Hattiesburg, MS",89,78.7,"56%","USA"
"19","UniversityOfToronto",73.5666666666667,4.31263847020738,30,72.325,5.24960315960486,40,-1.24166666666666,-3.58978367973153,1.10645034639821,0.857142857142857,-0.0220948715555064,TRUE,0.822,500,"Toronto, Ontario",85,67.1,"74%","NotUSA"
"20","UniversityOfVirginia",71.3896103896104,3.77371743341484,77,71.0892857142857,3.6131730245062,112,-0.300324675324688,-1.37482265869663,0.774173308047251,0.761904761904762,-0.0223170180748096,TRUE,0.81,500,"Charlottesville, VA",198,62.4,"69%","USA"
"21","VirginiaCommonwealthUniversity",72.2307692307692,4.6044112889978,52,73.725,5.5929786568885,40,1.49423076923077,-0.618506263661442,3.60696780212298,0.761904761904762,-0.0736797582967808,TRUE,0.722,500,"Richmond, VA",96,65.3,"64%","USA"
