"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"1","acgreece",0.0345695669430163,63,-0.215037288197814,0.279936903837471,0.848484848484849,-0.0768579151749925,TRUE,0.85,500,63,"","Eleni Vousoura","American College of Greece","Athens, Greece","Greece","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","adamsstate",0.0749152935200133,146,-0.0886114813397067,0.234509725802376,0.575757575757576,-0.0793519806934615,TRUE,0.614,500,147,"email invitations","Leslie Cramblet Alvarez","Adams State University","Colorado, USA","USA","USA",126182,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Majority undergraduate","Public, 4-year or above","Rocky Mountains CO ID MT UT WY","Town Remote","Yes","Yes","Inclusive"
"3","ballstate",-0.0240398803033972,26,-0.407596325330575,0.366726981469332,0.939393939393939,-0.0747026665067604,TRUE,0.932,500,26,"posted on social media","Scott Hall","Ball State University","IN, USA","USA","USA",150136,"Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","Selective"
"4","bradley",-0.214037481490509,102,-0.392187601944255,-0.0204122425041416,0.454545454545455,-0.0690545585291005,TRUE,0.646,500,102,"posted on social media","Anthony Hermann","Bradley University","Peoria IL","USA","USA",143358,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","City Midsize","No","No","More selective"
"5","depauw",-0.227839530662789,85,-0.42054285534984,-0.0154664699809873,0.484848484848485,-0.0688674986787462,TRUE,0.674,500,86,"institution participant pool","Susanne Biehle","DePauw University","Greencastle, IN","USA","USA",150400,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Town Distant","No","No","More selective"
"6","GeorgiaGwinett",-0.125508604410745,92,-0.322047347687082,0.0814013303932664,0.818181818181818,-0.072038752196308,TRUE,0.91,500,93,"institution participant pool","Matt Schmolesky","Georgia Gwinnett College","Lawrenceville GA","USA","USA",447689,"Four-year, medium, primarily nonresidential","Baccalaureate Colleges: Diverse Fields","Balanced arts & sciences/professions, no graduate coexistence","Exclusively undergraduate four-year","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Suburb Large","No","No","Inclusive"
"7","gettysburg",0.319700345618051,38,1.89246707348461e-05,0.580096199018002,0.363636363636364,-0.0839464626147492,FALSE,0.342,500,38,"email invitations","Christopher Barlett","Gettysburg College","PA, USA","USA","USA",212674,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","City Small","No","No","Inclusive"
"8","juniata",-0.19541761345954,147,-0.34635338828753,-0.034619578464371,0.424242424242424,-0.0692845772749202,TRUE,0.658,500,147,"institution participant pool","Kathryn Westcott","Juniata College","Huntingdon, PA USA","USA","USA",213251,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Inclusive"
"9","mcdaniel",-0.119498945051446,73,-0.340212820177919,0.113694100868586,0.818181818181818,-0.0723592742119857,TRUE,0.914,500,73,"institution participant pool, email invitations","Holly M. Chalk","McDaniel College","Westminster, MD","USA","USA",164270,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Arts & sciences plus professions, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Small","No","No","Selective"
"10","memphis",-0.00163051737972985,24,-0.404760997478295,0.402030626154626,0.939393939393939,-0.075042104734683,TRUE,0.93,500,24,"email invitations","Chia-chen Yang","University of Memphis","TN, USA","USA","USA",220862,"Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Large","No","No","Selective"
"11","mercer",-0.0611665463229153,92,-0.262692940197143,0.145473343830714,0.848484848484849,-0.074117252144897,TRUE,0.954,500,92,"institution participant pool, email invitations","Tanya Sharon","Mercer University","GA, USA","USA","USA",140447,"Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"12","michiganstate",-0.0728668400988472,191,-0.212646234756637,0.0698349884033134,0.666666666666667,-0.0736963561747484,TRUE,0.938,500,192,"institution participant pool","William Chopik","Michigan State University","Michigan, USA","USA","USA",171100,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","More selective"
"13","mountida",0.0757694866174696,18,-0.40544293033125,0.524099789242943,0.939393939393939,-0.0759224361715187,TRUE,0.886,500,18,"","Hayley M Skulborstad","Mount Ida College","MA, USA","USA","USA",166948,"Four-year, small, highly residential","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Small","No","No","Inclusive"
"14","MtStMary",0.160175620573809,61,-0.095497043544162,0.396022573954823,0.606060606060606,-0.0806621865647495,TRUE,0.65,500,61,"email invitations","Caitlin Faas","Mount St. Mary's University","MD, USA","USA","USA",163462,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Fringe","No","No","Selective"
"15","none",-0.171104657673386,65,-0.398378526333773,0.0759646294342861,0.818181818181818,-0.0709478995501093,TRUE,0.82,500,66,"responded to open link, not directly recruited","unknown","various","various",NA,"NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Norco",-0.287525163796781,100,-0.458073510588891,-0.0965603039025648,0.303030303030303,-0.0666390011701899,FALSE,0.392,500,103,"","Laura Adams","Norco College","CA, USA","USA","USA",460464,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","Suburb Large","Yes","Yes","Inclusive"
"17","northwestnazarene",-0.179651019414266,78,-0.386721471925452,0.0446653629957326,0.696969696969697,-0.0704846816379882,TRUE,0.846,500,79,"","Elizabeth List","Northwest Nazarene University","Idaho, USA","USA","USA",142461,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Rocky Mountains CO ID MT UT WY","Suburb Midsize","No","No","Selective"
"18","OhioWesleyan",0.00404442706587469,78,-0.218683145838205,0.22637144664759,0.848484848484849,-0.0761393168081169,TRUE,0.896,500,78,"institution participant pool, email to department and psyc alumni","Vicki DiLillo","Ohio Wesleyan University","Delaware, OH","USA","USA",204909,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences plus professions, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Suburb Large","No","No","Inclusive"
"19","OSUmansfield",0.143222187813907,41,-0.17200730617383,0.431844538552196,0.727272727272727,-0.0790357801931177,TRUE,0.716,500,41,"email invitations","Amy Brunell","Ohio State University-Mansfield Campus","OH, USA","USA","USA",204680,"Four-year, very small, primarily nonresidential","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's","Baccalaureate/Associates Colleges","Very high undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","Rural Fringe","No","No","Inclusive"
