"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"523","1","MichiganStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",70
"524","10","MichiganStateUniversity","Communal",68,"21","Senior","Female","White, non-Hispanic or latino","Fail",71
"525","100","MichiganStateUniversity","Communal",70,"20","Junior","Male","White, non-Hispanic or latino","Fail",72
"526","101","MichiganStateUniversity","Communal",75,"21","Senior","Female","Latino or Hispanic","Pass",72
"527","102","MichiganStateUniversity","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Pass",70
"528","103","MichiganStateUniversity","Agentic",71,"18","Sophomore","Female","White, non-Hispanic or latino","Pass",70
"529","104","MichiganStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",70
"530","105","MichiganStateUniversity","Agentic",68,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",70
"531","106","MichiganStateUniversity","Agentic",73,"20","Junior","Female","White, non-Hispanic or latino","Pass",70
"532","107","MichiganStateUniversity","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",70
"533","108","MichiganStateUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"534","109","MichiganStateUniversity","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",70
"535","11","MichiganStateUniversity","Agentic",71,"19","Junior","Male","White, non-Hispanic or latino","Pass",71
"536","110","MichiganStateUniversity","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"537","111","MichiganStateUniversity","Communal",85,"20","Sophomore","Female","Other","Fail",70
"538","112","MichiganStateUniversity","Agentic",68,"20","Junior","Male","White, non-Hispanic or latino","Fail",70
"539","113","MichiganStateUniversity","Agentic",73,"20","Junior","Female","White, non-Hispanic or latino","Fail",70
"540","114","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"541","115","MichiganStateUniversity","Communal",70,"18","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"542","116","MichiganStateUniversity","Agentic",67,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",73
"543","117","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","African-American","Pass",73
"544","118","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","Asian-American","Pass",72
"545","119","MichiganStateUniversity","Agentic",71,"20","Junior","Female","African-American","Pass",72
"546","12","MichiganStateUniversity","Agentic",68,"19","Sophomore","Female","White, non-Hispanic or latino","Fail",70
"548","121","MichiganStateUniversity","Agentic",70,"20","Junior","Male","White, non-Hispanic or latino","Pass",72
"549","122","MichiganStateUniversity","Agentic",68,"18","Sophomore","Male","White, non-Hispanic or latino","Fail",72
"551","124","MichiganStateUniversity","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"552","125","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",70
"553","126","MichiganStateUniversity","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Fail",70
"554","127","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass",70
"555","127","MichiganStateUniversity","Communal",72,"21","Senior","Female","White, non-Hispanic or latino","Pass",70
"556","128","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"558","13","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",70
"559","130","MichiganStateUniversity","Communal",70,"19","Sophomore","Male","Multiracial","Pass",70
"560","131","MichiganStateUniversity","Agentic",69,"19","Sophomore","Male","White, non-Hispanic or latino","Fail",71
"562","133","MichiganStateUniversity","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail",71
"563","134","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",71
"564","135","MichiganStateUniversity","Agentic",70,"26","Senior","Female","White, non-Hispanic or latino","Pass",71
"565","136","MichiganStateUniversity","Agentic",70,"18","Sophomore","Female","White, non-Hispanic or latino","Fail",71
"567","138","MichiganStateUniversity","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Pass",71
"569","14","MichiganStateUniversity","Agentic",73,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",70
"570","140","MichiganStateUniversity","Agentic",60,"20","Sophomore","Female","Other","Pass",71
"571","141","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",71
"572","142","MichiganStateUniversity","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",70
"573","143","MichiganStateUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"574","144","MichiganStateUniversity","Communal",70,"20","Junior","Male","Asian-American","Pass",70
"575","145","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass",70
"577","147","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"578","148","MichiganStateUniversity","Communal",68,"20","Junior","Male","White, non-Hispanic or latino","Pass",70
"579","149","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"580","15","MichiganStateUniversity","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Fail",70
"582","151","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"583","152","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"584","153","MichiganStateUniversity","Agentic",70,"18","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"585","154","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"586","155","MichiganStateUniversity","Agentic",68,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"587","156","MichiganStateUniversity","Agentic",72,"21","Senior","Male","Multiracial","Pass",71
"588","157","MichiganStateUniversity","Communal",75,"19","First-year","Female","Other","Fail",71
"589","158","MichiganStateUniversity","Agentic",67,"20","Junior","Male","White, non-Hispanic or latino","Pass",71
"590","159","MichiganStateUniversity","Agentic",68,"20","Junior","Female","White, non-Hispanic or latino","Pass",71
"591","16","MichiganStateUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Fail",71
"592","160","MichiganStateUniversity","Communal",70,"18","First-year","Male","Other","Pass",71
"593","161","MichiganStateUniversity","Communal",70,"21","Junior","Female","White, non-Hispanic or latino","Fail",71
"594","162","MichiganStateUniversity","Communal",68,"18","First-year","Female","Asian-American","Pass",71
"595","163","MichiganStateUniversity","Agentic",68,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",72
"596","164","MichiganStateUniversity","Communal",71,"21","Junior","Male","Other","Fail",72
"597","165","MichiganStateUniversity","Agentic",70,"21","Senior","Female","African-American","Pass",72
"598","166","MichiganStateUniversity","Communal",64,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",72
"599","167","MichiganStateUniversity","Agentic",67,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"600","168","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"601","169","MichiganStateUniversity","Agentic",70,"18","First-year","Female","Multiracial","Pass",73
"603","170","MichiganStateUniversity","Communal",70,"18","First-year","Female","Native American and Alaska Native","Pass",72
"604","171","MichiganStateUniversity","Agentic",60,"19","Sophomore","Female","White, non-Hispanic or latino","Fail",70
"605","172","MichiganStateUniversity","Communal",65,"18","First-year","Female","Asian-American","Fail",70
"607","174","MichiganStateUniversity","Agentic",65,"19","Sophomore","Female","Multiracial","Pass",70
"608","175","MichiganStateUniversity","Communal",61,"20","Junior","Female","Asian-American","Fail",70
"609","176","MichiganStateUniversity","Communal",68,"21","Senior","Female","Other","Fail",70
"610","177","MichiganStateUniversity","Communal",67,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"611","178","MichiganStateUniversity","Agentic",75,"18","First-year","Female","Other","Fail",70
"612","179","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","Asian-American","Pass",70
