"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"81","88","AshlandUniversity","Communal",70,"26","Junior","Female","White, non-Hispanic or latino","Fail",71
"82","89","AshlandUniversity","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",71
"83","9","AshlandUniversity","Communal",72,"19","First-year","Male","White, non-Hispanic or latino","Fail",74
"84","90","AshlandUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"85","91","AshlandUniversity","Communal",72,"18","First-year","Female","African-American","Pass",69
"86",NA,"AshlandUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",NA
"87",NA,"AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",NA
"88",NA,"AshlandUniversity","Agentic",65,"18","First-year","Female","White, non-Hispanic or latino","Fail",NA
"89",NA,"AshlandUniversity","Agentic",61,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"90",NA,"AshlandUniversity","Communal",78,"20","Junior","Female","White, non-Hispanic or latino","Pass",NA
"91",NA,"AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"92",NA,"AshlandUniversity","Communal",70,"27","First-year","Female","White, non-Hispanic or latino","Pass",NA
"93",NA,"AshlandUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Fail",NA
"94",NA,"AshlandUniversity","Communal",76,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"95",NA,"AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
