"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"877","10","MontanaStateUniversity","Communal",55,"21","Junior","Female","White, non-Hispanic or latino","Pass",69
"878","100","MontanaStateUniversity","Communal",78,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"879","101","MontanaStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"880","102","MontanaStateUniversity","Communal",70,"23","Other","Female","White, non-Hispanic or latino","Fail",72
"881","103","MontanaStateUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",73
"882","104","MontanaStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"883","105","MontanaStateUniversity","Communal",69,"19","First-year","Male","White, non-Hispanic or latino","Fail",73
"884","106","MontanaStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass",76
"885","107","MontanaStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Fail",76
"886","108","MontanaStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",76
"888","11","MontanaStateUniversity","Communal",74,"18","First-year","Female","Latino or Hispanic","Pass",72
"889","110","MontanaStateUniversity","Communal",65,"18","First-year","Female","Asian-American","Fail",76
"890","111","MontanaStateUniversity","Agentic",73,"18","First-year","Female","Native American and Alaska Native","Fail",76
"891","112","MontanaStateUniversity","Agentic",75,"21","First-year","Male","White, non-Hispanic or latino","Fail",76
"892","113","MontanaStateUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"893","114","MontanaStateUniversity","Agentic",80,"21","Sophomore","Male","White, non-Hispanic or latino","Fail",76
"894","115","MontanaStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",76
"895","116","MontanaStateUniversity","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",74
"896","117","MontanaStateUniversity","Communal",70,"22","Senior","Female","White, non-Hispanic or latino","Fail",74
"897","118","MontanaStateUniversity","Agentic",75,"19","First-year","Male","White, non-Hispanic or latino","Pass",74
"898","119","MontanaStateUniversity","Agentic",62,"19","First-year","Female","White, non-Hispanic or latino","Pass",75
"899","12","MontanaStateUniversity","Communal",77,"18","First-year","Female","African-American","Fail",74
"900","120","MontanaStateUniversity","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Pass",75
"902","122","MontanaStateUniversity","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",77
"903","123","MontanaStateUniversity","Communal",78,"19","First-year","Male","White, non-Hispanic or latino","Fail",77
"904","124","MontanaStateUniversity","Agentic",65,"19","First-year","Female","Latino or Hispanic","Pass",69
"905","125","MontanaStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"906","126","MontanaStateUniversity","Communal",69,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"907","127","MontanaStateUniversity","Agentic",65,"18","First-year","Female","Asian-American","Fail",69
"908","128","MontanaStateUniversity","Communal",68,"19","First-year","Female","White, non-Hispanic or latino","Fail",69
