"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"3656","10","VirginiaCommonwealthUniversity","Agentic",83,"19","Sophomore","Male","Asian-American","Fail",79
"3657","100","VirginiaCommonwealthUniversity","Agentic",72,"22","Senior","Female","White, non-Hispanic or latino","Pass",69
"3658","101","VirginiaCommonwealthUniversity","Agentic",69,"19","Sophomore","Female","African-American","Pass",69
"3659","102","VirginiaCommonwealthUniversity","Agentic",60,"18","First-year","Female","African-American","Pass",69
"3660","103","VirginiaCommonwealthUniversity","Agentic",73,"19","First-year","Male","White, non-Hispanic or latino","Fail",69
"3661","11","VirginiaCommonwealthUniversity","Agentic",78,"19","First-year","Male","White, non-Hispanic or latino","Pass",79
"3662","12","VirginiaCommonwealthUniversity","Communal",87,"18","First-year","Female","Asian-American","Fail",79
"3663","13","VirginiaCommonwealthUniversity","Agentic",78,"18","First-year","Female","Asian-American","Pass",77
"3664","14","VirginiaCommonwealthUniversity","Communal",78,"21","Sophomore","Male","Latino or Hispanic","Pass",77
"3665","15","VirginiaCommonwealthUniversity","Agentic",68,"21","Junior","Male","White, non-Hispanic or latino","Pass",77
"3666","16","VirginiaCommonwealthUniversity","Communal",77,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",78
"3667","17","VirginiaCommonwealthUniversity","Agentic",76,"18","First-year","Female","White, non-Hispanic or latino","Pass",77
"3669","19","VirginiaCommonwealthUniversity","Agentic",73,"18","Junior","Female","White, non-Hispanic or latino","Pass",77
"3670","20","VirginiaCommonwealthUniversity","Communal",72,"18","First-year","Female","African-American","Pass",77
"3671","21","VirginiaCommonwealthUniversity","Communal",74,"22","Sophomore","Female","White, non-Hispanic or latino","Fail",77
"3672","22","VirginiaCommonwealthUniversity","Agentic",69,"20","Sophomore","Female","Other","Pass",78
"3673","23","VirginiaCommonwealthUniversity","Communal",80,"18","First-year","Female","White, non-Hispanic or latino","Pass",79
"3674","24","VirginiaCommonwealthUniversity","Agentic",75,"20","Junior","Female","Asian-American","Pass",79
"3675","25","VirginiaCommonwealthUniversity","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",75
"3676","26","VirginiaCommonwealthUniversity","Communal",70,"22","Junior","Male","White, non-Hispanic or latino","Fail",74
"3678","28","VirginiaCommonwealthUniversity","Agentic",70,"18","First-year","Male","African-American","Fail",74
"3679","29","VirginiaCommonwealthUniversity","Communal",72,"21","Senior","Female","African-American","Fail",76
"3680","30","VirginiaCommonwealthUniversity","Agentic",77,"24","First-year","Female","African-American","Fail",76
"3681","31","VirginiaCommonwealthUniversity","Agentic",73,"18","First-year","Female","African-American","Fail",76
"3682","32","VirginiaCommonwealthUniversity","Communal",75,"18","First-year","Female","Latino or Hispanic","Pass",77
"3683","33","VirginiaCommonwealthUniversity","Agentic",75,"21","Senior","Male","White, non-Hispanic or latino","Pass",77
"3684","34","VirginiaCommonwealthUniversity","Agentic",70,"18","First-year","Female","Latino or Hispanic","Pass",77
"3685","35","VirginiaCommonwealthUniversity","Communal",75,"18","First-year","Male","Multiracial","Fail",71
"3686","36","VirginiaCommonwealthUniversity","Agentic",74,"18","First-year","Female","White, non-Hispanic or latino","Fail",72
"3687","37","VirginiaCommonwealthUniversity","Agentic",76,"21","Senior","Male","Asian-American","Fail",74
"3688","38","VirginiaCommonwealthUniversity","Communal",75,"18","First-year","Male","White, non-Hispanic or latino","Pass",75
"3689","39","VirginiaCommonwealthUniversity","Communal",60,"18","First-year","Male","Multiracial","Pass",76
"3690","40","VirginiaCommonwealthUniversity","Agentic",75,"20","Senior","Female","Multiracial","Pass",76
"3691","41","VirginiaCommonwealthUniversity","Communal",75,"18","First-year","Male","White, non-Hispanic or latino","Fail",74
"3692","42","VirginiaCommonwealthUniversity","Communal",80,"17","First-year","Female","African-American","Pass",74
"3693","43","VirginiaCommonwealthUniversity","Agentic",75,"18","First-year","Female","African-American","Fail",75
"3694","44","VirginiaCommonwealthUniversity","Communal",78,"18","First-year","Male","White, non-Hispanic or latino","Pass",75
"3696","46","VirginiaCommonwealthUniversity","Communal",74,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"3697","47","VirginiaCommonwealthUniversity","Communal",70,"18","First-year","Female","African-American","Pass",75
