"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"2145","77","PacificLutheranUniversity","Communal",68,"18","First-year","Male","White, non-Hispanic or latino","Pass",74
"2146","78","PacificLutheranUniversity","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"2147","79","PacificLutheranUniversity","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",76
"2148","8","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",68
"2149","80","PacificLutheranUniversity","Communal",72,"18","First-year","Male","Asian-American","Pass",76
"2150","81","PacificLutheranUniversity","Agentic",65,"18","First-year","Female","White, non-Hispanic or latino","Pass",74
"2151","82","PacificLutheranUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",76
"2152","83","PacificLutheranUniversity","Agentic",65,"18","First-year","Female","Multiracial","Pass",76
"2153","84","PacificLutheranUniversity","Communal",68,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",76
"2154","85","PacificLutheranUniversity","Communal",85,"18","First-year","Female","Multiracial","Pass",80
"2155","86","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",80
"2156","87","PacificLutheranUniversity","Agentic",65,"18","First-year","Female","Latino or Hispanic","Fail",76
"2157","88","PacificLutheranUniversity","Communal",60,"18","First-year","Male","Latino or Hispanic","Pass",79
"2158","89","PacificLutheranUniversity","Communal",60,"18","First-year","Female","White, non-Hispanic or latino","Pass",79
"2160","90","PacificLutheranUniversity","Communal",74,"18","First-year","Male","Latino or Hispanic","Fail",76
"2162","92","PacificLutheranUniversity","Communal",67,"26","First-year","Male","Other","Fail",79
"2163","93","PacificLutheranUniversity","Agentic",60,"18","First-year","Female","Asian-American","Fail",72
"2164","94","PacificLutheranUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",79
"2165","95","PacificLutheranUniversity","Communal",55,"22","Senior","Male","White, non-Hispanic or latino","Pass",68
"2166","96","PacificLutheranUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"2167","97","PacificLutheranUniversity","Agentic",78,"20","Sophomore","Female","White, non-Hispanic or latino","Pass",76
"2168","98","PacificLutheranUniversity","Agentic",64,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",77
"2169","99","PacificLutheranUniversity","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Fail",78
"2172",NA,"PacificLutheranUniversity","Agentic",72,"43","Other","Male","White, non-Hispanic or latino","Pass",NA
"2174",NA,"PacificLutheranUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"2178",NA,"PacificLutheranUniversity","Communal",70,"19","First-year","Female","Native Hawaiian and other Pacific Islander","Pass",NA
