institution affiliation link,N,recruitment methods,researcher,insitution ,location,Country,USAorNot,CarnegieID,SIZESET2018,BASIC2018,IPUG2018,ENRPROFILE2018,SECTOR,OBEREG,LOCALE,HIS,MSI,ACTCAT
memphis,24,email invitations,Chia-chen Yang,University of Memphis,"TN, USA",USA,USA,220862,"Four-year, large, primarily nonresidential",Doctoral Universities: High Research Activity,"Balanced arts & sciences/professions, high graduate coexistence",High undergraduate,"Public, 4-year or above",Southeast AL AR FL GA KY LA MS NC SC TN VA WV,City Large,No,No,Selective
mercer,92,"institution participant pool, email invitations",Tanya Sharon,Mercer University,"GA, USA",USA,USA,140447,"Four-year, medium, primarily residential",Doctoral Universities: High Research Activity,"Professions plus arts & sciences, some graduate coexistence",Majority undergraduate,"Private not-for-profit, 4-year or above",Southeast AL AR FL GA KY LA MS NC SC TN VA WV,City Midsize,No,No,More selective
michiganstate,192,institution participant pool,William Chopik,Michigan State University,"Michigan, USA",USA,USA,171100,"Four-year, large, primarily residential",Doctoral Universities: Very High Research Activity,"Balanced arts & sciences/professions, high graduate coexistence",High undergraduate,"Public, 4-year or above",Great Lakes IL IN MI OH WI,City Small,No,No,More selective
mountida,18,,Hayley M Skulborstad,Mount Ida College,"MA, USA",USA,USA,166948,"Four-year, small, highly residential",Baccalaureate Colleges: Diverse Fields,"Professions focus, some graduate coexistence",Very high undergraduate,"Private not-for-profit, 4-year or above",New England CT ME MA NH RI VT,City Small,No,No,Inclusive
MtStMary,61,email invitations,Caitlin Faas,Mount St. Mary's University,"MD, USA",USA,USA,163462,"Four-year, small, highly residential",Master's Colleges & Universities: Medium Programs,"Balanced arts & sciences/professions, some graduate coexistence",High undergraduate,"Private not-for-profit, 4-year or above",Mid East DE DC MD NJ NY PA,Town Fringe,No,No,Selective
Norco,103,,Laura Adams,Norco College,"CA, USA",USA,USA,460464,"Two-year, medium",Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,Associate's Colleges: High Transfer,Exclusively undergraduate two-year,"Public, 2-year",Far West AK CA HI NV OR WA,Suburb Large,Yes,Yes,Inclusive
northwestnazarene,79,,Elizabeth List,Northwest Nazarene University,"Idaho, USA",USA,USA,142461,"Four-year, small, highly residential",Master's Colleges & Universities: Larger Programs,"Professions plus arts & sciences, some graduate coexistence",Majority undergraduate,"Private not-for-profit, 4-year or above",Rocky Mountains CO ID MT UT WY,Suburb Midsize,No,No,Selective
OhioWesleyan,78,"institution participant pool, email to department and psyc alumni",Vicki DiLillo,Ohio Wesleyan University,"Delaware, OH",USA,USA,204909,"Four-year, small, highly residential",Baccalaureate Colleges: Arts & Sciences Focus,"Arts & sciences plus professions, no graduate coexistence",Exclusively undergraduate four-year,"Private not-for-profit, 4-year or above",Great Lakes IL IN MI OH WI,Suburb Large,No,No,Inclusive
OSUmansfield,41,email invitations,Amy Brunell,Ohio State University-Mansfield Campus,"OH, USA",USA,USA,204680,"Four-year, very small, primarily nonresidential",Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Baccalaureate/Associates Colleges,Very high undergraduate,"Public, 4-year or above",Great Lakes IL IN MI OH WI,Rural Fringe,No,No,Inclusive
paradise,136,institution participant pool,Julie Lazzara,Paradise Valley Community College,"Phoenix, AZ USA",USA,USA,364016,"Two-year, medium",Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,Associate's Colleges: High Transfer,Exclusively undergraduate two-year,"Public, 2-year",Southwest AZ NM OK TX,City Large,No,No,Inclusive
plu,178,email invitations,Jon Grahe,Pacific Lutheran University,"WA, USA",USA,USA,236230,"Four-year, small, highly residential",Master's Colleges & Universities: Medium Programs,"Arts & sciences plus professions, some graduate coexistence",Very high undergraduate,"Private not-for-profit, 4-year or above",Far West AK CA HI NV OR WA,Suburb Large,No,No,Selective
reed,71,email invitations,Kathy Oleson,Reed College,"Oregon, USA",USA,USA,209922,"Four-year, small, highly residential",Baccalaureate Colleges: Arts & Sciences Focus,"Arts & sciences focus, no graduate coexistence",Very high undergraduate,"Private not-for-profit, 4-year or above",Far West AK CA HI NV OR WA,City Large,No,No,More selective
riversidecc,113,,Marc Wolpoff,Riverside City College,"California, USA",USA,USA,121901,"Two-year, very large",Associate's Colleges: High Transfer-High Traditional,Associate's Colleges: High Transfer,Exclusively undergraduate two-year,"Public, 2-year",Far West AK CA HI NV OR WA,City Large,Yes,Yes,Inclusive
samaug,129,institution participant pool,Dana C. Leighton,Southern Arkansas University Main Campus,"Arkansas, USA",USA,USA,107983,"Four-year, medium, highly residential",Master's Colleges & Universities: Larger Programs,"Professions plus arts & sciences, some graduate coexistence",High undergraduate,"Public, 4-year or above",Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Town Remote,No,No,Selective
snevada,96,"institution participant pool, email invitations",Danielle Richards,College of Southern Nevada,"Las Vegas, NV",USA,USA,182005,"Four-year, large, primarily nonresidential",Baccalaureate/Associate's Colleges: Associate's Dominant,Baccalaureate/Associates Colleges,Exclusively undergraduate four-year,"Public, 4-year or above",Far West AK CA HI NV OR WA,City Large,Yes,Yes,Inclusive
StGeorges,82,,Barbara Landon,St. Georges University,"True Blue, Grenada",Grenada,NotUSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stmartin,73,,Robert Hauhart,Saint Martin's University,"WA, USA",USA,USA,236452,"Four-year, small, highly residential",Master's Colleges & Universities: Medium Programs,"Professions plus arts & sciences, some graduate coexistence",Very high undergraduate,"Private not-for-profit, 4-year or above",Far West AK CA HI NV OR WA,Suburb Midsize,No,No,Selective
stockton,144,institution participant pool,Elizabeth Shobe,Stockton University,New Jersey,USA,USA,186876,"Four-year, medium, primarily residential",Master's Colleges & Universities: Larger Programs,"Balanced arts & sciences/professions, some graduate coexistence",Very high undergraduate,"Public, 4-year or above",Mid East DE DC MD NJ NY PA,Suburb Midsize,No,No,Selective
SUNYfredonia,169,institution participant pool,Joseph McFall,SUNY at Fredonia,"New York, USA",USA,USA,196158,"Four-year, medium, highly residential",Master's Colleges & Universities: Medium Programs,"Balanced arts & sciences/professions, some graduate coexistence",Very high undergraduate,"Public, 4-year or above",Mid East DE DC MD NJ NY PA,Town Distant,No,No,Selective
swansea,187,,Adrew Kemp,Swansea University,England,England,NotUSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tennknox,86,institution participant pool,Jerika Norona,The University of Tennessee-Knoxville,"TN, USA",USA,USA,221759,"Four-year, large, primarily residential",Doctoral Universities: Very High Research Activity,"Professions plus arts & sciences, high graduate coexistence",High undergraduate,"Public, 4-year or above",Southeast AL AR FL GA KY LA MS NC SC TN VA WV,City Midsize,No,No,More selective
trinitycollege,14,recruited spanish speaking respondents from local hispanic serving community organizations,debbie haris-obrien,Trinity College,Washington DC,USA,USA,130590,"Four-year, small, highly residential",Baccalaureate Colleges: Arts & Sciences Focus,"Arts & sciences focus, some graduate coexistence",Very high undergraduate,"Private not-for-profit, 4-year or above",New England CT ME MA NH RI VT,City Midsize,No,No,More selective
willamette,127,,Erik Noftle,Willamette University,"Willamette, OR",USA,USA,210401,"Four-year, small, highly residential",Baccalaureate Colleges: Arts & Sciences Focus,"Arts & sciences focus, no graduate coexistence",High undergraduate,"Private not-for-profit, 4-year or above",Far West AK CA HI NV OR WA,City Midsize,No,No,Inclusive
Total,3134,,,,,,,,,,,,,,,,,
