"","lab","Control group_m","Control group_s","Control group_n","Money priming group_m","Money priming group_s","Money priming group_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",3.53409090909091,0.780561271470782,44,3.528125,1.02355569756884,40,-0.00596590909090899,-0.398977648330684,0.387045830148866,0.972222222222222,-0.0152363124527206,TRUE,0.94,500,"USA","Lab","USA"
"2","brasilia",2.78307962529274,0.766879472177121,61,2.90889830508475,0.65973745287138,59,0.125818679792006,-0.133164969225648,0.384802328809659,0.777777777777778,-0.0195469786589248,TRUE,0.742,500,"Brazil","Lab","NotUSA"
"3","charles",3.7125,0.854475397614352,40,3.59983766233766,0.678356302035694,44,-0.112662337662337,-0.446076652255944,0.220751976931269,0.861111111111111,-0.013321465519705,TRUE,0.822,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",3.640625,1.01872984485332,40,3.87467532467532,0.996856423458557,55,0.234050324675325,-0.181115812617844,0.649216461968494,0.916666666666667,-0.0180878057870585,TRUE,0.78,500,"USA","Lab","USA"
"5","csun",3.66357142857143,0.825083452167355,50,3.6735248447205,0.931327282960079,46,0.00995341614906797,-0.346021351409767,0.365928183707903,0.972222222222222,-0.0155231933439951,TRUE,0.908,500,"USA","Online","USA"
"6","help",3.04100529100529,0.647339769975582,54,2.8718998015873,0.785509887892199,48,-0.16910548941799,-0.450745627083851,0.112534648247872,0.666666666666667,-0.0111414665067419,TRUE,0.74,500,"Malaysia","Lab","NotUSA"
"7","ithaca",3.525,0.91489728223284,55,3.53214285714286,0.924216111181831,35,0.00714285714285712,-0.387542029218018,0.401827743503733,0.972222222222222,-0.015411470842154,TRUE,0.932,500,"USA","Lab","USA"
"8","jmu",3.85670731707317,0.787420863949411,82,3.95943322981366,0.944180719919984,92,0.102725912740494,-0.159233642859119,0.364685468340106,0.861111111111111,-0.0187693678879612,TRUE,0.826,500,"USA","Online","USA"
"9","ku",2.68701298701299,0.758026265244317,55,2.58497536945813,0.854870567497559,58,-0.102037617554859,-0.403832417568022,0.199757182458304,0.861111111111111,-0.013114863860431,TRUE,0.846,500,"Turkey","Online","NotUSA"
"10","laurier",4.54545454545455,0.79435349482927,55,4.43201754385965,0.826483438846004,57,-0.113437001594897,-0.417171068721371,0.190297065531577,0.833333333333333,-0.0128927657546116,TRUE,0.884,500,"Canada","Lab","NotUSA"
"11","lse",3.80968360498562,0.816946211617485,149,3.67550223214286,0.835485525108434,128,-0.134181372842761,-0.330045049277501,0.0616823035919789,0.611111111111111,-0.00855555735286042,TRUE,0.714,500,"UK","Lab","NotUSA"
"12","luc",3.51763668430335,0.901155604768004,81,3.45284598214286,0.995034273405118,64,-0.0647907021604937,-0.376757966984265,0.247176562663278,0.944444444444444,-0.014084586758256,TRUE,0.936,500,"USA","Lab","USA"
"13","mcdaniel",3.27830188679245,0.855778403760299,53,3.62698412698413,0.862665029369054,45,0.348682240191674,0.00306963343919114,0.694294846944157,0.472222222222222,-0.0214408908765248,FALSE,0.464,500,"USA","Online","USA"
"14","msvu",3.52743902439024,0.896831312142381,41,3.69642857142857,0.833536006045609,44,0.168989547038328,-0.204296428269704,0.542275522346359,0.944444444444444,-0.0178534338390678,TRUE,0.768,500,"Canada","Lab","NotUSA"
"15","mturk",3.74265347686936,1.14676947879071,491,3.66835395575553,1.14544959997268,508,-0.0742995211138324,-0.216633212834806,0.0680341706071408,0.583333333333333,-0.00864286010266283,TRUE,0.93,500,"USA","Online","USA"
"16","osu",4.03389830508475,0.851542245796642,59,4.12016369047619,0.957137041668847,48,0.086265385391445,-0.260738614920958,0.433269385703848,0.972222222222222,-0.0168204655912854,TRUE,0.886,500,"USA","Lab","USA"
