"","lab","Control group_m","Control group_s","Control group_n","Money priming group_m","Money priming group_s","Money priming group_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"17","oxy",3.21875,1.01834273289585,68,3.25132275132275,0.762592052523216,54,0.0325727513227512,-0.297373828831366,0.362519331476868,0.972222222222222,-0.0160862571059524,TRUE,0.944,500,"USA","Lab","USA"
"18","pi",3.44879188712522,0.963658140685625,675,3.42226245336844,0.932378275500921,651,-0.0265294337567763,-0.128736339359449,0.0756774718458959,0.388888888888889,-0.0124158799869662,TRUE,0.964,500,"USA","Online","USA"
"19","psu",3.8578431372549,0.76893579374481,51,3.86850649350649,0.722133907660365,44,0.0106633562515914,-0.294822199396233,0.316148911899416,0.944444444444444,-0.0156994826400401,TRUE,0.878,500,"USA","Lab","USA"
"20","qccuny",3.66933497536946,0.878157449404527,58,3.69602272727273,0.840645225300362,44,0.0266877519032689,-0.31530500879842,0.368680512604958,0.972222222222222,-0.0158681478162041,TRUE,0.912,500,"U","Lab","NotUSA"
"21","qccuny2",3.40972222222222,0.870965756620976,36,3.52295918367347,0.83177202804173,49,0.113236961451247,-0.257229075741698,0.483702998644192,0.972222222222222,-0.0170364527057907,TRUE,0.85,500,"U","Lab","NotUSA"
"22","sdsu",3.78970588235294,0.920826282974898,85,3.60714285714286,0.764044565286843,77,-0.182563025210084,-0.446652430551427,0.0815263801312596,0.611111111111111,-0.0100183808881426,TRUE,0.712,500,"U","Lab","NotUSA"
"23","swps",3.28320105820106,0.794105592092375,45,3.44852941176471,0.794820857853159,34,0.165328353563648,-0.194123303579692,0.524780010706988,0.944444444444444,-0.0180343415652894,TRUE,0.76,500,"Poland","Lab","NotUSA"
"24","swpson",3.29962894248609,0.970628952818362,77,3.18905279503106,0.886081639451338,92,-0.11057614745503,-0.392800805618742,0.171648510708683,0.833333333333333,-0.0126710269082154,TRUE,0.91,500,"International","Online","NotUSA"
"25","tamu",4.0739247311828,0.905005059276744,93,3.93370060790274,0.860367487628081,94,-0.14022412328006,-0.394965616266136,0.114517369706015,0.694444444444444,-0.0111011075481374,TRUE,0.802,500,"USA","Lab","USA"
"26","tamuc",3.60060975609756,0.78820380860691,41,3.36684782608696,0.981566977788097,46,-0.233761930010604,-0.616294541834575,0.148770681813366,0.722222222222222,-0.0119285165982272,TRUE,0.748,500,"USA","Lab","USA"
"27","tamuon",3.88658870627897,0.903840061079159,113,4.04735331632653,0.907909508114918,112,0.160764610047559,-0.0772586453331487,0.398787865428266,0.638888888888889,-0.0216001542644267,TRUE,0.686,500,"USA","Online","USA"
"28","tilburg",3.678125,0.904886795228822,40,3.87053571428571,0.916560367986346,40,0.192410714285714,-0.213021640032027,0.597843068603456,0.944444444444444,-0.0177447302319979,TRUE,0.794,500,"Netherlands","Lab","NotUSA"
"29","ufl",4.04563492063492,0.875086858390996,63,3.91350446428571,0.893787603328182,64,-0.132130456349207,-0.442831446621376,0.178570533922963,0.833333333333333,-0.0125995879292124,TRUE,0.868,500,"USA","Lab","USA"
"30","unipd",2.42578125,0.850671305622654,64,2.40224358974359,0.759049152043605,78,-0.0235376602564101,-0.290819927062466,0.243744606549646,0.944444444444444,-0.0148758582270826,TRUE,0.896,500,"Italy","Online","NotUSA"
"31","uva",3.75320512820513,0.721775485557633,39,3.99404761904762,0.887735017385117,42,0.240842490842491,-0.118636401563013,0.600321383247995,0.75,-0.0193174245508951,TRUE,0.63,500,"USA","Lab","USA"
"32","wisc",3.98724489795918,0.705375979254216,49,3.84042553191489,0.737533219434035,47,-0.14681936604429,-0.43921748267961,0.14557875059103,0.722222222222222,-0.0118950842563591,TRUE,0.75,500,"USA","Lab","USA"
"33","wku",3.70265151515152,0.897315749116805,66,3.86341698841699,0.91754766160312,37,0.160765473265473,-0.207766418902832,0.529297365433778,0.944444444444444,-0.017765654290431,TRUE,0.848,500,"USA","Lab","USA"
"34","wl",3.79261363636364,0.941973120040849,44,4.02445652173913,0.986231451458232,46,0.231842885375495,-0.172491821575508,0.636177592326497,0.916666666666667,-0.0182565775533779,TRUE,0.786,500,"USA","Lab","USA"
"35","wpi",3.79166666666667,1.02410637125697,39,3.625,0.740632995512996,48,-0.166666666666667,-0.543319524689481,0.209986191356147,0.861111111111111,-0.0130365996344235,TRUE,0.866,500,"USA","Lab","USA"
