"","lab","two6_m","two6_s","two6_n","three6_m","three6_s","three6_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",2.18112395606219,0.943370002888778,40,3.50587822747446,2.99723254474909,40,1.32475427141227,0.335654347980662,2.31385419484387,0.694444444444444,1.53166292536651,TRUE,0.852,500,"USA","Lab","USA"
"2","brasilia",2.16815469223452,1.87218784718635,51,3.19746622143763,3.48938763241655,63,1.02931152920311,-0.0462415072486395,2.10486456565487,0.777777777777778,1.53901715793297,TRUE,0.78,500,"Brazil","Lab","NotUSA"
"3","charles",2.15263562510295,2.48850627864293,45,5.55021929368374,5.31422899967104,27,3.39758366858079,1.55634980139396,5.23881753576762,0.416666666666667,1.50127909619739,FALSE,0.572,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",2.38798559829521,2.46710385027416,47,4.1559802584827,3.22136533289702,36,1.76799466018749,0.526202005587546,3.00978731478743,0.75,1.51950772666136,TRUE,0.954,500,"USA","Lab","USA"
"5","csun",2.08093843690907,1.022500788357,56,2.88930324591719,2.12783836062239,36,0.808364809008119,0.150929320692715,1.46580029732352,0.472222222222222,1.54866956655368,FALSE,0.366,500,"USA","Online","USA"
"6","help",2.18687219308335,2.01542596275358,51,3.46429743950133,2.87203976564607,45,1.27742524641799,0.280925013745518,2.27392547909045,0.722222222222222,1.5327025737498,TRUE,0.816,500,"Malaysia","Lab","NotUSA"
"7","ithaca",1.80435052898194,1.22041068067126,53,3.14247513497187,2.278901835383,32,1.33812460598994,0.58342034930691,2.09282886267296,0.694444444444444,1.53216227982167,TRUE,0.724,500,"USA","Lab","USA"
"8","jmu",2.21593726336182,1.84297552202515,86,4.15245998638869,3.39413537905158,78,1.93652272302688,1.10469819399601,2.76834725205774,0.583333333333333,1.51141343871446,TRUE,0.918,500,"USA","Online","USA"
"9","ku",2.16499813010683,2.23002590042643,56,3.8640397061289,4.04843406336392,48,1.69904157602206,0.4509411612385,2.94714199080563,0.75,1.52120528298128,TRUE,0.966,500,"Turkey","Online","NotUSA"
"10","laurier",1.79959147960793,1.96247536868195,54,5.24484281685845,4.67484809226893,52,3.44525133725052,2.07329911620054,4.8172035583005,0.194444444444444,1.47753720526264,FALSE,0.252,500,"Canada","Lab","NotUSA"
"11","lse",2.10288171631003,2.29264982427406,136,4.18316130808321,4.015476642873,119,2.08027959177318,1.28594537445627,2.87461380909009,0.5,1.50514663460218,TRUE,0.878,500,"UK","Lab","NotUSA"
"12","luc",2.2352518855556,3.1569280354043,81,4.08318845099931,3.86648396800672,61,1.84793656544371,0.681977067018816,3.01389606386861,0.722222222222222,1.5171170694536,TRUE,0.972,500,"USA","Lab","USA"
"13","mcdaniel",2.29624097700889,1.88644703575168,56,3.54118854381439,3.06421730442628,37,1.2449475668055,0.225757202113477,2.26413793149753,0.75,1.53270045525907,TRUE,0.828,500,"USA","Online","USA"
"14","msvu",1.78847451110732,2.35341042035535,36,2.45448852740226,1.4249072537798,37,0.666014016294944,-0.239095937321969,1.57112396991186,0.527777777777778,1.54914637227433,TRUE,0.476,500,"Canada","Lab","NotUSA"
"15","mturk",2.20726000689885,1.81140702913608,511,3.75435596180637,3.06443291263498,470,1.54709595490752,1.2346048111735,1.85958709864155,0.444444444444444,1.52652048573499,TRUE,0.826,500,"USA","Online","USA"
"16","osu",2.98132074045538,3.13541318241554,54,3.30842924470662,2.66371579779551,51,0.327108504251241,-0.802109198732318,1.4563262072348,0.472222222222222,1.55109201025355,FALSE,0.372,500,"USA","Lab","USA"
"17","oxy",1.62851724790648,1.85750304613166,63,4.98372881052713,3.88090954674881,39,3.35521156262066,2.2217294100581,4.48869371518321,0.166666666666667,1.47643308898042,FALSE,0.154,500,"USA","Lab","USA"
"18","pi",1.85430869427834,1.96579692996691,697,3.7945880234913,3.42386375893479,507,1.94027932921297,1.63357921616329,2.24697944226265,0.194444444444444,1.5050085032923,FALSE,0.67,500,"USA","Online","USA"
