"","lab","two6_m","two6_s","two6_n","three6_m","three6_s","three6_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"19","psu",2.06414197599162,2.45418726985977,60,3.49456710051639,2.128702845482,33,1.43042512452476,0.42095718149456,2.43989306755497,0.722222222222222,1.52876237457805,TRUE,0.874,500,"USA","Lab","USA"
"20","qccuny",1.93902336391183,1.45643163384319,41,2.77961419771922,2.32730903858716,52,0.840590833807385,0.0141874521167116,1.66699421549806,0.555555555555556,1.54732089372621,TRUE,0.478,500,"U","Lab","NotUSA"
"21","qccuny2",2.18531852052337,1.46170377180379,44,2.88627201425737,2.60822664960439,36,0.700953493734005,-0.219277501287703,1.62118448875571,0.555555555555556,1.54726251025196,TRUE,0.472,500,"U","Lab","NotUSA"
"22","sdsu",2.28530886432223,1.94289305758856,89,3.70975697318952,2.69362969381578,70,1.42444810886729,0.697689524322678,2.1512066934119,0.666666666666667,1.53004779936612,TRUE,0.832,500,"U","Lab","NotUSA"
"23","swps",1.69980296136771,0.979623105194727,40,1.82292815566481,1.14754086888077,38,0.123125194297106,-0.357232693494934,0.603483082089146,0.0555555555555556,1.56535263378406,FALSE,0.032,500,"Poland","Lab","NotUSA"
"24","swpson",1.53283328768717,1.23580453615796,85,2.80447573386235,2.88074029041104,69,1.27164244617518,0.588259837347458,1.9550250550029,0.666666666666667,1.53535884111896,TRUE,0.702,500,"International","Online","NotUSA"
"25","tamu",1.95435940428841,1.50740973595706,101,3.70865924784048,3.10968391294873,77,1.75429984355206,1.05620304155259,2.45239664555154,0.555555555555556,1.5178222284515,TRUE,0.898,500,"USA","Lab","USA"
"26","tamuc",1.88315656822727,1.27811883290331,48,3.3489131244839,2.62141284182883,33,1.46575655625662,0.593500107198365,2.33801300531488,0.694444444444444,1.52768384695306,TRUE,0.806,500,"USA","Lab","USA"
"27","tamuon",2.25945398413589,1.94892311949202,116,3.83079889945259,3.28044505971492,98,1.5713449153167,0.856588668350341,2.28610116228306,0.583333333333333,1.52481337938099,TRUE,0.926,500,"USA","Online","USA"
"28","tilburg",2.26789393637314,1.79360967427856,45,3.98978638530135,3.28071493400804,29,1.72189244892822,0.544521289070629,2.89926360878581,0.75,1.52070776482842,TRUE,0.948,500,"Netherlands","Lab","NotUSA"
"29","ufl",2.59732343459197,3.65537098355718,59,4.00776733160779,3.75661395433943,58,1.41044389701582,0.0531038213898849,2.76778397264175,0.833333333333333,1.52752139136039,TRUE,0.972,500,"USA","Lab","USA"
"30","unipd",1.63797872923494,2.74351015164847,74,4.29791814141915,4.27360981130254,52,2.65993941218421,1.42220178672228,3.89767703764614,0.527777777777778,1.49712815905566,TRUE,0.714,500,"Italy","Online","NotUSA"
"31","uva",1.65184601353114,1.5459802325575,37,5.2955247908982,4.2646329915718,40,3.64367877736706,2.16398609603541,5.12337145869871,0.166666666666667,1.47409554485406,FALSE,0.206,500,"USA","Lab","USA"
"32","wisc",2.22104803467825,2.08445814239316,48,4.58009231373984,3.69097006908776,46,2.35904427906159,1.13767007245721,3.58041848566596,0.694444444444444,1.50321994938745,TRUE,0.82,500,"USA","Lab","USA"
"33","wku",2.36970030180575,1.91811714165399,60,3.32165184381565,2.46511930099863,37,0.9519515420099,0.0631090628378408,1.84079402118196,0.666666666666667,1.54192662885003,TRUE,0.59,500,"USA","Lab","USA"
"34","wl",2.97022298124824,4.5894401152254,43,3.23760545211563,2.51788918714211,43,0.267382470867382,-1.32011194675486,1.85487688848962,0.694444444444444,1.54386602933476,TRUE,0.644,500,"USA","Lab","USA"
"35","wpi",1.68598108780768,1.29716233155867,47,4.82073336766762,4.56477942305319,37,3.13475227985994,1.74581731312605,4.52368724659383,0.333333333333333,1.491109137742,FALSE,0.41,500,"USA","Lab","USA"
