"","session_id","referrer","MoneyGroup","Sysjust"
"6168",619630,"wl","Money priming group",4
"6169",619631,"wl","Money priming group",2.75
"6170",619674,"wl","Money priming group",3.5
"6171",619812,"wl","Money priming group",5.125
"6172",619813,"wl","Control group",2.125
"6173",619814,"wl","Control group",3.125
"6174",619815,"wl","Control group",3.25
"6175",619816,"wl","Money priming group",4.625
"6176",619817,"wl","Control group",4.25
"6177",619818,"wl","Control group",3.75
"6178",619819,"wl","Control group",4.375
"6179",619820,"wl","Control group",5.25
"6180",619821,"wl","Control group",3.75
"6181",619823,"wl","Money priming group",1.375
"6182",620180,"wl","Control group",3.625
"6183",2402361,"wl","Money priming group",5.5
"6184",2402364,"wl","Money priming group",4.5
"6185",2402367,"wl","Money priming group",4.375
"6186",2402609,"wl","Control group",4.875
"6187",2407256,"wl","Money priming group",3.875
"6188",2423119,"wl","Money priming group",3.25
"6189",2423124,"wl","Money priming group",5.5
"6190",2423129,"wl","Control group",3.875
"6191",2423140,"wl","Control group",2.625
"6192",2423146,"wl","Control group",3.75
"6193",2423150,"wl","Control group",4.5
"6194",2423158,"wl","Control group",3.375
"6195",2423161,"wl","Money priming group",4
"6196",2423162,"wl","Control group",4
"6197",2423166,"wl","Money priming group",5.625
"6198",2423175,"wl","Money priming group",4.25
"6199",2423178,"wl","Control group",4.375
"6200",2423187,"wl","Control group",3.375
"6201",2423190,"wl","Control group",4.25
"6202",2427277,"wl","Money priming group",3.25
"6203",2427306,"wl","Money priming group",4.875
"6204",2427312,"wl","Control group",3.375
"6205",2427315,"wl","Control group",3
"6206",2427318,"wl","Money priming group",4.375
"6207",2427319,"wl","Control group",4.375
"6208",2427320,"wl","Control group",5.125
"6209",2427321,"wl","Money priming group",4
"6210",2429800,"wl","Money priming group",4.375
"6211",2429801,"wl","Money priming group",3
"6212",2429807,"wl","Money priming group",4.5
"6213",2429809,"wl","Money priming group",4.625
"6214",2429812,"wl","Money priming group",3.75
"6215",2429813,"wl","Money priming group",4.125
"6216",2429816,"wl","Control group",3.625
"6217",2429817,"wl","Money priming group",3.5
"6218",2429818,"wl","Control group",4.125
"6219",2429820,"wl","Money priming group",2.75
"6220",2429823,"wl","Control group",2.375
"6221",2429824,"wl","Control group",3.125
"6222",2429826,"wl","Money priming group",4.75
"6223",2429827,"wl","Money priming group",4.375
"6224",2429830,"wl","Money priming group",3.5
"6225",2431590,"wl","Control group",4.375
"6226",2431595,"wl","Control group",4.5
"6227",2431601,"wl","Money priming group",5.25
"6228",2431607,"wl","Control group",5.625
"6229",2431662,"wl","Control group",3.625
"6230",2443981,"wl","Control group",4
"6231",2447928,"wl","Money priming group",3.375
"6232",2447956,"wl","Control group",5.125
"6233",2454317,"wl","Control group",2.875
"6234",2458555,"wl","Money priming group",5.5
"6235",2459510,"wl","Money priming group",5.625
"6236",2459512,"wl","Money priming group",2.625
"6237",2459514,"wl","Money priming group",3.375
"6238",2459517,"wl","Money priming group",3.375
"6239",2459520,"wl","Money priming group",2.25
"6240",2459588,"wl","Money priming group",4
"6241",2462162,"wl","Control group",4.125
"6242",2462166,"wl","Money priming group",4
"6243",2466078,"wl","Control group",4.875
"6244",2479546,"wl","Money priming group",2.875
"6245",2479565,"wl","Control group",3.5
"6246",2479845,"wl","Money priming group",2.375
"6247",2479851,"wl","Control group",1.75
"6248",2479861,"wl","Control group",3
"6249",2479943,"wl","Control group",2
"6250",2480471,"wl","Control group",3.875
"6251",2480476,"wl","Control group",4.875
"6252",2480478,"wl","Money priming group",3.875
"6253",2480480,"wl","Money priming group",5.125
"6254",2480482,"wl","Money priming group",5.125
"6255",2480484,"wl","Money priming group",4.375
"6256",2481270,"wl","Control group",2
"6257",2481507,"wl","Control group",5.125
