"","session_id","referrer","MoneyGroup","Sysjust"
"824",2445901,"jmu","Money priming group",4
"825",2447549,"jmu","Control group",5.75
"826",2450238,"jmu","Control group",4
"827",2450966,"jmu","Money priming group",3
"828",2453815,"jmu","Control group",2.625
"829",2463538,"jmu","Money priming group",4.625
"830",2463674,"jmu","Money priming group",3.625
"831",2465194,"jmu","Money priming group",5.125
"832",2467975,"jmu","Money priming group",2.25
"833",2468229,"jmu","Control group",4.375
"834",2468476,"jmu","Money priming group",4
"835",2468490,"jmu","Control group",3.75
"836",2474858,"jmu","Control group",4.375
"837",2476641,"jmu","Money priming group",4.375
"838",2483981,"jmu","Money priming group",3
"839",2484442,"jmu","Money priming group",5.375
"840",2485645,"jmu","Money priming group",4.375
"841",2487295,"jmu","Money priming group",3.625
"842",2488410,"jmu","Money priming group",4.125
"843",2488592,"jmu","Control group",3.25
"844",2488604,"jmu","Control group",4.125
"845",2488668,"jmu","Money priming group",5.5
