"","session_id","referrer","ContactGroup","Imagineddv"
"846",2483669,"ku","Contact group",3.75
"847",2483687,"ku","Control group",4.25
"848",2483760,"ku","Contact group",6.75
"849",2483819,"ku","Contact group",5.75
"850",2483825,"ku","Contact group",5.25
"851",2483870,"ku","Contact group",6.75
"852",2483963,"ku","Contact group",6
"853",2484027,"ku","Contact group",6.25
"854",2484223,"ku","Contact group",5
"855",2484248,"ku","Contact group",5
"856",2484282,"ku","Control group",4.5
"857",2484311,"ku","Contact group",5.75
"858",2484495,"ku","Control group",5
"859",2484518,"ku","Control group",4
"860",2484541,"ku","Control group",7
"861",2484655,"ku","Control group",3.75
"862",2484735,"ku","Contact group",6.75
"863",2484763,"ku","Control group",6.75
"864",2484839,"ku","Contact group",2.5
"865",2484935,"ku","Contact group",4.75
"866",2484964,"ku","Contact group",6.75
"867",2484991,"ku","Control group",8
"868",2484998,"ku","Contact group",3.75
"869",2485106,"ku","Control group",4.25
"870",2485128,"ku","Contact group",6.75
"871",2485343,"ku","Contact group",4.5
"872",2485384,"ku","Contact group",9
"873",2486014,"ku","Contact group",2.75
"874",2486033,"ku","Contact group",4
"875",2486087,"ku","Control group",5.75
"876",2486120,"ku","Control group",7
"877",2486130,"ku","Control group",6.25
"878",2486139,"ku","Contact group",8
"879",2486189,"ku","Control group",6.75
"880",2486238,"ku","Contact group",4.5
"881",2486297,"ku","Contact group",5.5
"882",2486389,"ku","Control group",5.5
"883",2486683,"ku","Contact group",5.25
"884",2487627,"ku","Control group",8
"885",2487736,"ku","Control group",5.25
"886",2487969,"ku","Control group",4.75
"887",2487986,"ku","Control group",4.75
"888",2488624,"ku","Contact group",3.75
"889",2489799,"ku","Control group",7
"890",2489978,"ku","Control group",4.75
"891",2490370,"ku","Control group",5.5
"892",2491599,"ku","Contact group",4.25
"893",2491676,"ku","Control group",3.75
"894",2492244,"ku","Contact group",3.25
"895",2493467,"ku","Contact group",6.5
"896",2497422,"ku","Control group",6
"897",2497833,"ku","Contact group",5.75
"898",2498540,"ku","Contact group",6
"899",2500646,"ku","Control group",5.75
"900",2500653,"ku","Control group",2.75
"901",2500657,"ku","Control group",6.25
"902",2500684,"ku","Control group",2.75
"903",2500701,"ku","Contact group",3.5
"904",2500731,"ku","Contact group",3
"905",2500735,"ku","Control group",8
"906",2500768,"ku","Contact group",5.75
"907",2500814,"ku","Control group",5.5
"908",2500872,"ku","Control group",4.25
"909",2500947,"ku","Contact group",7
"910",2500948,"ku","Control group",4
"911",2500958,"ku","Contact group",2.5
"912",2500977,"ku","Control group",5.25
"913",2501006,"ku","Contact group",6
"914",2501189,"ku","Control group",6.25
"915",2501191,"ku","Contact group",7.25
"916",2501212,"ku","Contact group",4.5
"917",2501262,"ku","Control group",4.25
"918",2501392,"ku","Contact group",5.75
"919",2501462,"ku","Contact group",5.5
"920",2501531,"ku","Control group",4.25
"921",2501765,"ku","Contact group",5
"922",2501785,"ku","Control group",5.5
"923",2501908,"ku","Control group",5.5
"924",2502030,"ku","Contact group",5.25
"925",2502048,"ku","Control group",5.75
"926",2502097,"ku","Control group",6.25
"927",2502180,"ku","Control group",7.25
"928",2503046,"ku","Contact group",8
"929",2503127,"ku","Control group",5.5
"930",2503177,"ku","Control group",6.5
"931",2503211,"ku","Contact group",5
"932",2503400,"ku","Control group",4.75
"933",2503441,"ku","Contact group",3
"934",2503649,"ku","Control group",6.25
"935",2503687,"ku","Control group",5.5
"936",2503943,"ku","Control group",3.75
"937",2504147,"ku","Contact group",5
"938",2504151,"ku","Contact group",7.5
"939",2504793,"ku","Contact group",8.25
"940",2504918,"ku","Control group",6.75
"941",2504958,"ku","Control group",5
"942",2505085,"ku","Control group",7.75
"943",2505329,"ku","Contact group",9
"944",2505448,"ku","Contact group",6.25
"945",2505529,"ku","Contact group",5
"946",2505548,"ku","Control group",5
"947",2505570,"ku","Control group",5.25
"948",2506806,"ku","Control group",7.25
"949",2506845,"ku","Control group",7.25
"950",2506881,"ku","Contact group",5
"951",2507070,"ku","Control group",4.75
"952",2507282,"ku","Contact group",4.25
"953",2509148,"ku","Contact group",6
"954",2510451,"ku","Control group",6.25
"955",2510549,"ku","Contact group",1.75
"956",2510938,"ku","Contact group",4
"957",2511223,"ku","Contact group",3.5
"958",2511739,"ku","Contact group",5.25
