"","session_id","referrer","ContactGroup","Imagineddv"
"809",2424425,"jmu","Contact group",3.5
"810",2424846,"jmu","Contact group",1.25
"811",2425552,"jmu","Control group",1.25
"812",2426194,"jmu","Contact group",9
"813",2426851,"jmu","Contact group",3
"814",2426970,"jmu","Control group",5.25
"815",2427675,"jmu","Contact group",4
"816",2429267,"jmu","Control group",1.75
"817",2429660,"jmu","Control group",4.75
"818",2429997,"jmu","Contact group",6
"819",2430879,"jmu","Control group",3
"820",2431381,"jmu","Control group",3
"821",2434157,"jmu","Control group",3.5
"822",2434515,"jmu","Contact group",1.5
"823",2440669,"jmu","Control group",2
"824",2445901,"jmu","Contact group",1.75
"825",2447549,"jmu","Control group",7
"826",2450238,"jmu","Contact group",5.5
"827",2450966,"jmu","Control group",4.75
"828",2453815,"jmu","Contact group",6.25
"829",2463538,"jmu","Control group",6
"830",2463674,"jmu","Control group",1.25
"831",2465194,"jmu","Control group",2
"832",2467975,"jmu","Control group",8.5
"833",2468229,"jmu","Contact group",4.25
"834",2468476,"jmu","Control group",3.5
"835",2468490,"jmu","Contact group",2.5
"836",2474858,"jmu","Control group",5
"837",2476641,"jmu","Control group",5
"838",2483981,"jmu","Control group",3.5
"839",2484442,"jmu","Contact group",2.75
"840",2485645,"jmu","Contact group",5.25
"841",2487295,"jmu","Contact group",5
"842",2488410,"jmu","Control group",3.5
"843",2488592,"jmu","Contact group",4.25
"844",2488604,"jmu","Contact group",2
"845",2488668,"jmu","Contact group",5
