"","session_id","referrer","ContactGroup","Imagineddv"
"4520",2436706,"sdsu","Control group",6.5
"4521",2436967,"sdsu","Contact group",5
"4522",2440429,"sdsu","Control group",4
"4523",2440430,"sdsu","Control group",2.5
"4524",2440431,"sdsu","Control group",2.25
"4525",2440596,"sdsu","Contact group",1
"4526",2440598,"sdsu","Contact group",1
"4527",2440621,"sdsu","Contact group",5.75
"4528",2440623,"sdsu","Control group",4.25
"4529",2440733,"sdsu","Control group",4.75
"4530",2440734,"sdsu","Contact group",1.75
"4531",2440737,"sdsu","Control group",4
"4532",2440740,"sdsu","Contact group",4
"4533",2440881,"sdsu","Contact group",6.5
"4534",2440883,"sdsu","Control group",2.75
"4535",2440885,"sdsu","Control group",7
"4536",2443108,"sdsu","Control group",2
"4537",2443109,"sdsu","Contact group",4.5
"4538",2443110,"sdsu","Control group",2.25
"4539",2443367,"sdsu","Contact group",8.25
"4540",2443371,"sdsu","Contact group",7
"4541",2443373,"sdsu","Contact group",5.75
"4542",2443376,"sdsu","Control group",5
"4543",2443761,"sdsu","Contact group",2
"4544",2443763,"sdsu","Control group",8
"4545",2443765,"sdsu","Contact group",4.75
"4546",2443767,"sdsu","Control group",4.75
"4547",2443879,"sdsu","Contact group",5.75
"4548",2443882,"sdsu","Contact group",6.5
"4549",2443886,"sdsu","Contact group",5
"4550",2443887,"sdsu","Contact group",8.5
"4551",2445906,"sdsu","Contact group",7
"4552",2445908,"sdsu","Contact group",6.25
"4553",2445912,"sdsu","Contact group",5.25
"4554",2445951,"sdsu","Control group",3.25
"4555",2446069,"sdsu","Control group",4.25
"4556",2446072,"sdsu","Contact group",8
"4557",2446074,"sdsu","Control group",4.5
"4558",2446076,"sdsu","Contact group",5.25
"4559",2447580,"sdsu","Contact group",5.25
"4560",2447581,"sdsu","Control group",4
"4561",2447582,"sdsu","Contact group",5
"4562",2447591,"sdsu","Control group",4.25
"4563",2447692,"sdsu","Control group",4.75
"4564",2447693,"sdsu","Control group",1.75
"4565",2447744,"sdsu","Control group",4
"4566",2447904,"sdsu","Contact group",7.75
"4567",2447907,"sdsu","Contact group",6.75
"4568",2448199,"sdsu","Contact group",3.25
"4569",2448201,"sdsu","Control group",1.5
"4570",2448202,"sdsu","Control group",4.5
"4571",2448203,"sdsu","Control group",1.75
"4572",2448352,"sdsu","Contact group",4.5
"4573",2448354,"sdsu","Control group",3.25
"4574",2448355,"sdsu","Contact group",3.5
"4575",2448359,"sdsu","Contact group",4.75
"4576",2448429,"sdsu","Control group",5.75
"4577",2448430,"sdsu","Contact group",6.25
"4578",2448433,"sdsu","Control group",7
"4579",2452411,"sdsu","Contact group",3.25
"4580",2452413,"sdsu","Control group",6.5
"4581",2452422,"sdsu","Control group",5
"4582",2452479,"sdsu","Contact group",3.25
"4583",2452480,"sdsu","Contact group",7.25
"4584",2452481,"sdsu","Control group",6.75
"4585",2452747,"sdsu","Control group",5.25
"4586",2452749,"sdsu","Contact group",5.75
"4587",2452750,"sdsu","Control group",4.5
"4588",2452842,"sdsu","Control group",3.25
"4589",2452844,"sdsu","Contact group",3.25
"4590",2452845,"sdsu","Control group",4.5
"4591",2452849,"sdsu","Control group",3.5
"4592",2452928,"sdsu","Contact group",2.75
"4593",2452930,"sdsu","Contact group",2.25
"4594",2452931,"sdsu","Contact group",2.25
"4595",2452932,"sdsu","Contact group",3.5
"4596",2454751,"sdsu","Control group",4.25
"4597",2454752,"sdsu","Control group",5.25
"4598",2454753,"sdsu","Control group",7.5
"4599",2455017,"sdsu","Control group",3.25
"4600",2455019,"sdsu","Contact group",5
"4601",2455106,"sdsu","Control group",4.25
"4602",2455109,"sdsu","Contact group",5
"4603",2455110,"sdsu","Control group",2.5
"4604",2455111,"sdsu","Contact group",1
"4605",2456774,"sdsu","Contact group",4
"4606",2456780,"sdsu","Contact group",3.75
"4607",2456782,"sdsu","Control group",6.25
"4608",2456795,"sdsu","Control group",1.5
"4609",2456913,"sdsu","Control group",4.75
"4610",2456914,"sdsu","Contact group",4.25
"4611",2456915,"sdsu","Contact group",5.75
"4612",2456917,"sdsu","Contact group",7.25
"4613",2457079,"sdsu","Control group",3
"4614",2457081,"sdsu","Contact group",4.75
"4615",2457083,"sdsu","Control group",3
"4616",2457192,"sdsu","Contact group",1
"4617",2457193,"sdsu","Control group",1.75
"4618",2457195,"sdsu","Contact group",7.75
"4619",2457197,"sdsu","Control group",5
"4620",2457342,"sdsu","Control group",2.25
"4621",2457345,"sdsu","Contact group",7
"4622",2457348,"sdsu","Contact group",5.25
"4623",2457350,"sdsu","Contact group",5.25
"4624",2458806,"sdsu","Contact group",5.5
"4625",2458808,"sdsu","Control group",6.25
"4626",2458811,"sdsu","Contact group",4.25
"4627",2458812,"sdsu","Control group",5.25
"4628",2458913,"sdsu","Contact group",8.5
"4629",2458914,"sdsu","Control group",2
"4630",2458915,"sdsu","Contact group",6.25
"4631",2458916,"sdsu","Control group",6.5
"4632",2461397,"sdsu","Control group",3
"4633",2461398,"sdsu","Control group",5
"4634",2461402,"sdsu","Contact group",3.75
"4635",2461621,"sdsu","Contact group",4.75
"4636",2461625,"sdsu","Contact group",3.5
"4637",2461629,"sdsu","Contact group",3.25
"4638",2461892,"sdsu","Contact group",2.75
"4639",2461893,"sdsu","Control group",7
"4640",2461894,"sdsu","Control group",5
"4641",2461895,"sdsu","Contact group",5.25
"4642",2462430,"sdsu","Control group",3.75
"4643",2462431,"sdsu","Control group",5.75
"4644",2462432,"sdsu","Contact group",2.25
"4645",2462434,"sdsu","Control group",1.25
"4646",2462501,"sdsu","Control group",4.5
"4647",2462503,"sdsu","Contact group",6.25
"4648",2462505,"sdsu","Contact group",4
"4649",2462572,"sdsu","Contact group",2
"4650",2462573,"sdsu","Contact group",6.75
"4651",2462574,"sdsu","Contact group",2.5
"4652",2462575,"sdsu","Control group",6.5
"4653",2466137,"sdsu","Control group",7
"4654",2466138,"sdsu","Control group",5.25
"4655",2466142,"sdsu","Contact group",3.25
"4656",2466152,"sdsu","Control group",4
"4657",2466236,"sdsu","Contact group",6.5
"4658",2466240,"sdsu","Contact group",6.75
"4659",2466241,"sdsu","Control group",4.75
"4660",2466441,"sdsu","Control group",6.25
"4661",2466442,"sdsu","Control group",4
"4662",2466443,"sdsu","Contact group",7
"4663",2466547,"sdsu","Contact group",1.75
"4664",2466548,"sdsu","Contact group",7.5
"4665",2466549,"sdsu","Control group",5.5
"4666",2466635,"sdsu","Contact group",5.75
"4667",2466638,"sdsu","Control group",1.25
"4668",2468204,"sdsu","Control group",2.5
"4669",2468205,"sdsu","Control group",7
"4670",2468206,"sdsu","Control group",1.75
"4671",2468345,"sdsu","Control group",5.75
"4672",2468347,"sdsu","Control group",4.75
"4673",2468348,"sdsu","Control group",4.75
"4674",2468350,"sdsu","Control group",4.75
"4675",2468450,"sdsu","Contact group",8
"4676",2468451,"sdsu","Control group",1.75
"4677",2468454,"sdsu","Contact group",2
"4678",2468534,"sdsu","Control group",3
"4679",2468536,"sdsu","Control group",4.25
"4680",2468538,"sdsu","Contact group",7
"4681",2468539,"sdsu","Contact group",4
