"","lab","no prime_m","no prime_s","no prime_n","flag prime_m","flag prime_s","flag prime_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",3.05154220779221,0.896762355869253,44,3.10393772893773,0.609610088089427,39,0.0523955211455212,-0.286912451612486,0.391703493903528,0.92,-0.00477451013918479,TRUE,0.858,500,"USA","Lab","USA"
"2","conncoll",2.87877747252747,0.724716698060524,52,2.55909863945578,0.688306837917536,42,-0.31967883307169,-0.611698049938139,-0.0276596162052423,0.4,0.00804789881791665,FALSE,0.41,500,"USA","Lab","USA"
"3","csun",3.31800911854103,0.85427215885102,47,3.26428571428571,0.766538301175797,47,-0.0537234042553192,-0.38623112804865,0.278784319538011,0.96,-0.00189411933831598,TRUE,0.848,500,"USA","Online","USA"
"4","ithaca",2.99184782608696,0.746939205242637,46,2.86171096345515,0.770375290952392,43,-0.130136862631807,-0.449863403378686,0.189589678115071,0.88,0.000456672123739751,TRUE,0.758,500,"USA","Lab","USA"
"5","jmu",3.36865079365079,0.890873845054098,90,3.40766550522648,0.901579113873931,82,0.0390147115756871,-0.231001781758707,0.309031204910081,0.88,-0.00499082107826508,TRUE,0.912,500,"USA","Online","USA"
"6","luc",3.02691897654584,0.748680639246046,67,3.08333333333333,0.969851262751909,78,0.0564143567874913,-0.231605096397229,0.344433809972212,0.88,-0.00549358948277724,TRUE,0.9,500,"USA","Lab","USA"
"7","mcdaniel",3.11892857142857,0.875662493890767,50,3.19642857142857,0.761018711294612,48,0.0775000000000001,-0.252027135896905,0.407027135896906,0.88,-0.00549195910155305,TRUE,0.852,500,"USA","Online","USA"
"8","mturk",3.09926647426647,1.15369660707197,495,3.21038672142368,1.19421291748837,487,0.111120247157208,-0.0359173182670083,0.258157812581425,0.52,-0.0205463719708285,TRUE,0.896,500,"USA","Online","USA"
"9","osu",3.34667818740399,0.900777184506629,62,3.59183673469388,0.86280455565089,35,0.245158547289884,-0.12730003175402,0.617617126333787,0.76,-0.00870811890398568,TRUE,0.72,500,"USA","Lab","USA"
"10","oxy",2.30045351473923,0.721318628999871,63,2.29649014778325,0.714222582228621,58,-0.00396336695597777,-0.262651594107905,0.254724860195949,0.84,-0.00322611798519117,TRUE,0.808,500,"USA","Lab","USA"
"11","pi",2.88917488917489,1.059321165031,666,2.91724006116208,1.12327035274051,654,0.0280651719871905,-0.0898096604137763,0.145940004388157,0.64,NA,NA,0.986,500,"USA","Online","USA"
"12","psu",3.37301587301587,0.778004364100002,45,3.38586956521739,0.732113610148214,46,0.0128536922015181,-0.301748578236413,0.32745596263945,0.92,-0.00374573411039687,TRUE,0.86,500,"USA","Lab","USA"
"13","qccuny",3.30392156862745,0.772679955560833,51,3.13020833333333,0.790972306541962,48,-0.173713235294117,-0.485670112535952,0.138243641947718,0.88,0.00197984561972214,TRUE,0.674,500,"U","Lab","NotUSA"
"14","qccuny2",3.08832046332046,0.7676834653384,37,3.10416666666667,0.744364167719267,48,0.0158462033462032,-0.312484751958391,0.344177158650798,0.92,-0.00378508675062422,TRUE,0.842,500,"U","Lab","NotUSA"
"15","sdsu",3.14628378378378,0.784674289295487,74,3.05813953488372,0.772623889365715,86,-0.0881442489000626,-0.331858915118728,0.155570417318603,0.88,0.00105278719216863,TRUE,0.784,500,"U","Lab","NotUSA"
"16","tamu",4.1902380952381,1.03943336618715,75,3.92367601246106,0.947279623333715,107,-0.266562082777036,-0.559624124706255,0.0264999591521828,0.56,0.00554786762134265,TRUE,0.49,500,"USA","Lab","USA"
"17","tamuc",3.52631578947368,0.996682798228451,38,3.79427083333333,0.995832266906459,48,0.267955043859649,-0.162210818203282,0.698120905922581,0.84,-0.00760069729179997,TRUE,0.784,500,"USA","Lab","USA"
"18","tamuon",4.04829931972789,0.99211014956566,105,4.01896333754741,1.05006139619521,113,-0.0293359821804833,-0.302532566449788,0.243860602088822,0.84,-0.00221232134584133,TRUE,0.93,500,"USA","Online","USA"
"19","ufl",3.51174168297456,0.866011182541302,73,3.40330188679245,1.03793477609118,53,-0.108439796182107,-0.444885308643064,0.22800571627885,0.88,-0.000660105486446612,TRUE,0.83,500,"USA","Lab","USA"
"20","uva",3.17613636363636,0.992456351120538,44,3.03472222222222,0.890230262704499,36,-0.141414141414141,-0.565536146450267,0.282707863621984,0.96,-0.000924149943755312,TRUE,0.878,500,"USA","Lab","USA"
"21","wisc",3.02067669172932,0.863785574014942,57,2.99671052631579,0.720411177933552,38,-0.0239661654135341,-0.36074218866835,0.312809857841282,0.96,-0.00267077127140114,TRUE,0.892,500,"USA","Lab","USA"
"22","wku",3.62922077922078,1.01088863335121,55,3.73295454545455,0.852744760050047,44,0.103733766233766,-0.275239522758043,0.482707055225575,0.92,-0.00555411575369778,TRUE,0.914,500,"USA","Lab","USA"
"23","wl",3.10267857142857,0.846633866001842,36,3.02594339622642,0.812077734416107,53,-0.0767351752021566,-0.43138301733571,0.277912666931397,0.96,-0.00154383198069503,TRUE,0.852,500,"USA","Lab","USA"
"24","wpi",2.99627976190476,0.819054305692705,48,3.07001879699248,0.929539716218536,38,0.0737390350877192,-0.301693697895619,0.449171768071057,0.92,-0.00483657943913593,TRUE,0.898,500,"USA","Lab","USA"
