"","lab","m_m","m_s","m_n","f_m","f_s","f_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"11","lse",0.160115406101726,0.482676686347205,91,0.521867969598853,0.452669650829567,176,0.361752563497127,0.244027322075161,0.479477804919092,0.583333333333333,-0.267940480676504,FALSE,0.664,500,"UK","Lab","NotUSA"
"12","luc",0.0965168184692736,0.460394418000524,20,0.481390748030893,0.450523168552728,121,0.384873929561619,0.16921090124198,0.600536957881258,0.777777777777778,-0.270315541869759,FALSE,0.88,500,"USA","Lab","USA"
"13","mcdaniel",0.250539655918006,0.537957796656215,20,0.553345494704463,0.457799223618436,71,0.302805838786457,0.0633536134543944,0.54225806411852,0.861111111111111,-0.27218963384546,FALSE,0.958,500,"USA","Online","USA"
"14","msvu",0.44770723239515,0.542267936752989,9,0.637255989222502,0.478581355437083,52,0.189548756827352,-0.162777322018641,0.541874835673346,0.972222222222222,-0.273401863979029,FALSE,0.988,500,"Canada","Lab","NotUSA"
"15","mturk",0.332355094644345,0.468252284291571,410,0.585469163017056,0.453401490597163,484,0.253114068372711,0.192481642938447,0.313746493806975,0.277777777777778,-0.274158844153712,FALSE,0.922,500,"USA","Online","USA"
"16","osu",0.115488891182894,0.413912395402795,30,0.370590318496024,0.420085870241991,60,0.25510142731313,0.0693268015377088,0.440876053088552,0.833333333333333,-0.273114629518166,FALSE,0.892,500,"USA","Lab","USA"
"17","oxy",0.264812664153061,0.528892265813458,32,0.584338854584947,0.51431222454253,85,0.319526190431886,0.10660561982131,0.532446761042462,0.833333333333333,-0.271567008579541,FALSE,0.948,500,"USA","Lab","USA"
"18","pi",0.322143511992569,0.498780579293019,427,0.613293219221509,0.439296631816886,809,0.29114970722894,0.237084986602445,0.345214427855435,0.305555555555556,-0.27037418245094,FALSE,0.828,500,"USA","Online","USA"
"19","psu",0.17917901387749,0.461965653914413,15,0.463449519426567,0.512102735549192,74,0.284270505549077,0.000403664723504671,0.568137346374649,0.972222222222222,-0.272492087620157,FALSE,0.992,500,"USA","Lab","USA"
"20","qccuny",0.195698683866468,0.566148544624666,19,0.354154172152931,0.486123451841119,74,0.158455488286463,-0.0984936954530272,0.415404672025953,0.944444444444444,-0.274355801522952,FALSE,0.93,500,"U","Lab","NotUSA"
"21","qccuny2",-0.0958445940877696,0.638641411372077,4,0.235609639602145,0.215511601761258,4,0.331454233689915,-0.493184196409254,1.15609266378908,0.972222222222222,-0.27261604689304,TRUE,0.976501305483029,383,"U","Lab","NotUSA"
"22","sdsu",0.223635856474307,0.485089911782681,38,0.466689799733253,0.547544803491867,117,0.243053943258946,0.046402617469071,0.439705269048821,0.888888888888889,-0.273485013881273,FALSE,0.966,500,"U","Lab","NotUSA"
"23","swps",0.366316114073169,0.394463520944945,25,0.514344303859958,0.330574118751321,51,0.148028189786789,-0.023485877044901,0.319542256618479,0.611111111111111,-0.276667409758921,FALSE,0.706,500,"Poland","Lab","NotUSA"
"24","swpson",0.238366822343184,0.514660898713514,53,0.508011653736065,0.433390347660416,112,0.269644831392881,0.117917395280004,0.421372267505758,0.805555555555556,-0.272641262502603,FALSE,0.956,500,"International","Online","NotUSA"
"25","tamu",0.236064792816399,0.451556950808073,58,0.420245240730791,0.464691473566409,121,0.184180447914392,0.0390429468562232,0.329317948972561,0.583333333333333,-0.276805686193898,FALSE,0.824,500,"USA","Lab","USA"
"26","tamuc",0.277838612299999,0.433566020966733,15,0.558891385058598,0.423465351724932,69,0.281052772758599,0.040076631200603,0.522028914316595,0.916666666666667,-0.272503207425473,FALSE,0.954,500,"USA","Lab","USA"
"27","tamuon",0.222776130407663,0.555195444272419,45,0.285485770907836,0.522360894725327,163,0.0627096405001725,-0.11309957476253,0.238518855762875,0.305555555555556,-0.278714487032946,FALSE,0.408,500,"USA","Online","USA"
"28","tilburg",0.428677730509219,0.484262157201064,20,0.485599389875859,0.54783773739995,58,0.0569216593666405,-0.218173431062545,0.332016749795826,0.638888888888889,-0.276328280224539,FALSE,0.73,500,"Netherlands","Lab","NotUSA"
"29","ufl",0.0311913560287527,0.546734449933399,31,0.418946770330744,0.554809949024442,94,0.387755414301991,0.161102902366645,0.614407926237337,0.777777777777778,-0.270367236477435,FALSE,0.852,500,"USA","Lab","USA"
"30","unipd",0.11325861356907,0.460779426646391,48,0.467245082006124,0.475903191052073,86,0.353986468437054,0.186276677967307,0.5216962589068,0.666666666666667,-0.269842935776463,FALSE,0.774,500,"Italy","Online","NotUSA"
"31","uva",0.0992331761534535,0.52187363627348,24,0.623419870159855,0.431769386021306,57,0.524186694006402,0.301473469292553,0.74689991872025,0.388888888888889,-0.26899054612418,FALSE,0.38,500,"USA","Lab","USA"
"32","wisc",0.243965628029107,0.550660416501566,16,0.615588291062373,0.412363888108794,75,0.371622663033266,0.131558145218181,0.61168718084835,0.833333333333333,-0.27140910137527,FALSE,0.886,500,"USA","Lab","USA"
"33","wku",0.22863314924328,0.583583383061216,26,0.414619792439345,0.537019119842876,69,0.185986643196065,-0.0653114387874364,0.437284725179566,0.944444444444444,-0.274128413817224,FALSE,0.968,500,"USA","Lab","USA"
"34","wl",0.534406907992131,0.499160452011454,14,0.577714367592777,0.453046732485449,76,0.0433074596006456,-0.222649329578705,0.309264248779997,0.583333333333333,-0.275937597072729,FALSE,0.682,500,"USA","Lab","USA"
"35","wpi",0.178173220471408,0.435160139595942,42,0.434638070192505,0.533503247196812,42,0.256464849721097,0.0451333151345546,0.467796384307639,0.888888888888889,-0.273012359855525,FALSE,0.936,500,"USA","Lab","USA"
