"","lab","m_m","m_s","m_n","f_m","f_s","f_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",0.0808151086316811,0.462249616987464,24,0.454090431711682,0.467015047526196,53,0.373275323080001,0.145089854323364,0.601460791836637,0.833333333333333,-0.270637284116181,FALSE,0.792,500,"USA","Lab","USA"
"2","brasilia",0.399756637367889,0.516286901366489,48,0.570311251730099,0.422959447520084,65,0.17055461436221,-0.00471574871317637,0.345824977437596,0.638888888888889,-0.275942178808047,FALSE,0.828,500,"Brazil","Lab","NotUSA"
"3","charles",0.34020899232457,0.4526633256802,22,0.735131969249299,0.418780021743441,58,0.394922976924729,0.181485811472553,0.608360142376905,0.75,-0.270148487473224,FALSE,0.72,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",0.359331715867521,0.409349054626294,29,0.577599455660234,0.46346974728616,57,0.218267739792713,0.0158947493119311,0.420640730273494,0.916666666666667,-0.274157689778512,FALSE,0.906,500,"USA","Lab","USA"
"5","csun",0.31376035071234,0.487856737841887,16,0.319679753296012,0.50599643151597,72,0.00591940258367213,-0.270380772189279,0.282219577356623,0.472222222222222,-0.27677905963952,FALSE,0.57,500,"USA","Online","USA"
"6","help",0.259364345243654,0.439688943770572,28,0.341022076785771,0.434867171163763,69,0.0816577315421178,-0.112397873991789,0.275713337076025,0.444444444444444,-0.27790237566451,FALSE,0.556,500,"Malaysia","Lab","NotUSA"
"7","ithaca",0.274598569770319,0.5574236989603,17,0.55993579719662,0.456669531895131,71,0.2853372274263,0.029281765727643,0.541392689124957,0.944444444444444,-0.27252382701242,FALSE,0.962,500,"USA","Lab","USA"
"8","jmu",0.101675487880484,0.542068742912198,30,0.51489338120963,0.488926885400475,137,0.413217893329146,0.214744573446323,0.611691213211969,0.666666666666667,-0.269689393670831,FALSE,0.728,500,"USA","Online","USA"
"9","ku",0.109995070342855,0.419899646974168,41,0.511464430807614,0.490668589435586,64,0.401469360464759,0.217201747428088,0.585736973501431,0.666666666666667,-0.269018293297211,FALSE,0.666,500,"Turkey","Online","NotUSA"
"10","laurier",0.169173807218145,0.440071718389692,49,0.580389893265889,0.41030309462263,59,0.411216086047744,0.248724296863141,0.573707875232346,0.611111111111111,-0.268462505072622,FALSE,0.526,500,"Canada","Lab","NotUSA"
