uID,CounterBalance,Prominent1st,Prominent2nd,Asymmetry
1,CBB,15.9,17,-1.1
3,CBB,11.2,13,-1.8
4,CBA,13.0909090909091,11.1,1.99090909090909
5,CBA,9.63636363636364,8.7,0.936363636363637
6,CBB,12.6,16.3636363636364,-3.76363636363636
13,CBB,12.1,12.2727272727273,-0.172727272727274
15,CBB,11.8,14.2727272727273,-2.47272727272727
16,CBA,11.8181818181818,9.5,2.31818181818182
19,CBB,13.6,11.3636363636364,2.23636363636364
23,CBB,15.7,17.5454545454545,-1.84545454545455
29,CBB,10.1,10,0.0999999999999996
30,CBB,20,20,0
33,CBB,11.6,12.7272727272727,-1.12727272727273
35,CBA,12.0909090909091,9.5,2.59090909090909
37,CBA,10.6363636363636,10.7,-0.0636363636363626
38,CBB,12.1,11.9090909090909,0.190909090909091
40,CBB,11.1,10.9090909090909,0.190909090909091
41,CBB,7.7,10.2727272727273,-2.57272727272727
47,CBB,16.2,15.4545454545455,0.745454545454544
48,CBB,12.2,12.9090909090909,-0.709090909090909
49,CBB,11.3,12.9090909090909,-1.60909090909091
50,CBA,12.5454545454545,10.4,2.14545454545454
53,CBB,7.4,9.90909090909091,-2.50909090909091
54,CBA,13.8181818181818,12,1.81818181818182
55,CBB,11.3,10.7272727272727,0.572727272727274
57,CBB,11.9,11.9090909090909,-0.00909090909090793
58,CBA,20,20,0
59,CBB,9.8,10.8181818181818,-1.01818181818182
61,CBA,11.2727272727273,8.3,2.97272727272727
62,CBB,7.1,10.2727272727273,-3.17272727272727
65,CBA,11.8181818181818,14.5,-2.68181818181818
68,CBB,10,13.6363636363636,-3.63636363636364
70,CBA,18.9090909090909,16.9,2.00909090909091
71,CBA,6.90909090909091,7.2,-0.290909090909091
75,CBA,13.3636363636364,11.3,2.06363636363636
77,CBB,9.6,12.1818181818182,-2.58181818181818
79,CBA,12.7272727272727,11.7,1.02727272727273
82,CBA,13,10.2,2.8
83,CBA,16.7272727272727,15,1.72727272727273
87,CBB,12.2,10.0909090909091,2.10909090909091
91,CBB,8.8,11.9090909090909,-3.10909090909091
93,CBA,13.6363636363636,12.3,1.33636363636364
94,CBB,14.6,14.6363636363636,-0.036363636363637
95,CBA,10.7272727272727,11.9,-1.17272727272727
99,CBB,11.1,11.2727272727273,-0.172727272727274
100,CBB,9.3,10.5454545454545,-1.24545454545454
102,CBB,8,12.0909090909091,-4.09090909090909
103,CBB,10.7,13.0909090909091,-2.39090909090909
106,CBB,9.7,10.7272727272727,-1.02727272727273
112,CBA,13.3636363636364,11.6,1.76363636363636
116,CBA,15.0909090909091,10.8,4.29090909090909
117,CBA,13.4545454545455,11.5,1.95454545454546
118,CBB,9,8.72727272727273,0.272727272727273
121,CBA,11.1818181818182,10.2,0.981818181818182
125,CBA,10.7272727272727,9.3,1.42727272727273
126,CBB,12.4,12.2727272727273,0.127272727272727
127,CBB,11.3,11.4545454545455,-0.154545454545454
130,CBA,8.54545454545455,7.2,1.34545454545454
133,CBA,14.9090909090909,14.4,0.509090909090908
135,CBA,11,7.3,3.7
136,CBA,10,9.3,0.699999999999999
137,CBB,8.4,12.1818181818182,-3.78181818181818
138,CBA,10.7272727272727,8,2.72727272727273
141,CBA,10.9090909090909,7.1,3.80909090909091
142,CBB,10.2,12.1818181818182,-1.98181818181818
143,CBB,9.8,12.9090909090909,-3.10909090909091
144,CBA,14.2727272727273,11.9,2.37272727272727
146,CBA,13.5454545454545,11.1,2.44545454545455
151,CBB,11.6,14.6363636363636,-3.03636363636364
154,CBA,10.9090909090909,8.9,2.00909090909091
156,CBA,12.2727272727273,10.9,1.37272727272727
157,CBB,9.4,11.9090909090909,-2.50909090909091
158,CBB,7.8,9.81818181818182,-2.01818181818182
159,CBB,10.5,10.9090909090909,-0.409090909090908
160,CBA,9.63636363636364,10.7,-1.06363636363636
162,CBA,13.3636363636364,10.6,2.76363636363636
163,CBA,12.9090909090909,12,0.909090909090908
164,CBB,12.7,12.6363636363636,0.0636363636363626
166,CBB,7.6,11.2727272727273,-3.67272727272727
168,CBB,10.6,10.9090909090909,-0.309090909090909
170,CBA,16,12.9,3.1
171,CBB,9.3,12.0909090909091,-2.79090909090909
173,CBB,9.6,12.6363636363636,-3.03636363636364
176,CBB,10,10,0
178,CBB,11.8,13.9090909090909,-2.10909090909091
179,CBB,10.3,11,-0.699999999999999
182,CBA,12.5454545454545,11.2,1.34545454545455
184,CBA,11.4545454545455,9.1,2.35454545454546
185,CBB,1,1,0
195,CBA,9.09090909090909,7.7,1.39090909090909
197,CBA,11.6363636363636,10.5,1.13636363636364
201,CBB,8.2,11.6363636363636,-3.43636363636364
202,CBB,11.2,11.5454545454545,-0.345454545454546
203,CBA,11.5454545454545,10.7,0.845454545454546
206,CBB,10.6,10,0.6
207,CBA,15.9090909090909,15.7,0.209090909090909
214,CBB,5,6.36363636363636,-1.36363636363636
215,CBB,18.4,17.8181818181818,0.581818181818182
217,CBB,9.8,11.8181818181818,-2.01818181818182
220,CBA,9.27272727272727,11.5,-2.22727272727273
221,CBA,12.8181818181818,10.2,2.61818181818182
222,CBB,8.7,8.36363636363636,0.336363636363636
224,CBB,10.4,12.5454545454545,-2.14545454545454
225,CBB,11.3,13.5454545454545,-2.24545454545454
232,CBA,13.1818181818182,11.5,1.68181818181818
233,CBB,10.6,13.3636363636364,-2.76363636363636
234,CBB,13.6,13.5454545454545,0.0545454545454547
235,CBB,10.9,13.4545454545455,-2.55454545454545
238,CBB,10.1,12.1818181818182,-2.08181818181818
240,CBA,13.0909090909091,8.8,4.29090909090909
