"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"4236",2484525,"psu",0.574682742292909,6.16666666666667,"Include"
"4237",2484526,"psu",-0.846838457884587,5.5,"Include"
"4238",2484535,"psu",0.392278957150363,5.41666666666667,"Include"
"4239",2484537,"psu",0.655913284254821,4.91666666666667,"Include"
"4240",2484538,"psu",0.908750889707416,6,"Include"
"4241",2484548,"psu",0.412019274169002,6.25,"Include"
"4242",2484626,"psu",0.300355526216755,4.33333333333333,"Include"
"4243",2484631,"psu",0.0376637531473566,4.41666666666667,"Include"
"4244",2484633,"psu",0.8716156481227,5.16666666666667,"Include"
"4245",2484635,"psu",0.604775360350302,5.08333333333333,"Include"
"4248",2484726,"psu",0.325700851191798,5.58333333333333,"Include"
"4249",2484730,"psu",-0.857806754335702,4.33333333333333,"Include"
"4250",2484746,"psu",0.0602493936892186,5.58333333333333,"Include"
"4251",2484761,"psu",0.703158608854933,4.75,"Include"
"4252",2484762,"psu",0.638862906859132,5.5,"Include"
"4253",2484765,"psu",0.920201071425493,3.66666666666667,"Include"
"4254",2484829,"psu",1.04178994976986,5.66666666666667,"Include"
"4255",2484831,"psu",0.470659259710372,5.66666666666667,"Include"
"4256",2484832,"psu",0.225176415653492,3.41666666666667,"Include"
"4257",2484833,"psu",-0.677438654483547,3.25,"Include"
"4258",2484835,"psu",0.532832742892189,4.41666666666667,"Include"
"4259",2484850,"psu",0.108773006017051,3.5,"Include"
"4260",2484921,"psu",0.340124513664857,4.58333333333333,"Include"
"4261",2484923,"psu",1.45754136824285,5,"Include"
"4262",2484927,"psu",0.859481041255904,4.75,"Include"
"4263",2484936,"psu",0.610576776166716,5.91666666666667,"Include"
"4264",2484944,"psu",0.572622004646341,5.91666666666667,"Include"
"4265",2490490,"psu",-0.0727431693246238,3.91666666666667,"Include"
"4266",2490493,"psu",0.447154721785011,5.33333333333333,"Include"
"4267",2490496,"psu",0.39828345389247,4.66666666666667,"Include"
"4268",2490499,"psu",0.723653577929411,5.83333333333333,"Include"
"4269",2490501,"psu",0.0286241805004215,5.41666666666667,"Include"
"4270",2490558,"psu",0.438378268006902,3.5,"Include"
"4271",2490564,"psu",-0.221542862772947,5.58333333333333,"Include"
"4272",2490571,"psu",-0.25533504899157,6.25,"Include"
"4273",2490574,"psu",1.04235006172758,6.16666666666667,"Include"
"4274",2490582,"psu",0.187479793585773,5.75,"Include"
"4275",2490586,"psu",0.839773778606149,5.58333333333333,"Include"
"4277",2490616,"psu",-0.0913409987788909,5.66666666666667,"Include"
"4278",2490617,"psu",0.389534695170208,4.58333333333333,"Include"
"4279",2490624,"psu",0.578549598584995,5.33333333333333,"Include"
"4280",2490644,"psu",0.513237970526658,5.33333333333333,"Include"
"4282",2490658,"psu",1.04933573037564,4.66666666666667,"Include"
"4283",2490661,"psu",1.19292393812361,5.91666666666667,"Include"
"4284",2490664,"psu",0.702828397773508,4.5,"Include"
"4285",2490682,"psu",1.0682774086124,2.83333333333333,"Include"
"4286",2490703,"psu",1.05974940040485,5.66666666666667,"Include"
"4288",2490730,"psu",0.765613492458358,5.83333333333333,"Include"
"4289",2490736,"psu",-0.373709959434005,3,"Include"
"4290",2490738,"psu",0.701399701264621,5.66666666666667,"Include"
"4291",2490741,"psu",1.2654712061484,5.75,"Include"
"4292",2490743,"psu",0.401997114817971,5.58333333333333,"Include"
"4293",2490756,"psu",0.396316701650694,5.16666666666667,"Include"
"4294",2490791,"psu",-0.251950025060196,2.83333333333333,"Include"
"4296",2492277,"psu",0.831390123068503,3.41666666666667,"Include"
"4297",2492280,"psu",-0.422412814909654,3.83333333333333,"Include"
"4298",2492283,"psu",1.1138949469137,5.66666666666667,"Include"
"4299",2492337,"psu",-0.326410448844605,3.58333333333333,"Include"
"4300",2492339,"psu",0.393224783995705,5.5,"Include"
"4301",2492340,"psu",0.448479585266725,4.58333333333333,"Include"
"4302",2492360,"psu",-0.183526398054877,5,"Include"
"4303",2492363,"psu",-0.333648845323986,5.08333333333333,"Include"
"4305",2492377,"psu",-0.396988340578468,4,"Include"
"4306",2492422,"psu",0.083619763016925,3.66666666666667,"Include"
"4307",2492424,"psu",-0.280568386309072,5.66666666666667,"Include"
"4308",2492428,"psu",1.13558481905683,5.75,"Include"
"4309",2492477,"psu",1.01559706627234,5.83333333333333,"Include"
"4311",2492498,"psu",0.0306428836069307,4.33333333333333,"Include"
"4312",2492499,"psu",0.489708636462268,4.33333333333333,"Include"
"4313",2493991,"psu",0.212135083411587,5,"Include"
"4314",2493995,"psu",0.682533359394492,4.41666666666667,"Include"
"4315",2493998,"psu",0.715863010526976,4.58333333333333,"Include"
"4316",2493999,"psu",-0.431775691907159,1.75,"Include"
"4317",2494001,"psu",1.05921250580492,5.41666666666667,"Include"
"4318",2494004,"psu",0.555977267513457,4.83333333333333,"Include"
"4319",2494055,"psu",1.1588812216478,5.91666666666667,"Include"
"4320",2494062,"psu",0.93697963007957,5.33333333333333,"Include"
"4321",2494064,"psu",0.726343433495817,5.75,"Include"
"4322",2494069,"psu",-0.19262347464379,4.08333333333333,"Include"
"4323",2494070,"psu",0.710814721017543,5.75,"Include"
"4324",2494092,"psu",0.156886106375226,4.91666666666667,"Include"
"4325",2494117,"psu",0.354937900811605,5.41666666666667,"Include"
"4326",2494131,"psu",-0.433203194051764,2.91666666666667,"Include"
"4328",2494135,"psu",-0.107848728593587,5.66666666666667,"Include"
"4329",2494139,"psu",0.71266897566675,4.08333333333333,"Include"
"4330",2494171,"psu",0.265774968095524,4.91666666666667,"Include"
