"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"85",2401243,"brasilia",0.148091303640694,4.16666666666667,"Include"
"87",2401246,"brasilia",0.497773627187534,4.41666666666667,"Include"
"88",2401249,"brasilia",0.399944725186624,5.41666666666667,"Include"
"89",2401250,"brasilia",0.831463203279499,5.5,"Include"
"90",2401251,"brasilia",1.14515285044576,5.16666666666667,"Include"
"91",2401252,"brasilia",0.905705378958374,5.58333333333333,"Include"
"92",2401255,"brasilia",-0.206176266953363,4,"Include"
"93",2401257,"brasilia",0.200640401472218,3.91666666666667,"Include"
"94",2401258,"brasilia",0.482608970164637,5.41666666666667,"Include"
"95",2401259,"brasilia",0.604848245571286,5.41666666666667,"Include"
"96",2401260,"brasilia",1.07617845272677,6.33333333333333,"Include"
"97",2401261,"brasilia",0.565046056716216,6.16666666666667,"Include"
"98",2401305,"brasilia",1.02394741535985,5.91666666666667,"Include"
"99",2401306,"brasilia",0.435638540764854,5.83333333333333,"Include"
"100",2401308,"brasilia",-0.582047737351301,3.91666666666667,"Include"
"101",2401309,"brasilia",0.577951132431189,5.83333333333333,"Include"
"102",2401312,"brasilia",0.425430835491504,4.83333333333333,"Include"
"103",2401316,"brasilia",0.68121844634187,6.08333333333333,"Include"
"105",2401320,"brasilia",0.207019754651732,4.66666666666667,"Include"
"106",2401322,"brasilia",0.433796108146286,5.66666666666667,"Include"
"107",2401325,"brasilia",0.562351122135927,5.08333333333333,"Include"
"108",2401328,"brasilia",0.155285174924906,4.83333333333333,"Include"
"109",2401329,"brasilia",0.595107900873003,5.25,"Include"
"110",2401335,"brasilia",-0.323558943055664,5.16666666666667,"Include"
"111",2401336,"brasilia",0.966658801295373,5.58333333333333,"Include"
"112",2401341,"brasilia",1.20431890795326,5,"Include"
"113",2401343,"brasilia",0.814887238878465,5.75,"Include"
"114",2401352,"brasilia",-0.0498162444793613,5.08333333333333,"Include"
"115",2401368,"brasilia",1.27945080648417,5,"Include"
"116",2401371,"brasilia",0.369693815330185,4.91666666666667,"Include"
"117",2401380,"brasilia",1.18504815876135,3.91666666666667,"Include"
"118",2401382,"brasilia",0.0971387584916578,3.75,"Include"
"119",2401385,"brasilia",0.181213039042686,5.41666666666667,"Include"
"120",2401388,"brasilia",0.681005460716173,4.75,"Include"
"121",2401389,"brasilia",1.25161334150371,5.83333333333333,"Include"
"122",2401390,"brasilia",0.655637402070699,4.66666666666667,"Include"
"123",2401391,"brasilia",0.950125117000459,6,"Include"
"125",2401396,"brasilia",0.42336515892629,3.91666666666667,"Include"
"126",2401398,"brasilia",0.463642974312488,4.91666666666667,"Include"
"127",2401399,"brasilia",0.74425980679814,5.58333333333333,"Include"
"128",2401400,"brasilia",0.901996832899983,4.75,"Include"
"129",2401402,"brasilia",1.17570730265225,4.66666666666667,"Include"
"130",2401405,"brasilia",1.05140061786595,5.58333333333333,"Include"
"131",2401417,"brasilia",0.482567443042544,5.83333333333333,"Include"
"132",2401440,"brasilia",-0.118708694192993,4.25,"Include"
"133",2401462,"brasilia",0.0678824707816598,4.41666666666667,"Include"
"134",2401463,"brasilia",0.87621991030223,5.08333333333333,"Include"
"135",2401464,"brasilia",0.086287327666378,4.5,"Include"
"136",2401466,"brasilia",0.0498842762383533,5.33333333333333,"Include"
"137",2401472,"brasilia",0.55375479899872,5.83333333333333,"Include"
"138",2401476,"brasilia",0.686143357044475,4.08333333333333,"Include"
"139",2401485,"brasilia",1.01411814519609,5.83333333333333,"Include"
"140",2401488,"brasilia",0.896619069894684,6,"Include"
"141",2401489,"brasilia",-0.0482169914644856,4.58333333333333,"Include"
"143",2401494,"brasilia",0.957428402789574,4.83333333333333,"Include"
"144",2401495,"brasilia",0.772595193017638,5.66666666666667,"Include"
"145",2401497,"brasilia",1.48970491863831,5.16666666666667,"Include"
"146",2402832,"brasilia",0.489268028745202,3.41666666666667,"Include"
"148",2404006,"brasilia",0.749070403743092,6.25,"Include"
"150",2413394,"brasilia",1.14677290762104,5.16666666666667,"Include"
"151",2413458,"brasilia",0.742473281111524,5.66666666666667,"Include"
"152",2422247,"brasilia",0.164251046571043,6,"Include"
"153",2422422,"brasilia",0.632475618013787,5.33333333333333,"Include"
"154",2422639,"brasilia",1.01443174818394,5.33333333333333,"Include"
"155",2426482,"brasilia",0.122670294491923,4.58333333333333,"Include"
"156",2428845,"brasilia",-0.367332644582689,4.75,"Include"
"157",2428937,"brasilia",0.990260872343986,4.58333333333333,"Include"
"158",2429105,"brasilia",0.222566491956741,5.5,"Include"
"159",2429257,"brasilia",0.812841584782069,5.83333333333333,"Include"
"160",2439535,"brasilia",1.01217781351832,5.91666666666667,"Include"
"161",2442313,"brasilia",0.628861023298222,5.08333333333333,"Include"
"162",2442618,"brasilia",-0.319689337680042,3.66666666666667,"Include"
"163",2442751,"brasilia",0.081574565732369,3.25,"Include"
"164",2445814,"brasilia",0.992822616137798,5.16666666666667,"Include"
"165",2446096,"brasilia",0.150201975124152,6.33333333333333,"Include"
"166",2451802,"brasilia",0.390623117378565,4.16666666666667,"Include"
"167",2452252,"brasilia",0.454677103580381,4.25,"Include"
"168",2452326,"brasilia",-0.0637764068034371,5.58333333333333,"Include"
"169",2453867,"brasilia",0.953515248194563,4.66666666666667,"Include"
"170",2457082,"brasilia",1.35455084297159,5.08333333333333,"Include"
"171",2457236,"brasilia",0.015412171442543,4.91666666666667,"Include"
"172",2458747,"brasilia",0.851083254119117,5.25,"Include"
"173",2458796,"brasilia",0.749697860005303,4.58333333333333,"Include"
"174",2458919,"brasilia",0.569272093460422,4,"Include"
"176",2465382,"brasilia",0.555940391494882,5.66666666666667,"Include"
"177",2465673,"brasilia",0.793677436249185,4,"Include"
"178",2465905,"brasilia",0.573088617890524,5,"Include"
"179",2466041,"brasilia",-0.75697268436127,3.08333333333333,"Include"
"180",2466133,"brasilia",0.435554218820356,4.58333333333333,"Include"
"181",2467447,"brasilia",0.486988406710397,5.66666666666667,"Include"
"182",2467639,"brasilia",-0.110422294261163,4.16666666666667,"Include"
"184",2467949,"brasilia",0.248363181329154,5.08333333333333,"Include"
"185",2468111,"brasilia",-0.540810190602006,4.83333333333333,"Include"
"187",2469812,"brasilia",0.897846348028226,5.66666666666667,"Include"
"188",2469887,"brasilia",0.178734424710635,6.08333333333333,"Include"
"189",2470010,"brasilia",0.81957108052428,5.58333333333333,"Include"
"190",2470140,"brasilia",0.318049508534764,4.75,"Include"
"191",2471873,"brasilia",0.046186005687353,4,"Include"
"192",2472163,"brasilia",0.489020765908635,5.83333333333333,"Include"
"193",2472247,"brasilia",0.839434895914646,5.25,"Include"
"194",2472309,"brasilia",-0.163194223812469,4.66666666666667,"Include"
"195",2477425,"brasilia",0.346258656456689,4.33333333333333,"Include"
"196",2477613,"brasilia",0.0947993758880087,4,"Include"
"197",2477757,"brasilia",0.887118587735932,5.83333333333333,"Include"
"198",2477847,"brasilia",0.971163857984353,4.41666666666667,"Include"
"199",2479434,"brasilia",-0.567222121459847,3.83333333333333,"Include"
"200",2479598,"brasilia",0.620359470593309,4.33333333333333,"Include"
"201",2479656,"brasilia",0.178903749047752,3.83333333333333,"Include"
"202",2479774,"brasilia",-0.211437620702969,3.41666666666667,"Include"
