"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"384",2456784,"csun",0.629176622930699,5.25,"Include"
"385",2456788,"csun",0.199370023368896,4.58333333333333,"Include"
"386",2456823,"csun",-0.127176814872945,4.66666666666667,"Include"
"387",2456844,"csun",0.772517197458962,3.66666666666667,"Include"
"388",2456892,"csun",-0.774891422967662,5,"Include"
"389",2456916,"csun",0.498311499882948,4.33333333333333,"Include"
"390",2456928,"csun",-0.36887295690851,6,"Include"
"391",2457020,"csun",0.362812927920768,3.33333333333333,"Include"
"392",2457046,"csun",0.516895069173362,5.75,"Include"
"393",2457073,"csun",0.849108981716101,3.91666666666667,"Include"
"394",2457074,"csun",-0.254056062274792,5.5,"Include"
"395",2457085,"csun",0.0123661809910908,6.16666666666667,"Include"
"396",2457121,"csun",0.855574013481688,5.5,"Include"
"397",2457137,"csun",0.830225441528017,6,"Include"
"398",2457163,"csun",0.612165508888415,5.08333333333333,"Include"
"399",2457186,"csun",0.434276505193839,4.5,"Include"
"400",2457202,"csun",0.82558576434011,5.75,"Include"
"401",2457261,"csun",-0.0912712040649178,4.08333333333333,"Include"
"402",2457268,"csun",-0.165126414834695,3.91666666666667,"Include"
"403",2457292,"csun",0.621249374830479,5.75,"Include"
"404",2457303,"csun",1.11695383782138,4.83333333333333,"Include"
"406",2457318,"csun",0.27693553459803,3.83333333333333,"Include"
"408",2457380,"csun",0.121632877092084,6,"Include"
"409",2457385,"csun",0.606144209993668,5.58333333333333,"Include"
"410",2457394,"csun",1.13071617564607,4.83333333333333,"Include"
"411",2457404,"csun",0.182783592949953,6.08333333333333,"Include"
"413",2457471,"csun",0.586074151557478,4.33333333333333,"Include"
"414",2457473,"csun",0.596981438544654,3.83333333333333,"Include"
"415",2457480,"csun",-0.135574716201836,4.16666666666667,"Include"
"416",2457504,"csun",-0.0573951814761986,5,"Include"
"417",2457572,"csun",0.672538234142358,5.08333333333333,"Include"
"419",2457600,"csun",0.18711111425196,6.41666666666667,"Include"
"421",2457620,"csun",-0.396864564588221,2.33333333333333,"Include"
"422",2457623,"csun",-0.272997294626472,5.58333333333333,"Include"
"423",2457637,"csun",-0.214518103304045,5.08333333333333,"Include"
"424",2457650,"csun",-0.44221367447933,5,"Include"
"425",2457661,"csun",-0.0160402464541009,5.91666666666667,"Include"
"426",2457672,"csun",1.05269224256528,6.25,"Include"
"427",2457686,"csun",1.33509688356824,5.83333333333333,"Include"
"428",2457695,"csun",-0.397840585952627,3.25,"Include"
"429",2457718,"csun",0.546631051016323,3.75,"Include"
"430",2457739,"csun",-0.359744494191641,4.41666666666667,"Include"
"431",2457741,"csun",0.974997241384156,5.08333333333333,"Include"
"432",2457742,"csun",1.12418742283872,6.16666666666667,"Include"
"433",2457780,"csun",0.215729335594662,6.25,"Include"
"434",2457800,"csun",-0.0508546119733424,5.75,"Include"
"435",2457808,"csun",0.189232952192082,5.83333333333333,"Include"
"436",2457821,"csun",-0.235209851772207,4.83333333333333,"Include"
"437",2457822,"csun",0.225563763797051,2.75,"Include"
"438",2457828,"csun",0.874149495309573,3.75,"Include"
"439",2457868,"csun",0.595221122377018,4.5,"Include"
"441",2457897,"csun",-0.0100808038748269,5.75,"Include"
"442",2457898,"csun",1.04953449521509,5.33333333333333,"Include"
"444",2457900,"csun",-0.967942751189743,3.5,"Include"
"446",2457904,"csun",0.37210740737462,4.25,"Include"
"447",2457917,"csun",0.970073099226945,5.75,"Include"
"448",2457928,"csun",0.633793795579619,6,"Include"
"449",2457932,"csun",0.33763594795638,5.16666666666667,"Include"
"450",2457937,"csun",0.738360004347509,5.58333333333333,"Include"
"451",2457943,"csun",0.136692010594025,4.25,"Include"
"452",2457949,"csun",0.911213588027969,6.08333333333333,"Include"
"453",2457954,"csun",-0.379123483997332,4.75,"Include"
"454",2457958,"csun",0.64097245657059,4.91666666666667,"Include"
"455",2457975,"csun",-0.546016667863932,4.33333333333333,"Include"
"456",2457988,"csun",0.42771350587574,1.75,"Include"
"457",2457992,"csun",0.167279896182273,4.16666666666667,"Include"
"458",2457994,"csun",0.409742006324998,4.16666666666667,"Include"
"459",2458037,"csun",1.07707840882628,5.66666666666667,"Include"
"460",2458042,"csun",0.211764779950439,6.33333333333333,"Include"
"461",2458045,"csun",0.602511390214407,6,"Include"
"462",2458056,"csun",0.876897721952688,4.66666666666667,"Include"
"465",2458097,"csun",-0.166627937267289,3.5,"Include"
"466",2458116,"csun",0.255073447585326,5.16666666666667,"Include"
"467",2458145,"csun",0.914894948330574,5.16666666666667,"Include"
"468",2458488,"csun",0.937778720121593,4.41666666666667,"Include"
"469",2459401,"csun",-0.664191696724219,6,"Include"
"470",2459660,"csun",-0.269184399343736,5,"Include"
"471",2459700,"csun",0.314711497251665,4.83333333333333,"Include"
"472",2459706,"csun",0.799551373413474,6.25,"Include"
"473",2459739,"csun",0.0846764703878968,5.83333333333333,"Include"
"474",2459840,"csun",0.353383936637791,4.66666666666667,"Include"
"475",2459976,"csun",0.961639733575304,4.75,"Include"
"476",2459977,"csun",0.628567052241688,6.16666666666667,"Include"
"477",2460053,"csun",0.492857620074725,2.58333333333333,"Include"
"479",2462263,"csun",0.0692338707399017,4.91666666666667,"Include"
