"","lab","disliked source_m","disliked source_s","disliked source_n","liked source_m","liked source_s","liked source_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",4.9375,2.28227443480066,48,5.44444444444444,2.37179190179004,36,0.506944444444445,-0.51101286252771,1.5249017514166,0.888888888888889,0.653891699360473,TRUE,0.9,10,"USA","Lab","USA"
"2","brasilia",5.58139534883721,2.40270242831389,43,5.97368421052632,1.83283884878459,76,0.392288861689106,-0.384579788167485,1.1691575115457,0.777777777777778,0.657561980410942,TRUE,1,10,"Brazil","Lab","NotUSA"
"3","charles",5.64444444444444,1.93244493694993,45,6.20512820512821,1.96253712240434,39,0.56068376068376,-0.286442624538548,1.40781014590607,0.861111111111111,0.653207909513282,TRUE,0.9,10,"Czech Republic","Lab","NotUSA"
"4","conncoll",5.39583333333333,2.12121586303437,48,5.71739130434783,2.34438377099409,46,0.321557971014493,-0.593572021290622,1.23668796331961,0.833333333333333,0.658574142089972,TRUE,0.8,10,"USA","Lab","USA"
"5","csun",4.3265306122449,1.78404684054307,49,5.97872340425532,2.36357652447494,47,1.65219279201042,0.80582044726461,2.49856513675623,0.361111111111111,0.628072176802357,FALSE,0.6,10,"USA","Online","USA"
"6","help",5.27906976744186,2.49118045641924,43,5.76271186440678,2.54164610691336,59,0.483642096964919,-0.519066340182476,1.48635053411231,0.888888888888889,0.654443642656196,TRUE,1,10,"Malaysia","Lab","NotUSA"
"7","ithaca",4.68571428571429,2.04034928629488,35,5.87272727272727,2.277543717957,55,1.18701298701299,0.246417642364338,2.12760833166164,0.805555555555556,0.639216682690296,TRUE,0.6,10,"USA","Lab","USA"
"8","jmu",4.9875,1.85208572128488,80,6.28723404255319,1.92673516505201,94,1.29973404255319,0.73142012610843,1.86804795899795,0.388888888888889,0.628140418146302,FALSE,0.5,10,"USA","Online","USA"
"9","ku",6.18518518518519,1.87409423731637,54,6,2.24376530827551,59,-0.185185185185185,-0.959726865838923,0.589356495468553,0.444444444444444,0.675317221325765,FALSE,0.3,10,"Turkey","Online","NotUSA"
"10","laurier",4.62962962962963,2.16573919836437,54,5.22413793103448,1.98275993582113,58,0.594508301404853,-0.182341519348088,1.37135812215779,0.833333333333333,0.652448862898539,TRUE,1,10,"Canada","Lab","NotUSA"
