"","lab","disliked source_m","disliked source_s","disliked source_n","liked source_m","liked source_s","liked source_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"11","lse",5.18571428571429,2.037722364741,140,5.99270072992701,2.22120909828595,137,0.806986444212721,0.302965348429108,1.31100753999633,0.694444444444444,0.644620643526387,TRUE,0.9,10,"UK","Lab","NotUSA"
"12","luc",4.61333333333333,2.10464950753078,75,5.50704225352113,2.26067777091372,71,0.893708920187794,0.179602533603791,1.6078153067718,0.75,0.643742362464802,TRUE,1,10,"USA","Lab","USA"
"13","mcdaniel",5.20833333333333,1.98888756818108,48,5.38,1.71297568992841,50,0.171666666666667,-0.571671029403085,0.915004362736419,0.694444444444444,0.665067801030672,TRUE,0.8,10,"USA","Online","USA"
"14","msvu",5.575,2.09868701322688,40,5.52272727272727,1.5624762154638,44,-0.0522727272727277,-0.850683365329318,0.746137910783863,0.527777777777778,0.670157314788357,TRUE,0.6,10,"Canada","Lab","NotUSA"
"15","mturk",5.12525667351129,2.11663961434828,487,6.09375,2.243276538499,512,0.968493326488707,0.697408010424191,1.23957864255322,0.305555555555556,0.634576016619221,FALSE,0.5,10,"USA","Online","USA"
"16","osu",5.6,1.86189867250253,55,6.15384615384615,2.27849808964035,52,0.553846153846155,-0.241856695656873,1.34954900334918,0.861111111111111,0.653510263648447,TRUE,0.9,10,"USA","Lab","USA"
"17","oxy",5.51666666666667,1.89997026441198,60,5.85483870967742,1.99874365616683,62,0.338172043010752,-0.361303059902491,1.037647145924,0.722222222222222,0.660612705524069,TRUE,0.7,10,"USA","Lab","USA"
"18","pi",5.55932203389831,2.22706628347938,649,6.14710252600297,2.18641532629464,673,0.587780492104667,0.34964213735116,0.825918846858174,0.388888888888889,0.653808724418169,TRUE,0.9,10,"USA","Online","USA"
"19","psu",4.56521739130435,1.68195883042552,46,5.40816326530612,2.20716982569439,49,0.842945874001774,0.0395719644726771,1.64631978353087,0.777777777777778,0.645830019701321,TRUE,1,10,"USA","Lab","USA"
"20","qccuny",4.40816326530612,2.26309492497681,49,6.48076923076923,2.12815288238402,52,2.07260596546311,1.20562686523843,2.93958506568779,0.0833333333333333,0.621132629683135,FALSE,0,10,"U","Lab","NotUSA"
"21","qccuny2",5.14285714285714,2.23794623736687,35,5.98,1.91119152918395,50,0.837142857142857,-0.0620552230850211,1.73634093737074,0.861111111111111,0.646832262856645,TRUE,1,10,"U","Lab","NotUSA"
"22","sdsu",5.31325301204819,1.81408924164928,83,6.12658227848101,2.16242437904,79,0.813329266432819,0.195118090679683,1.43154044218596,0.75,0.645348671373831,TRUE,0.9,10,"U","Lab","NotUSA"
"23","swps",6.1,2.07302578310929,40,6.07692307692308,2.57911261141273,39,-0.023076923076923,-1.07008032150369,1.02392647534984,0.777777777777778,0.664180239909839,TRUE,0.5,10,"Poland","Lab","NotUSA"
"24","swpson",5.52,2.15832768095541,75,6.21739130434783,2.29105324862942,92,0.697391304347827,0.0116329601527881,1.38314964854287,0.777777777777778,0.649389086035846,TRUE,1,10,"International","Online","NotUSA"
"25","tamu",5.02325581395349,1.85964414170812,86,5.82,2.62613130984832,100,0.796744186046512,0.128252631437952,1.46523574065507,0.777777777777778,0.6461270568088,TRUE,1,10,"USA","Lab","USA"
"26","tamuc",5.63414634146341,2.14191616970618,41,6.69565217391304,1.96490955649806,46,1.06150583244963,0.186036078847082,1.93697558605218,0.777777777777778,0.641388293860669,TRUE,0.8,10,"USA","Lab","USA"
"27","tamuon",4.89430894308943,1.93252153352616,123,5.67326732673267,2.16845064915524,101,0.778958383643242,0.238545995644481,1.319370771642,0.722222222222222,0.645994517686154,TRUE,1,10,"USA","Online","USA"
"28","tilburg",4.54347826086957,2.27748908268275,46,5.70588235294118,1.80116816916648,34,1.16240409207161,0.221689601301169,2.10311858284205,0.805555555555556,0.639564562047926,TRUE,1,10,"Netherlands","Lab","NotUSA"
"29","ufl",5.44827586206897,2.15351539445252,58,6.46376811594203,1.92949025686097,69,1.01549225387306,0.298130364358552,1.73285414338758,0.75,0.640386777829474,TRUE,0.8,10,"USA","Lab","USA"
"30","unipd",4.1044776119403,2.07535559828663,67,3.5974025974026,1.77896880434573,77,-0.507075014537701,-1.14198398363427,0.127833954558872,0.111111111111111,0.69523179452763,FALSE,0,10,"Italy","Online","NotUSA"
"31","uva",5.23076923076923,1.7238503180463,39,5.5,1.67113222900801,42,0.269230769230769,-0.481770375639003,1.02023191410054,0.722222222222222,0.662043401814613,TRUE,0.7,10,"USA","Lab","USA"
"32","wisc",5.19512195121951,1.63124970797119,41,5.6,1.93026576562035,55,0.404878048780487,-0.336251532936427,1.1460076304974,0.75,0.658271880459648,TRUE,0.9,10,"USA","Lab","USA"
"33","wku",4.73076923076923,2.15220256185843,52,6.07843137254902,1.96817821606583,51,1.34766214177979,0.54108431705606,2.15423996650352,0.583333333333333,0.633456835211294,TRUE,0.9,10,"USA","Lab","USA"
"34","wl",6.2,1.97253874256226,45,5.42222222222222,2.35959250034339,45,-0.777777777777778,-1.68888201411848,0.133326458562921,0.111111111111111,0.68515941720089,FALSE,0.2,10,"USA","Lab","USA"
"35","wpi",5.62222222222222,1.88642144246344,45,6.09523809523809,2.26111912512931,42,0.473015873015873,-0.412408457036463,1.35844020306821,0.861111111111111,0.655195520230508,TRUE,0.9,10,"USA","Lab","USA"
