"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"3078","1","UniversityOfFlorida","LowPower",3,"19","Sophomore","Female","Asian-American","Pass"
"3079","10","UniversityOfFlorida","HighPower",6,"18","First-year","Female","Asian-American","Pass"
"3080","100","UniversityOfFlorida","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3081","101","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3082","102","UniversityOfFlorida","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"3083","103","UniversityOfFlorida","HighPower",2,"19","First-year","Male","Asian-American","Fail"
"3084","104","UniversityOfFlorida","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3085","105","UniversityOfFlorida","HighPower",2,"18","First-year","Male","Asian-American","Pass"
"3086","106","UniversityOfFlorida","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3087","107","UniversityOfFlorida","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3088","108","UniversityOfFlorida","LowPower",5,"18","First-year","Male","Latino or Hispanic","Fail"
"3089","109","UniversityOfFlorida","HighPower",5,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3090","11","UniversityOfFlorida","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3091","110","UniversityOfFlorida","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"3092","111","UniversityOfFlorida","LowPower",5,"20","Junior","Male","African-American","Fail"
"3093","112","UniversityOfFlorida","LowPower",4,"19","Sophomore","Male","Latino or Hispanic","Pass"
"3094","113","UniversityOfFlorida","LowPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3095","114","UniversityOfFlorida","HighPower",4,"20","Sophomore","Female","African-American","Fail"
"3096","115","UniversityOfFlorida","LowPower",4,"19","Sophomore","Female","Multiracial","Pass"
"3097","116","UniversityOfFlorida","HighPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3098","117","UniversityOfFlorida","LowPower",4,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3099","118","UniversityOfFlorida","HighPower",5,"22","Senior","Male","African-American","Pass"
"3100","119","UniversityOfFlorida","LowPower",3,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3101","12","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3102","120","UniversityOfFlorida","LowPower",5,"19","Junior","Female","White, non-Hispanic or latino","Pass"
"3104","122","UniversityOfFlorida","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3105","123","UniversityOfFlorida","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3106","124","UniversityOfFlorida","HighPower",4,"18","First-year","Male","Latino or Hispanic","Fail"
"3107","125","UniversityOfFlorida","LowPower",6,"21","Junior","Male","Latino or Hispanic","Pass"
"3109","127","UniversityOfFlorida","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3110","128","UniversityOfFlorida","HighPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3111","129","UniversityOfFlorida","LowPower",4,"18","First-year","Female","Latino or Hispanic","Pass"
"3113","130","UniversityOfFlorida","LowPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3114","131","UniversityOfFlorida","HighPower",4,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3115","132","UniversityOfFlorida","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3116","133","UniversityOfFlorida","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3117","134","UniversityOfFlorida","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3118","135","UniversityOfFlorida","HighPower",3,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3120","137","UniversityOfFlorida","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3121","14","UniversityOfFlorida","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3122","15","UniversityOfFlorida","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3123","16","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3124","17","UniversityOfFlorida","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3125","18","UniversityOfFlorida","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3126","19","UniversityOfFlorida","HighPower",2,"18","First-year","Female","African-American","Pass"
"3127","2","UniversityOfFlorida","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3128","20","UniversityOfFlorida","LowPower",1,"18","First-year","Female","Latino or Hispanic","Pass"
"3129","21","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3130","22","UniversityOfFlorida","LowPower",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3133","25","UniversityOfFlorida","HighPower",5,"18","First-year","Female","Latino or Hispanic","Fail"
"3134","26","UniversityOfFlorida","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3135","27","UniversityOfFlorida","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3136","28","UniversityOfFlorida","LowPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3137","29","UniversityOfFlorida","LowPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3138","3","UniversityOfFlorida","HighPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3140","31","UniversityOfFlorida","HighPower",4,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"3141","32","UniversityOfFlorida","HighPower",2,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3142","33","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3143","34","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3144","35","UniversityOfFlorida","LowPower",3,"20","Junior","Male","Latino or Hispanic","Pass"
"3145","36","UniversityOfFlorida","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"3146","37","UniversityOfFlorida","HighPower",1,"20","Junior","Female","Asian-American","Pass"
"3147","38","UniversityOfFlorida","HighPower",2,"21","Junior","Female","Latino or Hispanic","Pass"
"3148","39","UniversityOfFlorida","LowPower",3,"18","First-year","Female","Asian-American","Fail"
"3149","4","UniversityOfFlorida","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3152","42","UniversityOfFlorida","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3153","43","UniversityOfFlorida","LowPower",6,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3154","44","UniversityOfFlorida","HighPower",2,"18","First-year","Female","Latino or Hispanic","Fail"
"3155","45","UniversityOfFlorida","LowPower",6,"18","First-year","Female","Asian-American","Pass"
"3156","46","UniversityOfFlorida","LowPower",6,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3158","48","UniversityOfFlorida","HighPower",3,"19","Sophomore","Female","Asian-American","Pass"
"3159","49","UniversityOfFlorida","HighPower",6,"18","First-year","Female","African-American","Pass"
"3160","5","UniversityOfFlorida","HighPower",4,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3161","50","UniversityOfFlorida","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3162","51","UniversityOfFlorida","LowPower",3,"18","First-year","Male","African-American","Fail"
"3163","52","UniversityOfFlorida","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3164","53","UniversityOfFlorida","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3165","54","UniversityOfFlorida","HighPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3166","55","UniversityOfFlorida","HighPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3167","56","UniversityOfFlorida","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3168","57","UniversityOfFlorida","LowPower",2,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"3169","58","UniversityOfFlorida","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3170","59","UniversityOfFlorida","LowPower",1,"18","First-year","Female","Asian-American","Pass"
"3171","6","UniversityOfFlorida","HighPower",2,"18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3172","60","UniversityOfFlorida","LowPower",3,"19","First-year","Female","Other","Fail"
"3173","61","UniversityOfFlorida","LowPower",2,"20","Sophomore","Female","Asian-American","Fail"
"3174","62","UniversityOfFlorida","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3175","63","UniversityOfFlorida","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3176","64","UniversityOfFlorida","HighPower",5,"18","First-year","Female","African-American","Pass"
"3177","65","UniversityOfFlorida","LowPower",5,"18","First-year","Female","Asian-American","Fail"
"3178","66","UniversityOfFlorida","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3181","69","UniversityOfFlorida","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3182","7","UniversityOfFlorida","LowPower",6,"18","First-year","Female","Latino or Hispanic","Pass"
"3183","70","UniversityOfFlorida","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3184","71","UniversityOfFlorida","HighPower",1,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3185","72","UniversityOfFlorida","LowPower",5,"20","Junior","Female","Asian-American","Fail"
"3186","73","UniversityOfFlorida","LowPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3187","74","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3188","75","UniversityOfFlorida","LowPower",5,"19","First-year","Female","Asian-American","Fail"
"3189","76","UniversityOfFlorida","HighPower",2,"18","First-year","Male","African-American","Pass"
"3190","77","UniversityOfFlorida","LowPower",6,"18","Sophomore","Female","African-American","Pass"
"3191","78","UniversityOfFlorida","HighPower",5,"18","First-year","Female","African-American","Pass"
"3192","79","UniversityOfFlorida","LowPower",3,"26","Junior","Female","White, non-Hispanic or latino","Fail"
"3194","80","UniversityOfFlorida","HighPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3195","81","UniversityOfFlorida","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3196","82","UniversityOfFlorida","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3197","83","UniversityOfFlorida","LowPower",6,"21","Junior","Male","Latino or Hispanic","Pass"
"3199","85","UniversityOfFlorida","HighPower",2,"19","First-year","Female","African-American","Pass"
"3200","86","UniversityOfFlorida","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3201","87","UniversityOfFlorida","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3202","88","UniversityOfFlorida","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3203","89","UniversityOfFlorida","HighPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3206","91","UniversityOfFlorida","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3207","92","UniversityOfFlorida","LowPower",6,"19","Sophomore","Female","African-American","Fail"
"3208","93","UniversityOfFlorida","LowPower",3,"18","First-year","Male","Other","Fail"
"3209","94","UniversityOfFlorida","HighPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3210","95","UniversityOfFlorida","HighPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3211","96","UniversityOfFlorida","LowPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3212","97","UniversityOfFlorida","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3213","98","UniversityOfFlorida","LowPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3214","99","UniversityOfFlorida","LowPower",5,"24","Junior","Male","Latino or Hispanic","Pass"
"3215",NA,"UniversityOfFlorida","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3216",NA,"UniversityOfFlorida","LowPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3217",NA,"UniversityOfFlorida","HighPower",4,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3218",NA,"UniversityOfFlorida","LowPower",2,"18","First-year","Female","Asian-American","Pass"
"3219",NA,"UniversityOfFlorida","HighPower",1,"18","First-year","Male","African-American","Fail"
"3221",NA,"UniversityOfFlorida","HighPower",5,"19","First-year","Female","African-American","Fail"
"3222",NA,"UniversityOfFlorida","HighPower",4,"18","First-year","Female","Asian-American","Pass"
"3223",NA,"UniversityOfFlorida","LowPower",2,NA,NA,NA,NA,NA
