"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"3320","10","UniversityOfToronto","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3321","11","UniversityOfToronto","LowPower",4,"21","Sophomore","Male","Asian-American","Pass"
"3322","12","UniversityOfToronto","LowPower",3,"17","First-year","Female","Asian-American","Pass"
"3323","13","UniversityOfToronto","HighPower",3,"18","Sophomore","Female","Asian-American","Fail"
"3324","14","UniversityOfToronto","LowPower",5,"21","Other","Female","Asian-American","Pass"
"3327","17","UniversityOfToronto","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3328","18","UniversityOfToronto","HighPower",2,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3329","19","UniversityOfToronto","LowPower",1,"18","First-year","Female","Asian-American","Fail"
"3331","21","UniversityOfToronto","LowPower",3,"almost 18","First-year","Female","Asian-American","Fail"
"3332","22","UniversityOfToronto","HighPower",2,"22 years","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"3333","23","UniversityOfToronto","HighPower",5,"17","First-year","Female","Asian-American","Pass"
"3335","25","UniversityOfToronto","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3336","26","UniversityOfToronto","LowPower",5,"20","Sophomore","Female",NA,"Pass"
"3337","27","UniversityOfToronto","LowPower",5,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"3338","28","UniversityOfToronto","HighPower",3,"19","First-year","Male","Asian-American","Fail"
"3339","2886","UniversityOfToronto","LowPower",1,"18","First-year","Male","Asian-American","Pass"
"3340","29","UniversityOfToronto","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3341","30","UniversityOfToronto","LowPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3342","31","UniversityOfToronto","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3343","32","UniversityOfToronto","LowPower",1,"20","First-year","Male","Asian-American","Fail"
"3344","33","UniversityOfToronto","HighPower",5,"19","Sophomore","Female","Other","Fail"
"3345","34","UniversityOfToronto","LowPower",6,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3346","35","UniversityOfToronto","LowPower",3,"17 (18 in one month)","First-year","Female","Other","Pass"
"3348","37","UniversityOfToronto","LowPower",6,"19","Sophomore","Female","Multiracial","Pass"
"3352","41","UniversityOfToronto","LowPower",3,"21","Junior","Female","Asian-American","Fail"
"3353","42","UniversityOfToronto","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"3357","46","UniversityOfToronto","LowPower",4,"19","Sophomore",NA,"Asian-American","Pass"
"3358","47","UniversityOfToronto","LowPower",5,"19","Sophomore","Female","Other","Pass"
"3360","49","UniversityOfToronto","HighPower",6,"18","First-year","Male","Asian-American","Fail"
"3361","50","UniversityOfToronto","HighPower",2,"20","Sophomore","Female","Asian-American","Pass"
"3362","51","UniversityOfToronto","HighPower",6,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3368","57","UniversityOfToronto","LowPower",3,"18","First-year","Female","Asian-American","Pass"
"3369","58","UniversityOfToronto","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3370","59","UniversityOfToronto","HighPower",3,"20","First-year","Female","Asian-American","Pass"
"3371","60","UniversityOfToronto","HighPower",4,"18","First-year","Male","Asian-American","Pass"
"3372","61","UniversityOfToronto","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3373","62","UniversityOfToronto","LowPower",1,"45","Sophomore","Female","Asian-American","Fail"
"3374","63","UniversityOfToronto","LowPower",3,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"3375","64","UniversityOfToronto","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"3379","68","UniversityOfToronto","HighPower",2,"19","First-year","Female","Asian-American","Fail"
"3380","69","UniversityOfToronto","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3381","7","UniversityOfToronto","HighPower",3,"18","First-year","Female","Other","Pass"
"3383","71","UniversityOfToronto","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"3388","76","UniversityOfToronto","HighPower",6,"23","Other","Female","African-American","Pass"
"3390","78","UniversityOfToronto","LowPower",4,"20","Sophomore","Male","Latino or Hispanic","Pass"
"3391","79","UniversityOfToronto","LowPower",1,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3393","80","UniversityOfToronto","LowPower",5,"19","Sophomore","Male","Native Hawaiian and other Pacific Islander","Pass"
"3397","84","UniversityOfToronto","LowPower",3,"18","First-year","Female","Asian-American","Pass"
"3399","86","UniversityOfToronto","LowPower",5,"20","Junior","Male","Other","Pass"
"3401",NA,"UniversityOfToronto","LowPower",6,"17","First-year","Female","African-American","Pass"
"3402",NA,"UniversityOfToronto","HighPower",4,"20","First-year","Female","Asian-American","Pass"
"3403",NA,"UniversityOfToronto","LowPower",3,NA,NA,NA,NA,NA
"3406",NA,"UniversityOfToronto","HighPower",5,NA,"First-year","Female","Multiracial","Pass"
"3407",NA,"UniversityOfToronto","HighPower",3,"20","Sophomore","Female","Asian-American","Fail"
"3408",NA,"UniversityOfToronto","HighPower",5,"18","Sophomore","Female","African-American","Pass"
"3410",NA,"UniversityOfToronto","HighPower",4,"20","Sophomore","Female","Other","Pass"
"3412",NA,"UniversityOfToronto","LowPower",1,"19","First-year","Female","Asian-American","Fail"
"3413",NA,"UniversityOfToronto","HighPower",4,NA,NA,NA,NA,"Fail"
"3415",NA,"UniversityOfToronto","HighPower",3,"19","First-year","Male","Asian-American","Fail"
"3417",NA,"UniversityOfToronto","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3418",NA,"UniversityOfToronto","HighPower",5,NA,NA,NA,NA,NA
"3419",NA,"UniversityOfToronto","LowPower",6,"18","First-year","Female","Other","Pass"
"3420",NA,"UniversityOfToronto","LowPower",5,"19","Sophomore","Male","Asian-American","Pass"
"3421",NA,"UniversityOfToronto","HighPower",2,"18","First-year","Female","African-American","Pass"
