"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"3038","82","UCRiverside","LowPower",4,"19","Sophomore","Female","Latino or Hispanic","Fail"
"3039","83","UCRiverside","HighPower",1,"21","Senior","Male","Asian-American","Pass"
"3040","84","UCRiverside","LowPower",4,"19","Sophomore","Male","Other","Fail"
"3041","85","UCRiverside","LowPower",3,"18","First-year","Female","Latino or Hispanic","Pass"
"3042","86","UCRiverside","HighPower",5,"22","Junior","Female","Latino or Hispanic","Pass"
"3043","861146834","UCRiverside","HighPower",3,"18","First-year","Male","Latino or Hispanic","Fail"
"3044","861172931","UCRiverside","HighPower",3,"19","First-year","Male","Asian-American","Fail"
"3045","87","UCRiverside","LowPower",1,"18","First-year","Female","Latino or Hispanic","Fail"
"3048","9","UCRiverside","LowPower",3,"23","Junior","Male","Latino or Hispanic","Pass"
"3049","90","UCRiverside","LowPower",5,"24","Junior","Female","Latino or Hispanic","Fail"
"3050","91","UCRiverside","LowPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3051","92","UCRiverside","HighPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3052","93","UCRiverside","LowPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3053","94","UCRiverside","LowPower",1,"19","First-year","Female","Asian-American","Fail"
"3054","95","UCRiverside","HighPower",6,"18","Sophomore","Female","Multiracial","Pass"
"3055","96","UCRiverside","LowPower",5,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"3056","97","UCRiverside","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3057","98","UCRiverside","HighPower",2,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"3058","99","UCRiverside","HighPower",5,"22","Junior","Female","Latino or Hispanic","Pass"
"3061",NA,"UCRiverside","HighPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"3063",NA,"UCRiverside","LowPower",5,NA,NA,NA,NA,"Pass"
"3064",NA,"UCRiverside","LowPower",4,"19","Sophomore",NA,"Asian-American","Pass"
"3065",NA,"UCRiverside","HighPower",5,"18","First-year","Female","Latino or Hispanic","Fail"
"3066",NA,"UCRiverside","HighPower",6,"21","Senior","Female","Asian-American","Pass"
"3067",NA,"UCRiverside","HighPower",3,NA,NA,NA,NA,NA
"3068",NA,"UCRiverside","HighPower",6,"20","Junior","Male","Latino or Hispanic","Pass"
"3072",NA,"UCRiverside","LowPower",4,"20","Junior","Female","Latino or Hispanic","Pass"
"3074",NA,"UCRiverside","LowPower",4,"19","Sophomore","Male","Multiracial","Fail"
"3075",NA,"UCRiverside","HighPower",2,"19","Sophomore","Female","Latino or Hispanic","Fail"
"3077",NA,"UCRiverside","HighPower",3,NA,NA,NA,NA,"Fail"
