"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2335","1","SanDiegoStateUniversity","HighPower",2,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2336","10","SanDiegoStateUniversity","LowPower",5,"21","Senior","Male","Multiracial","Pass"
"2337","100","SanDiegoStateUniversity","HighPower",6,"18","First-year","Female","Latino or Hispanic","Pass"
"2338","101","SanDiegoStateUniversity","LowPower",3,"19","Sophomore","Female","Multiracial","Pass"
"2339","102","SanDiegoStateUniversity","HighPower",2,"18","First-year","Female","African-American","Pass"
"2341","105","SanDiegoStateUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2342","106","SanDiegoStateUniversity","HighPower",5,"18","First-year","Male","Asian-American","Pass"
"2343","107","SanDiegoStateUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2344","108","SanDiegoStateUniversity","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2345","109","SanDiegoStateUniversity","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2346","11","SanDiegoStateUniversity","LowPower",2,"19","Sophomore","Female","Asian-American","Fail"
"2347","110","SanDiegoStateUniversity","HighPower",4,"18","First-year","Female","Asian-American","Pass"
"2348","111","SanDiegoStateUniversity","HighPower",5,"19","Sophomore","Female","Multiracial","Pass"
"2349","112","SanDiegoStateUniversity","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2351","114","SanDiegoStateUniversity","LowPower",1,"18","First-year","Female","Latino or Hispanic","Pass"
"2352","115","SanDiegoStateUniversity","LowPower",2,"18","First-year","Male","Latino or Hispanic","Pass"
"2354","117","SanDiegoStateUniversity","LowPower",5,"18","First-year","Female","Multiracial","Pass"
"2355","118","SanDiegoStateUniversity","LowPower",3,"18","First-year","Female","African-American","Pass"
"2356","119","SanDiegoStateUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2357","12","SanDiegoStateUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2358","120","SanDiegoStateUniversity","HighPower",4,"18","First-year","Female","Latino or Hispanic","Pass"
"2359","121","SanDiegoStateUniversity","HighPower",1,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2360","122","SanDiegoStateUniversity","LowPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2361","123","SanDiegoStateUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2362","124","SanDiegoStateUniversity","HighPower",5,"31","Other","Male","Multiracial","Pass"
