"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"951","49","MontanaStateUniversity","HighPower",4,"18","Sophomore","Female","Latino or Hispanic","Fail"
"953","51","MontanaStateUniversity","LowPower",3,"25","First-year","Female","White, non-Hispanic or latino","Fail"
"957","56","MontanaStateUniversity","LowPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"958","57","MontanaStateUniversity","HighPower",5,"25","Other","Male","White, non-Hispanic or latino","Pass"
"959","58","MontanaStateUniversity","HighPower",2,"22","Junior","Male","White, non-Hispanic or latino","Fail"
"960","59","MontanaStateUniversity","HighPower",6,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"962","61","MontanaStateUniversity","HighPower",2,NA,"First-year","Male","White, non-Hispanic or latino","Pass"
"963","62","MontanaStateUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"964","63","MontanaStateUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"967","66","MontanaStateUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"968","67","MontanaStateUniversity","LowPower",4,"30","Junior","Female","White, non-Hispanic or latino","Fail"
"969","68","MontanaStateUniversity","HighPower",1,"19","Other","Female","White, non-Hispanic or latino","Pass"
"970","69","MontanaStateUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"971","7","MontanaStateUniversity","HighPower",2,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"972","71","MontanaStateUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"975","74","MontanaStateUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"976","75","MontanaStateUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"977","76","MontanaStateUniversity","LowPower",5,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"978","77","MontanaStateUniversity","HighPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
