uID,variable1,variable2,factor
4397,0.6,2,DiffKiss
4400,0.2,2,DiffKiss
4401,0.3,2,DiffKiss
4406,0.2,2,DiffKiss
4407,0.1,2,DiffKiss
4408,0.2,2,DiffKiss
4410,0.4,2,DiffKiss
4411,0.7,2,DiffKiss
4412,0.7,2,DiffKiss
4413,0.6,2,DiffKiss
4415,0.8,2,DiffKiss
4416,0.2,2,DiffKiss
4419,0.3,1,DiffKiss
4421,0.1,1,DiffKiss
4422,0.6,1,DiffKiss
4423,0.6,1,DiffKiss
4424,0.4,2,DiffKiss
4426,0.2,2,DiffKiss
4427,0.6,2,DiffKiss
4428,0.7,2,DiffKiss
4429,0.1,2,DiffKiss
4430,0.2,2,DiffKiss
4431,0.4,2,DiffKiss
4436,0.5,2,DiffKiss
4437,0.3,2,DiffKiss
4442,0.2,1,DiffKiss
4443,0.5,2,DiffKiss
4446,0.2,2,DiffKiss
4447,0.5,2,DiffKiss
4448,0.8,1,DiffKiss
4450,0.8,2,DiffKiss
4451,0.6,2,DiffKiss
4452,0.2,2,DiffKiss
4454,0.2,1,DiffKiss
4455,0.4,1,DiffKiss
4456,0.2,2,DiffKiss
4457,0,2,DiffKiss
4459,0.6,2,DiffKiss
4461,0.5,2,DiffKiss
4463,0.6,2,DiffKiss
4464,0.6,2,DiffKiss
4465,0.9,2,DiffKiss
4467,0.7,2,DiffKiss
4468,0.5,1,DiffKiss
4469,0.5,1,DiffKiss
4470,0.3,1,DiffKiss
4474,0.6,2,DiffKiss
4475,0.2,2,DiffKiss
4476,0.6,2,DiffKiss
4477,0.3,2,DiffKiss
4480,0.8,1,DiffKiss
4481,0.7,2,DiffKiss
4482,0.5,1,DiffKiss
1,0.4,2,SameKiss
2,0.2,2,SameKiss
3,0.6,2,SameKiss
7,0.2,2,SameKiss
9,0.6,2,SameKiss
10,0.4,2,SameKiss
11,0.5,1,SameKiss
12,0,2,SameKiss
13,0.2,2,SameKiss
19,0.6,2,SameKiss
20,0.5,2,SameKiss
21,0.3,2,SameKiss
22,0.3,2,SameKiss
24,0.6,1,SameKiss
25,0,1,SameKiss
26,0.4,1,SameKiss
27,0.6,2,SameKiss
28,0,2,SameKiss
31,0,2,SameKiss
33,0.5,2,SameKiss
34,0.4,1,SameKiss
37,0,1,SameKiss
38,0,2,SameKiss
39,0,2,SameKiss
40,0.1,2,SameKiss
42,0.3,2,SameKiss
43,0.3,1,SameKiss
44,0,2,SameKiss
48,0.9,1,SameKiss
49,0.2,2,SameKiss
51,0.1,2,SameKiss
52,0.1,2,SameKiss
53,0.1,2,SameKiss
54,0.8,1,SameKiss
55,0.3,2,SameKiss
56,0.2,2,SameKiss
57,0.3,2,SameKiss
58,0.3,2,SameKiss
59,0.1,2,SameKiss
60,0.4,2,SameKiss
61,0.5,2,SameKiss
62,0.3,2,SameKiss
63,0.6,2,SameKiss
64,0.5,1,SameKiss
65,0.6,2,SameKiss
66,0.7,2,SameKiss
67,0.6,2,SameKiss
72,0.5,1,SameKiss
74,0.3,2,SameKiss
75,0.2,2,SameKiss
78,0.5,2,SameKiss
81,0.4,2,SameKiss
85,0.1,2,SameKiss
86,0.4,1,SameKiss
94,0,2,SameKiss
95,0.7,2,SameKiss
97,0.2,2,SameKiss
98,0.7,2,SameKiss
99,0.1,2,SameKiss
101,0.1,2,SameKiss
102,0.4,2,SameKiss
103,0.9,2,SameKiss
104,0.6,2,SameKiss
4,0.5,2,DiffKiss
5,0.5,2,DiffKiss
6,0.4,2,DiffKiss
8,0.2,2,DiffKiss
14,0.7,2,DiffKiss
15,0,2,DiffKiss
16,0.3,2,DiffKiss
17,0.5,2,DiffKiss
18,0.7,2,DiffKiss
23,0.6,2,DiffKiss
29,0.3,2,DiffKiss
30,0.8,2,DiffKiss
32,0.1,1,DiffKiss
35,0,1,DiffKiss
41,0.9,2,DiffKiss
45,0.3,2,DiffKiss
46,0.4,2,DiffKiss
47,0.3,2,DiffKiss
50,0.7,2,DiffKiss
68,0,2,DiffKiss
69,0.5,2,DiffKiss
70,0.6,1,DiffKiss
71,0.8,1,DiffKiss
73,0.3,2,DiffKiss
76,0.2,2,DiffKiss
77,0.5,2,DiffKiss
79,0.5,2,DiffKiss
80,0,2,DiffKiss
83,0,2,DiffKiss
84,0,2,DiffKiss
87,0.4,2,DiffKiss
88,0.3,2,DiffKiss
89,0.3,2,DiffKiss
90,0.1,2,DiffKiss
91,0.5,2,DiffKiss
92,0.4,2,DiffKiss
93,0.4,2,DiffKiss
96,0.3,2,DiffKiss
100,0.3,2,DiffKiss
891,0.8,1,SameKiss
892,0,2,SameKiss
893,0.8,1,SameKiss
895,0.2,2,SameKiss
899,0.5,1,SameKiss
908,0.5,2,SameKiss
912,0.5,1,SameKiss
916,0.2,1,SameKiss
921,0.2,1,SameKiss
922,0.6,1,SameKiss
924,0.3,1,SameKiss
928,0.5,2,SameKiss
932,0.7,2,SameKiss
935,0.2,2,SameKiss
937,0.1,2,SameKiss
939,0.3,1,SameKiss
946,0.4,1,SameKiss
952,0.1,2,SameKiss
954,0.4,1,SameKiss
956,0.2,1,SameKiss
959,0.8,1,SameKiss
967,0.3,1,SameKiss
971,0.4,1,SameKiss
972,0.9,1,SameKiss
977,0.9,1,SameKiss
979,0,2,SameKiss
981,0.6,1,SameKiss
986,0.6,1,SameKiss
987,0.5,1,SameKiss
988,0.3,1,SameKiss
992,0.2,2,SameKiss
1003,0.4,1,SameKiss
1004,0.4,1,SameKiss
1012,0.4,2,SameKiss
1015,0.9,2,SameKiss
887,0.4,2,DiffKiss
888,0.4,1,DiffKiss
890,0.6,2,DiffKiss
896,0.5,1,DiffKiss
900,0.5,2,DiffKiss
903,0.4,1,DiffKiss
906,0.4,1,DiffKiss
910,1,1,DiffKiss
914,0.6,1,DiffKiss
917,0.5,2,DiffKiss
919,0.7,2,DiffKiss
929,0.8,1,DiffKiss
934,0.7,2,DiffKiss
941,0.3,1,DiffKiss
943,0.4,2,DiffKiss
945,0.8,1,DiffKiss
947,0.3,2,DiffKiss
951,0.6,2,DiffKiss
962,0.9,2,DiffKiss
964,0.4,2,DiffKiss
966,0.7,2,DiffKiss
969,0.7,1,DiffKiss
975,0.4,1,DiffKiss
985,0.5,1,DiffKiss
993,0.1,2,DiffKiss
995,0.4,1,DiffKiss
997,0.4,2,DiffKiss
999,0.6,1,DiffKiss
1001,0.4,1,DiffKiss
1006,0.7,1,DiffKiss
1009,0.7,1,DiffKiss
1010,0.3,2,DiffKiss
1013,0.6,2,DiffKiss
1016,1,1,DiffKiss
883,0.9,2,SameKiss
884,0.5,1,SameKiss
885,0.2,2,SameKiss
886,0.8,1,SameKiss
894,0.6,1,SameKiss
897,0.4,1,SameKiss
901,0.5,1,SameKiss
902,0.3,1,SameKiss
904,0.5,1,SameKiss
905,0.8,1,SameKiss
909,0.6,2,SameKiss
913,0.6,2,SameKiss
918,0.9,2,SameKiss
923,0.7,1,SameKiss
930,0.7,1,SameKiss
936,0.3,2,SameKiss
938,0.7,2,SameKiss
950,0.3,1,SameKiss
955,0.9,1,SameKiss
957,0.6,2,SameKiss
958,0.6,1,SameKiss
963,0.4,1,SameKiss
965,0.4,1,SameKiss
970,0.1,1,SameKiss
974,0.7,1,SameKiss
976,0.7,2,SameKiss
990,0.4,2,SameKiss
991,0.3,1,SameKiss
998,0.5,1,SameKiss
1007,0.5,1,SameKiss
1014,0.7,2,SameKiss
882,0.6,1,DiffKiss
889,0.5,2,DiffKiss
898,0.3,2,DiffKiss
907,0.5,1,DiffKiss
911,0.7,2,DiffKiss
915,0.6,2,DiffKiss
920,0.4,1,DiffKiss
925,0.6,2,DiffKiss
926,0,2,DiffKiss
927,0.7,1,DiffKiss
931,0.4,2,DiffKiss
933,0.8,2,DiffKiss
940,0.5,1,DiffKiss
942,0.1,1,DiffKiss
944,0.1,2,DiffKiss
948,0.6,1,DiffKiss
949,0.4,2,DiffKiss
953,0.5,1,DiffKiss
960,1,2,DiffKiss
961,0.5,2,DiffKiss
968,0.5,2,DiffKiss
973,0.5,1,DiffKiss
978,0.4,2,DiffKiss
980,1,1,DiffKiss
982,0.7,2,DiffKiss
983,0.4,2,DiffKiss
984,0.4,2,DiffKiss
989,0.1,2,DiffKiss
994,0.7,1,DiffKiss
996,0.3,1,DiffKiss
1000,0.6,1,DiffKiss
1002,0.2,2,DiffKiss
1005,0.7,2,DiffKiss
1008,0.6,1,DiffKiss
1011,0.6,2,DiffKiss
2921,0.4,1,SameKiss
2922,0.6,2,SameKiss
2925,0.6,1,SameKiss
2926,0.3,2,SameKiss
2927,0.5,2,SameKiss
2933,0.4,1,SameKiss
2934,0.5,2,SameKiss
2935,0.4,1,SameKiss
2938,0.7,2,SameKiss
2939,0.4,2,SameKiss
2940,0.2,2,SameKiss
2941,0.4,2,SameKiss
2951,0.7,2,SameKiss
2952,0.6,2,SameKiss
2960,0.3,2,SameKiss
2961,0.3,2,SameKiss
2965,0.9,2,SameKiss
2966,0.7,2,SameKiss
2967,0.5,1,SameKiss
2969,0.7,2,SameKiss
