"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"2276","79","PennStateAbington","Communal",65,"20","Junior","Male","Latino or Hispanic","Pass"
"2277","8","PennStateAbington","Agentic",67,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2283","85","PennStateAbington","Communal",56,"18","First-year","Female","African-American","Fail"
"2284","86","PennStateAbington","Communal",65,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2285","87","PennStateAbington","Agentic",70,"18","First-year","Male","Asian-American","Pass"
"2287","89","PennStateAbington","Communal",71,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2288","9","PennStateAbington","Communal",72,"18","First-year","Male","Other","Pass"
"2289","90","PennStateAbington","Agentic",60,"19","First-year","Male","African-American","Fail"
"2290","903271920","PennStateAbington","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2295","95","PennStateAbington","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2296","959749213","PennStateAbington","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2297","96","PennStateAbington","Communal",64,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2298","97","PennStateAbington","Communal",60,"30","First-year","Female","White, non-Hispanic or latino","Pass"
"2301",NA,"PennStateAbington","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2304",NA,"PennStateAbington","Agentic",65,"21","Junior","Female","Asian-American","Fail"
"2305",NA,"PennStateAbington","Agentic",70,"18","First-year","Female","Other","Pass"
"2307",NA,"PennStateAbington","Communal",70,"19","Sophomore","Female","Asian-American","Fail"
"2308",NA,"PennStateAbington","Agentic",68,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2309",NA,"PennStateAbington","Communal",70,"19","First-year","Male","Asian-American","Pass"
"2310",NA,"PennStateAbington","Agentic",68,"19","Sophomore","Male","Other","Pass"
"2311",NA,"PennStateAbington","Communal",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2312",NA,"PennStateAbington","Agentic",70,"22","Other","Female","White, non-Hispanic or latino","Pass"
"2314",NA,"PennStateAbington","Communal",75,"26","Junior","Female","White, non-Hispanic or latino","Pass"
"2315",NA,"PennStateAbington","Communal",70,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2316",NA,"PennStateAbington","Agentic",70,"49","Senior","Female","White, non-Hispanic or latino","Pass"
"2317",NA,"PennStateAbington","Communal",72,"19","Sophomore","Female","Asian-American","Fail"
"2318",NA,"PennStateAbington","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2319",NA,"PennStateAbington","Communal",70,"20","Senior","Female","Latino or Hispanic","Pass"
"2320",NA,"PennStateAbington","Communal",86,"18","First-year","Female","Asian-American","Fail"
"2321",NA,"PennStateAbington","Agentic",80,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"2322",NA,"PennStateAbington","Agentic",65,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2323",NA,"PennStateAbington","Communal",77,"39","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2324",NA,"PennStateAbington","Communal",68,"22","Senior","Female","White, non-Hispanic or latino","Fail"
"2325",NA,"PennStateAbington","Communal",75,"18","First-year","Female","African-American","Pass"
"2326",NA,"PennStateAbington","Communal",55,"20","Sophomore","Male","Asian-American","Pass"
"2327",NA,"PennStateAbington","Agentic",72,"23","Senior","Male","White, non-Hispanic or latino","Pass"
"2328",NA,"PennStateAbington","Communal",70,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"2329",NA,"PennStateAbington","Communal",55,"19","First-year","Female","Latino or Hispanic","Pass"
"2330",NA,"PennStateAbington","Agentic",73,NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"2331",NA,"PennStateAbington","Agentic",70,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2333",NA,"PennStateAbington","Agentic",75,"19","First-year","Female","Asian-American","Pass"
"2334",NA,"PennStateAbington","Communal",74,"22","Senior","Female","White, non-Hispanic or latino","Pass"
